Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Vibrio cholerae infection_Homo sapiens_hsa05110	5/51	0.01024071182740986067638555567782532307319343090057373046875	0.53387110378503876972899888642132282257080078125	0.00920388985152476545026356546941315173171460628509521484375	0.40159683697611636699065229549887590110301971435546875	-1.9289672141185237	8.837339815600153	ATP6V0C;PRKACB;ACTB;ERO1L;ATP6V1F
Spliceosome_Homo sapiens_hsa03040	9/134	0.0084200734898870199796050428631133399903774261474609375	0.53387110378503876972899888642132282257080078125	0.00576817915168713855889048858216483495198190212249755859375	0.40159683697611636699065229549887590110301971435546875	-1.7966192231581692	8.582695667749093	SF3A3;HNRNPA3;PHF5A;ZMAT2;DDX46;SNRNP27;HNRNPA1;LSM4;SRSF10
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	5/56	0.01499205473034504083884588254704794962890446186065673828125	0.53387110378503876972899888642132282257080078125	0.01307524585503634650951454432288301177322864532470703125	0.40159683697611636699065229549887590110301971435546875	-1.8310607000136174	7.690885061445242	ADRB3;NPR1;PIK3R3;ADCY8;PRKACB
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	4/35	0.012499480466194264061119412190237198956310749053955078125	0.53387110378503876972899888642132282257080078125	0.0120974037593984361238508284941417514346539974212646484375	0.40159683697611636699065229549887590110301971435546875	-1.6795879900083517	7.360069117164956	IL4I1;CAD;ASL;RIMKLA
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	9/151	0.0173818498906756803423778734440929838456213474273681640625	0.53387110378503876972899888642132282257080078125	0.011696745166658063797004984962768503464758396148681640625	0.40159683697611636699065229549887590110301971435546875	-1.808189990432902	7.327380241943302	NDUFA9;BCL2L11;NDUFA5;NDUFA11;NDUFB3;NDUFA2;MLX;PIK3R3;MAP3K11
RNA degradation_Homo sapiens_hsa03018	6/77	0.0150330751193768034912334741193262743763625621795654296875	0.53387110378503876972899888642132282257080078125	0.0121840540723798830546886762249414459802210330963134765625	0.40159683697611636699065229549887590110301971435546875	-1.742632705077471	7.314705131585362	EXOSC5;PAPD5;CNOT8;TOB2;LSM4;DCP2
Purine metabolism_Homo sapiens_hsa00230	10/176	0.017031643584268403579518036394802038557827472686767578125	0.53387110378503876972899888642132282257080078125	0.01087049033695152051859356134855261188931763172149658203125	0.40159683697611636699065229549887590110301971435546875	-1.6569371836709585	6.748178703448422	RRM2;NME6;NPR1;ENTPD6;POLR2G;ENPP4;ADCY8;NUDT5;GART;PFAS
Oxidative phosphorylation_Homo sapiens_hsa00190	8/133	0.023034980994810751175894125708509818650782108306884765625	0.595233582772131786242653106455691158771514892578125	0.01627888836635697777932563212743843905627727508544921875	0.4200298141759442049902872895472683012485504150390625	-1.6463728963958384	6.208046284945135	NDUFA9;NDUFA5;NDUFA11;NDUFB3;NDUFA2;ATP5J;ATP6V0C;ATP6V1F
Proteoglycans in cancer_Homo sapiens_hsa05205	10/203	0.0400649048883930658515595268909237347543239593505859375	0.86139545510045090193074202034040354192256927490234375	0.025654404071393847874826832367034512571990489959716796875	0.55156968753496771196154213612317107617855072021484375	-1.7803885245310236	5.7279630237863355	FZD1;SDC4;SMO;MYC;PIK3R3;ANK3;PRKACB;FGF2;THBS1;ACTB
Systemic lupus erythematosus_Homo sapiens_hsa05322	8/135	0.02491675462767063697899772023447440005838871002197265625	0.595233582772131786242653106455691158771514892578125	0.0175826433841092914789339118897260050289332866668701171875	0.4200298141759442049902872895472683012485504150390625	-1.5473205737830509	5.713039961824965	HIST1H4A;HIST1H4B;HIST1H3A;C8G;HIST1H4J;HIST1H4C;HIST1H3B;HIST1H4F
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	5/81	0.0598498189382807577185729996926966123282909393310546875	0.938348528498683887022480121231637895107269287109375	0.04853576693740781211605650469209649600088596343994140625	0.84958137692225221826447523199021816253662109375	-1.6727609644501358	4.7103558230215965	NPR1;ORAI1;ADCY8;LDLR;PRKACB
Pyrimidine metabolism_Homo sapiens_hsa00240	6/105	0.05622428756330476173896926184170297347009181976318359375	0.938348528498683887022480121231637895107269287109375	0.043348013641106318549756082347812480293214321136474609375	0.8472566302579871422295809679781086742877960205078125	-1.5164345643445882	4.364915034636558	RRM2;NME6;ENTPD6;CAD;POLR2G;UCKL1
Wnt signaling pathway_Homo sapiens_hsa04310	7/142	0.07771873589112472668904985084736836142838001251220703125	0.938348528498683887022480121231637895107269287109375	0.057086303672597933644983214662715909071266651153564453125	0.84958137692225221826447523199021816253662109375	-1.5747758976944575	4.023015293284079	FZD1;FRAT2;MYC;LRP5;DVL2;TBL1X;PRKACB
Parkinson's disease_Homo sapiens_hsa05012	7/142	0.07771873589112472668904985084736836142838001251220703125	0.938348528498683887022480121231637895107269287109375	0.057086303672597933644983214662715909071266651153564453125	0.84958137692225221826447523199021816253662109375	-1.4572112806012396	3.7226777956073978	NDUFA9;NDUFA5;NDUFA11;NDUFB3;NDUFA2;ATP5J;PRKACB
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	4/66	0.092691773614143102566487186777521856129169464111328125	0.938348528498683887022480121231637895107269287109375	0.07826239361847776854208547092639491893351078033447265625	0.84958137692225221826447523199021816253662109375	-1.5388375997792132	3.660087610149726	CARS;DARS2;FARSA;HARS2
Renin secretion_Homo sapiens_hsa04924	4/64	0.08498765887220637027521519257788895629346370697021484375	0.938348528498683887022480121231637895107269287109375	0.0719635892205271743282679608455509878695011138916015625	0.84958137692225221826447523199021816253662109375	-1.3739890573483158	3.3872254557246455	ADRB3;NPR1;ORAI1;PRKACB
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	8/180	0.09842257829895252607688149737441563047468662261962890625	0.938348528498683887022480121231637895107269287109375	0.0696926665913461806933781872430699877440929412841796875	0.84958137692225221826447523199021816253662109375	-1.3021861017445386	3.0190990052888536	GOLPH3;CCNT2;HIST1H3A;BCL6;MYC;HIST1H3B;RUNX2;AFF1
Phagosome_Homo sapiens_hsa04145	7/154	0.107523131126970483695259872547467239201068878173828125	0.938348528498683887022480121231637895107269287109375	0.07927948248009313025885802517223055474460124969482421875	0.84958137692225221826447523199021816253662109375	-1.202466091332653	2.6815586427480396	TUBB6;CANX;FCGR2B;ATP6V0C;THBS1;ACTB;ATP6V1F
p53 signaling pathway_Homo sapiens_hsa04115	4/69	0.104843206164949520609042110663722269237041473388671875	0.938348528498683887022480121231637895107269287109375	0.08820906891273057326419149148932774551212787628173828125	0.84958137692225221826447523199021816253662109375	-1.079169552649943	2.433839566010074	RRM2;CHEK2;THBS1;GADD45G
Viral carcinogenesis_Homo sapiens_hsa05203	8/205	0.1663969833435628709050746465436532162129878997802734375	0.938348528498683887022480121231637895107269287109375	0.12021163442021907952206305481013259850442409515380859375	0.87615206284153768212519253211212344467639923095703125	-1.2191975388199254	2.1864831163071115	HIST1H4A;HIST1H4B;EGR3;PIK3R3;HIST1H4J;HIST1H4C;PRKACB;HIST1H4F
Bile secretion_Homo sapiens_hsa04976	4/71	0.11332587959843722080766070803292677737772464752197265625	0.938348528498683887022480121231637895107269287109375	0.0951638503507455657537406068513519130647182464599609375	0.850736584821446317761228783638216555118560791015625	-0.992152853064991	2.1604006543603846	ABCC4;ADCY8;LDLR;PRKACB
Ribosome_Homo sapiens_hsa03010	6/137	0.147415739403174261834550407002097927033901214599609375	0.938348528498683887022480121231637895107269287109375	0.11359649121382701941751491858667577616870403289794921875	0.87615206284153768212519253211212344467639923095703125	-1.0916502482111932	2.0899627897061928	RPS26;MRPL4;MRPL18;RPL22L1;MRPS7;RPS23
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	6/142	0.1656140169591264754700432604295201599597930908203125	0.938348528498683887022480121231637895107269287109375	0.1279548479861543908153720394693664275109767913818359375	0.87615206284153768212519253211212344467639923095703125	-1.1054249782382977	1.9876595652539213	FZD1;MYC;PCGF2;DVL2;PIK3R3;FGF2
Alcoholism_Homo sapiens_hsa05034	7/179	0.185932792222749554422733808678458444774150848388671875	0.938348528498683887022480121231637895107269287109375	0.1394384976543727727715804576291702687740325927734375	0.87615206284153768212519253211212344467639923095703125	-1.100784746305553	1.8519272366151567	HIST1H4A;HIST1H4B;HIST1H3A;HIST1H4J;HIST1H4C;HIST1H3B;HIST1H4F
Metabolic pathways_Homo sapiens_hsa01100	37/1239	0.2118858488470522216662317305235774256289005279541015625	0.938348528498683887022480121231637895107269287109375	0.078543488423520491092943984767771326005458831787109375	0.84958137692225221826447523199021816253662109375	-1.117604042959386	1.734194685194879	PYGB;NDUFA11;NDUFB3;APIP;ATP5J;MAT2B;SAT1;PFAS;IL4I1;CHSY1;POLR2G;ASL;RIMKLA;ATP6V1F;NDUFA9;BCKDHA;CSGALNACT1;PDHX;CBR1;RRM2;NDUFA5;AGL;NDUFA2;CAD;DHCR24;SYNJ2;PRDX6;COASY;UCKL1;ACER2;ITPKB;SQLE;MTHFD1;NME6;ACO2;GART;ATP6V0C
Cysteine and methionine metabolism_Homo sapiens_hsa00270	3/45	0.11151557237256383425805239539840840734541416168212890625	0.938348528498683887022480121231637895107269287109375	0.09892285870016818971617311717636766843497753143310546875	0.850736584821446317761228783638216555118560791015625	-0.7484990505761708	1.641900807274197	IL4I1;APIP;MAT2B
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	5/118	0.1936666633003415183278406175304553471505641937255859375	0.938348528498683887022480121231637895107269287109375	0.1556586484822641558434241915165330283343791961669921875	0.87615206284153768212519253211212344467639923095703125	-0.9760798045127067	1.602349032735088	MYC;PIK3R3;SLC16A2;PRKACB;ACTB
Ovarian steroidogenesis_Homo sapiens_hsa04913	3/50	0.14052266866725193761311629714327864348888397216796875	0.938348528498683887022480121231637895107269287109375	0.123531043988195643468230855432921089231967926025390625	0.87615206284153768212519253211212344467639923095703125	-0.8107063225104129	1.5909191106512792	ADCY8;LDLR;PRKACB
MAPK signaling pathway_Homo sapiens_hsa04010	9/255	0.2207660177782379273825341670089983381330966949462890625	0.938348528498683887022480121231637895107269287109375	0.1577526586003878683595047505150432698428630828857421875	0.87615206284153768212519253211212344467639923095703125	-0.9793981011029458	1.479529584084121	DUSP4;MAP3K2;PPM1A;MYC;FGF1;PRKACB;FGF2;MAP3K11;GADD45G
Platelet activation_Homo sapiens_hsa04611	5/122	0.211999673374268837733325199224054813385009765625	0.938348528498683887022480121231637895107269287109375	0.1707322139078217004826143465834320522844791412353515625	0.87615206284153768212519253211212344467639923095703125	-0.9398833417376748	1.4579193554384497	ORAI1;PIK3R3;ADCY8;PRKACB;ACTB
Hippo signaling pathway_Homo sapiens_hsa04390	6/153	0.2086945355122788725577009927292237989604473114013671875	0.938348528498683887022480121231637895107269287109375	0.1624292189367718408643526117884903214871883392333984375	0.87615206284153768212519253211212344467639923095703125	-0.8945612132050533	1.4016733377321877	FZD1;MYC;DVL2;FGF1;AJUBA;ACTB
HTLV-I infection_Homo sapiens_hsa05166	9/258	0.23050117279571569195439906252431683242321014404296875	0.938348528498683887022480121231637895107269287109375	0.1652979099672217400129881070824922062456607818603515625	0.87615206284153768212519253211212344467639923095703125	-0.8938405537265025	1.3117104123864596	FZD1;MYC;CHEK2;MYB;CANX;DVL2;PIK3R3;ADCY8;PRKACB
Gap junction_Homo sapiens_hsa04540	4/88	0.1959592853112251120695219697154243476688861846923828125	0.938348528498683887022480121231637895107269287109375	0.16363435810777959833473005346604622900485992431640625	0.87615206284153768212519253211212344467639923095703125	-0.7919521587689115	1.29076193456007	MAP3K2;TUBB6;ADCY8;PRKACB
Huntington's disease_Homo sapiens_hsa05016	7/193	0.2378083226933369875855106556628015823662281036376953125	0.938348528498683887022480121231637895107269287109375	0.180671314510693459265411320302519015967845916748046875	0.87615206284153768212519253211212344467639923095703125	-0.7851404495538453	1.1276896091839255	NDUFA9;NDUFA11;NDUFA5;NDUFB3;NDUFA2;ATP5J;POLR2G
Cell cycle_Homo sapiens_hsa04110	5/124	0.221368212267088970701678363184328190982341766357421875	0.938348528498683887022480121231637895107269287109375	0.1784766341325707827980551201108028180897235870361328125	0.87615206284153768212519253211212344467639923095703125	-0.6967257865858529	1.0506122139537113	MYC;CHEK2;RAD21;MCM5;GADD45G
mRNA surveillance pathway_Homo sapiens_hsa03015	4/91	0.2121306960002759256500581841464736498892307281494140625	0.938348528498683887022480121231637895107269287109375	0.1772188826130859096164016364127746783196926116943359375	0.87615206284153768212519253211212344467639923095703125	-0.6665048844207775	1.03345095056458	CPSF6;PAPOLG;CPSF2;PPP2R5A
Basal cell carcinoma_Homo sapiens_hsa05217	3/55	0.1717279247446945600330536763067357242107391357421875	0.938348528498683887022480121231637895107269287109375	0.1501023964718088132830331460354500450193881988525390625	0.87615206284153768212519253211212344467639923095703125	-0.5655915677621501	0.9964840464645739	FZD1;SMO;DVL2
Epstein-Barr virus infection_Homo sapiens_hsa05169	7/202	0.27338248873987092135706689077778719365596771240234375	0.938348528498683887022480121231637895107269287109375	0.2096149934417527449515006310321041382849216461181640625	0.87615206284153768212519253211212344467639923095703125	-0.6636020820935693	0.8606145289236784	PSMD13;MYC;EIF2AK1;BCL2;PIK3R3;POLR2G;PRKACB
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	4/98	0.2511682313428120760789852283778600394725799560546875	0.938348528498683887022480121231637895107269287109375	0.2102958797103205157430494409709353931248188018798828125	0.87615206284153768212519253211212344467639923095703125	-0.5973275471399188	0.8252870447369988	PIK3R3;ADCY8;CPEB2;PRKACB
Alzheimer's disease_Homo sapiens_hsa05010	6/168	0.272810039003984095007382393305306322872638702392578125	0.938348528498683887022480121231637895107269287109375	0.2150331604305463495396821826943778432905673980712890625	0.87615206284153768212519253211212344467639923095703125	-0.5653004102424823	0.734313674672146	NDUFA9;NDUFA5;NDUFA11;NDUFB3;NDUFA2;ATP5J
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	4/98	0.2511682313428120760789852283778600394725799560546875	0.938348528498683887022480121231637895107269287109375	0.2102958797103205157430494409709353931248188018798828125	0.87615206284153768212519253211212344467639923095703125	-0.5266018755996249	0.7275701710853365	ITPKB;PPIP5K1;PIK3R3;SYNJ2
Colorectal cancer_Homo sapiens_hsa05210	3/62	0.21822690502544517254790434890310280025005340576171875	0.938348528498683887022480121231637895107269287109375	0.18997903075508038028829105314798653125762939453125	0.87615206284153768212519253211212344467639923095703125	-0.46850307428199117	0.7131647069872858	MYC;BCL2;PIK3R3
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	6/169	0.277252415083027947684257696892018429934978485107421875	0.938348528498683887022480121231637895107269287109375	0.21873681472155437344184747416875325143337249755859375	0.87615206284153768212519253211212344467639923095703125	-0.5490400686923245	0.704323392323149	EIF2AK1;CANX;BCL2;UBE2E2;ERO1L;UBQLN2
Melanogenesis_Homo sapiens_hsa04916	4/100	0.262594487958447031505926361205638386309146881103515625	0.938348528498683887022480121231637895107269287109375	0.220056797178804830483755949899205006659030914306640625	0.87615206284153768212519253211212344467639923095703125	-0.5258393161365431	0.7031230482795157	FZD1;DVL2;ADCY8;PRKACB
Apoptosis_Homo sapiens_hsa04210	5/140	0.30003343836208740125215399530134163796901702880859375	0.938348528498683887022480121231637895107269287109375	0.2446581524216994985021500497168744914233684539794921875	0.87648151498591120311942859189002774655818939208984375	-0.4961712979905476	0.5973214482978753	BCL2L11;BCL2;PIK3R3;ACTB;GADD45G
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	3/64	0.231964896318376079253908983446308411657810211181640625	0.938348528498683887022480121231637895107269287109375	0.201837522786140588504366633060271851718425750732421875	0.87615206284153768212519253211212344467639923095703125	-0.3483342222349141	0.508975246497254	PIK3R3;ADCY8;PRKACB
Cholinergic synapse_Homo sapiens_hsa04725	4/111	0.326805882176216033752069733964162878692150115966796875	0.938348528498683887022480121231637895107269287109375	0.275619933453632393050014570690109394490718841552734375	0.87648151498591120311942859189002774655818939208984375	-0.2622223731858488	0.29326659591933507	BCL2;PIK3R3;ADCY8;PRKACB
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	5/148	0.340960590832534438110457131188013590872287750244140625	0.938348528498683887022480121231637895107269287109375	0.279943743222137497728141397601575590670108795166015625	0.87648151498591120311942859189002774655818939208984375	-0.2603679254005201	0.28015286167851833	BCL2;PPP2R5A;PIK3R3;ADCY8;PRKACB
