Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	4/98	0.00713486868660830227117930490976505097933113574981689453125	0.31516496377785985227859555379836820065975189208984375	0.005684075922526816461444187922324999817647039890289306640625	0.270335911134529094379530533842626027762889862060546875	-1.912342155491464	9.4522510516051	PKMYT1;MAPK12;MAD1L1;CPEB4
Fatty acid biosynthesis_Homo sapiens_hsa00061	2/13	0.004401028779786733853562896712219298933632671833038330078125	0.31516496377785985227859555379836820065975189208984375	0.004866579327809847192731762532957873190753161907196044921875	0.270335911134529094379530533842626027762889862060546875	-1.6281928063803912	8.834438948938448	ACSL3;MCAT
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	3/64	0.01347196849384287888062861071603037999011576175689697265625	0.31516496377785985227859555379836820065975189208984375	0.011651909584832143007560034675407223403453826904296875	0.270335911134529094379530533842626027762889862060546875	-1.9420705279450206	8.36477773298894	INSR;PRKAG1;SOD1
Oocyte meiosis_Homo sapiens_hsa04114	4/123	0.01546890680188569254516206541438805288635194301605224609375	0.31516496377785985227859555379836820065975189208984375	0.0121503888897689128756329779434963711537420749664306640625	0.270335911134529094379530533842626027762889862060546875	-1.8042696884747178	7.5218619123301815	CCNE1;PKMYT1;MAPK12;CPEB4
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	3/68	0.0158466915205963919388576499613918713293969631195068359375	0.31516496377785985227859555379836820065975189208984375	0.013630382074009871062880705494535504840314388275146484375	0.270335911134529094379530533842626027762889862060546875	-1.8117927382309358	7.509508644172565	ATP6V0C;MAP3K14;MAPK12
Apoptosis_Homo sapiens_hsa04210	4/140	0.0236363876668037424522150757866256753914058208465576171875	0.35159126654370564946106014758697710931301116943359375	0.018506133364889119918839099909746437333524227142333984375	0.311374780935686323868338831744040362536907196044921875	-1.7813362993431134	6.6710472674358146	CASP7;DIABLO;CASP6;MAP3K14
Cell cycle_Homo sapiens_hsa04110	4/124	0.015890670442581168730900031960118212737143039703369140625	0.31516496377785985227859555379836820065975189208984375	0.0124779129552556045101852078005322255194187164306640625	0.270335911134529094379530533842626027762889862060546875	-1.6067992434143796	6.655399593869216	CCNE1;ORC3;PKMYT1;MAD1L1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	4/151	0.0300875685720445977533454851027272525243461132049560546875	0.358042066007330739285663412374560721218585968017578125	0.0235493531800098875039761736616128473542630672454833984375	0.311374780935686323868338831744040362536907196044921875	-1.730689372468398	6.063718045602304	CASP7;INSR;PRKAG1;UQCR10
Circadian rhythm_Homo sapiens_hsa04710	2/30	0.0225234332857369989877582838744274340569972991943359375	0.35159126654370564946106014758697710931301116943359375	0.0212960712223925728581175320641705184243619441986083984375	0.311374780935686323868338831744040362536907196044921875	-1.5006559493431526	5.692286694967298	BHLHE41;PRKAG1
Prion diseases_Homo sapiens_hsa05020	2/35	0.0300443988801394022691848562089944607578217983245849609375	0.358042066007330739285663412374560721218585968017578125	0.027962431722165885517039640717484871856868267059326171875	0.332752937493774048061112580398912541568279266357421875	-1.3903749333767932	4.873374021028768	STIP1;SOD1
