Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Wnt signaling pathway_Homo sapiens_hsa04310	3/142	0.00351333935991859046266139188219312927685678005218505859375	0.2670137913538128682233718791394494473934173583984375	0.0021180535270217287248384341324936031014658510684967041015625	0.16097206805365138482244447004632093012332916259765625	-1.8795088194352707	10.621458267415209	SMAD3;AXIN1;PSEN1
Colorectal cancer_Homo sapiens_hsa05210	2/62	0.00786815681015537969622553049475754960440099239349365234375	0.271191818932852768408992005788604728877544403076171875	0.0059774313046613465616463400920110871084034442901611328125	0.22714238957713117628145482740364968776702880859375	-1.965700999878298	9.52368659273214	SMAD3;AXIN1
Circadian entrainment_Homo sapiens_hsa04713	2/95	0.01776659882779522969808994048435124568641185760498046875	0.2909892676597192195941943282377906143665313720703125	0.01333801297030313970370940523935132659971714019775390625	0.2420253703574830606015666489838622510433197021484375	-1.8604668209892397	7.498490693623548	PER1;CALM3
Neurotrophin signaling pathway_Homo sapiens_hsa04722	2/120	0.02746916956003599141755699974964954890310764312744140625	0.2909892676597192195941943282377906143665313720703125	0.0206006414429541241661869577228571870364248752593994140625	0.2420253703574830606015666489838622510433197021484375	-1.7788011597904259	6.394240537903615	CALM3;PSEN1
Cell cycle_Homo sapiens_hsa04110	2/124	0.0291814806313785320146525492646105703897774219512939453125	0.2909892676597192195941943282377906143665313720703125	0.02188804245320645491812427962941001169383525848388671875	0.2420253703574830606015666489838622510433197021484375	-1.6067992434143796	5.678783622217369	SMAD3;BUB3
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	2/142	0.037392906229758611502678178339920123107731342315673828125	0.2909892676597192195941943282377906143665313720703125	0.0280857853470651182281603297496985760517418384552001953125	0.2420253703574830606015666489838622510433197021484375	-1.6292488422964329	5.354158542620714	SMAD3;AXIN1
Hippo signaling pathway_Homo sapiens_hsa04390	2/153	0.042797115030067833796323384376592002809047698974609375	0.2909892676597192195941943282377906143665313720703125	0.03218618495312212945957952570097404532134532928466796875	0.2420253703574830606015666489838622510433197021484375	-1.4959283008959992	4.714095794139514	SMAD3;AXIN1
Alzheimer's disease_Homo sapiens_hsa05010	2/168	0.050604788469297758146669963252861634828150272369384765625	0.2909892676597192195941943282377906143665313720703125	0.038139696532713089627275593329613911919295787811279296875	0.2420253703574830606015666489838622510433197021484375	-1.5665383825644048	4.674094785864252	CALM3;PSEN1
Phenylalanine, tyrosine and tryptophan biosynthesis_Homo sapiens_hsa00400	1/5	0.0107049402210336631890985614745659404434263706207275390625	0.271191818932852768408992005788604728877544403076171875	0.0110590142372794970893057353578114998526871204376220703125	0.2420253703574830606015666489838622510433197021484375	-0.804934703397385	3.652028948691515	GOT1
Phenylalanine metabolism_Homo sapiens_hsa00360	1/17	0.0359421803042085652446502308521303348243236541748046875	0.2909892676597192195941943282377906143665313720703125	0.032839131300455980111419052036580978892743587493896484375	0.2420253703574830606015666489838622510433197021484375	-0.9816512458436718	3.2648186453084627	GOT1
