Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	5/169	0.021024859764190717559273480219417251646518707275390625	0.78745313282526618881007607342326082289218902587890625	0.0156363809493459786359448315806730533950030803680419921875	0.74180499733538229900631222335505299270153045654296875	-1.79042526506136	6.914711434971096	DNAJC3;DNAJA1;YOD1;UBE2G2;MAP3K5
Proximal tubule bicarbonate reclamation_Homo sapiens_hsa04964	2/23	0.019145597490249431638087429519146098755300045013427734375	0.78745313282526618881007607342326082289218902587890625	0.01874597403601603595735269891520147211849689483642578125	0.74180499733538229900631222335505299270153045654296875	-1.6686865282948629	6.600794074360109	MDH1;FXYD2
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	5/180	0.026691012342029585280300807426101528108119964599609375	0.78745313282526618881007607342326082289218902587890625	0.0198697767143405958079060980026042670942842960357666015625	0.74180499733538229900631222335505299270153045654296875	-1.7026306508405271	6.169360232231399	MAF;EWSR1;H3F3A;NUPR1;MEN1
Salmonella infection_Homo sapiens_hsa05132	3/86	0.046214925288677204118226171658534440211951732635498046875	0.78745313282526618881007607342326082289218902587890625	0.039446745598932402010472486608705366961658000946044921875	0.74716565004299562158252001609071157872676849365234375	-1.6355858866406618	5.028531077044876	DYNC2H1;ARPC1A;FLNC
N-Glycan biosynthesis_Homo sapiens_hsa00510	2/49	0.076144017544487019311105768792913295328617095947265625	0.78745313282526618881007607342326082289218902587890625	0.06929143406078740186071485140928416512906551361083984375	0.74716565004299562158252001609071157872676849365234375	-1.6023090142171466	4.126152031633846	ALG14;ALG3
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	3/118	0.0976673936662214303705553675172268413007259368896484375	0.78745313282526618881007607342326082289218902587890625	0.082919452806446913850635382914333604276180267333984375	0.74716565004299562158252001609071157872676849365234375	-1.7274502337472362	4.018373166491128	PFKFB2;FXYD2;PLCD1
Neurotrophin signaling pathway_Homo sapiens_hsa04722	3/120	0.1014320587581736543558719176871818490326404571533203125	0.78745313282526618881007607342326082289218902587890625	0.086126078013167906011204877358977682888507843017578125	0.74716565004299562158252001609071157872676849365234375	-1.725705290474959	3.949045444708225	IRAK2;PSEN1;MAP3K5
mTOR signaling pathway_Homo sapiens_hsa04150	2/60	0.10739261785434627005653140940921730361878871917724609375	0.78745313282526618881007607342326082289218902587890625	0.09694376191071447934621829745083232410252094268798828125	0.74716565004299562158252001609071157872676849365234375	-1.679824021848786	3.7481305879927995	RRAGC;PTEN
Sphingolipid signaling pathway_Homo sapiens_hsa04071	3/120	0.1014320587581736543558719176871818490326404571533203125	0.78745313282526618881007607342326082289218902587890625	0.086126078013167906011204877358977682888507843017578125	0.74716565004299562158252001609071157872676849365234375	-1.5952964373819325	3.6506222492187437	PTEN;DEGS1;MAP3K5
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	2/66	0.1256434212346990431097282225891831330955028533935546875	0.78745313282526618881007607342326082289218902587890625	0.11314564343462459039546530448205885477364063262939453125	0.74716565004299562158252001609071157872676849365234375	-1.7516421002627667	3.6334441255776455	IARS2;FARSB
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	2/65	0.1225514861050253923036024161774548701941967010498046875	0.78745313282526618881007607342326082289218902587890625	0.11039761736193377805737014796250150538980960845947265625	0.74716565004299562158252001609071157872676849365234375	-1.6250097251340039	3.4112594843976307	MAF;STAT6
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.1272422204173096760282390960128395818173885345458984375	0.78745313282526618881007607342326082289218902587890625	0.10821357084323847408402485825718031264841556549072265625	0.74716565004299562158252001609071157872676849365234375	-1.54669974685438	3.188773271512449	BCL2L11;PTEN;FBXO32
Inositol phosphate metabolism_Homo sapiens_hsa00562	2/71	0.1413699160746901828389354704995639622211456298828125	0.78745313282526618881007607342326082289218902587890625	0.127144792752752089359802312173997052013874053955078125	0.74716565004299562158252001609071157872676849365234375	-1.5004913533205895	2.9355242301435718	PTEN;PLCD1
