Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	3/56	0.004632725006083754891450521284923524945043027400970458984375	0.3752507254927841540137478659744374454021453857421875	0.004734193958331901937175434369464710471220314502716064453125	0.383469710624884052574401493984623812139034271240234375	-1.9486764486722958	10.473375985838679	PLA2G16;INSR;ABHD5
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	2/48	0.033657348853915504405254210951170534826815128326416015625	0.60440223657829950099085181136615574359893798828125	0.0338976547561113672468735558140906505286693572998046875	0.58799861651481710733690988490707240998744964599609375	-1.9731492118466398	6.691982623092693	HIBADH;PCCB
Arachidonic acid metabolism_Homo sapiens_hsa00590	2/62	0.0534672582662685524912404844144475646317005157470703125	0.60440223657829950099085181136615574359893798828125	0.05302880555922180605410432008284260518848896026611328125	0.58799861651481710733690988490707240998744964599609375	-1.9324301254082408	5.65948068216921	PLA2G16;CBR3
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	3/180	0.0942086435061622318176688395396922715008258819580078125	0.60440223657829950099085181136615574359893798828125	0.08948635589638061216266606834324193187057971954345703125	0.58799861651481710733690988490707240998744964599609375	-1.6790750891289983	3.966383954451842	DUSP6;ETV5;BCL2L1
Metabolic pathways_Homo sapiens_hsa01100	11/1239	0.12455405406082842301174196109059266746044158935546875	0.60440223657829950099085181136615574359893798828125	0.0966090724405726797296978247686638496816158294677734375	0.58799861651481710733690988490707240998744964599609375	-1.8625906286450118	3.8798051275287255	PLA2G16;HIBADH;POLR3B;UROD;TGDS;PMM2;PCCB;OGDH;MTHFS;ALG12;CBR3
Insulin resistance_Homo sapiens_hsa04931	2/109	0.139298033422533273917309770695283077657222747802734375	0.60440223657829950099085181136615574359893798828125	0.135744074263991321149802615764201618731021881103515625	0.58799861651481710733690988490707240998744964599609375	-1.6759470342694671	3.3035254257466153	MLXIP;INSR
Ras signaling pathway_Homo sapiens_hsa04014	3/227	0.1560581631860759321828169277068809606134891510009765625	0.60440223657829950099085181136615574359893798828125	0.1484766055093491854410814312359434552490711212158203125	0.58799861651481710733690988490707240998744964599609375	-1.6723248780938205	3.1063877781436924	PLA2G16;INSR;BCL2L1
One carbon pool by folate_Homo sapiens_hsa00670	1/20	0.11345095259976363533116483495177817530930042266845703125	0.60440223657829950099085181136615574359893798828125	0.1154190751384168434068300257422379218041896820068359375	0.58799861651481710733690988490707240998744964599609375	-1.3763943628163815	2.9955635926813673	MTHFS
Carbon metabolism_Homo sapiens_hsa01200	2/113	0.14753730495023653634945048906956799328327178955078125	0.60440223657829950099085181136615574359893798828125	0.143702097752184176915335456214961595833301544189453125	0.58799861651481710733690988490707240998744964599609375	-1.427638711782066	2.7320353985868056	PCCB;OGDH
Lysosome_Homo sapiens_hsa04142	2/123	0.1685417948446725489031194911149214021861553192138671875	0.60440223657829950099085181136615574359893798828125	0.16401257112882794420016807634965516626834869384765625	0.58799861651481710733690988490707240998744964599609375	-1.3726649991301987	2.4441282030262044	SLC11A2;CD68
