Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	4/137	0.006950153542395275108045638035036972723901271820068359375	0.62551381881557477360189523096778430044651031494140625	0.00874621865686199366496378360125163453631103038787841796875	0.67608480838866580331369959822040982544422149658203125	-1.6450257774768577	8.174119150338525	DDB1;CUL7;BRCA1;VHL
Metabolic pathways_Homo sapiens_hsa01100	13/1239	0.0184792572720582810863465539341632393188774585723876953125	0.641843916465756780809215342742390930652618408203125	0.02139501663930774844057935979435569606721401214599609375	0.67608480838866580331369959822040982544422149658203125	-1.9867550595926162	7.92935084247753	IDUA;PON2;AK4;ALG1;ATP5G2;ENO3;QDPR;ACLY;CBS;DGKQ;UQCRFS1;ALG10B;AASS
N-Glycan biosynthesis_Homo sapiens_hsa00510	2/49	0.02980426908909634964306434312675264663994312286376953125	0.641843916465756780809215342742390930652618408203125	0.0351534068798960708246426065670675598084926605224609375	0.67608480838866580331369959822040982544422149658203125	-1.6954314065935472	5.956226241987947	ALG1;ALG10B
Parkinson's disease_Homo sapiens_hsa05012	3/142	0.043653461857532195600217761466410593129694461822509765625	0.641843916465756780809215342742390930652618408203125	0.051459702726837371067336590613194857724010944366455078125	0.67608480838866580331369959822040982544422149658203125	-1.6963726894886018	5.3121447498577465	UQCRFS1;PARK7;ATP5G2
Renin secretion_Homo sapiens_hsa04924	2/64	0.048462416304658473276134600382647477090358734130859375	0.641843916465756780809215342742390930652618408203125	0.056016243579849932243686083666034392081201076507568359375	0.67608480838866580331369959822040982544422149658203125	-1.7464872948734218	5.2865588887927215	ITPR2;AGT
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	4/265	0.058673841487893951818222149086068384349346160888671875	0.641843916465756780809215342742390930652618408203125	0.069635802543507929751598339862539432942867279052734375	0.67608480838866580331369959822040982544422149658203125	-1.7567307171002102	4.981668950454268	IL15RA;TNFRSF9;CSF2RB;TNFRSF1B
Alzheimer's disease_Homo sapiens_hsa05010	3/168	0.06559041165010752461039800209618988446891307830810546875	0.641843916465756780809215342742390930652618408203125	0.07643707532117305358809744575410149991512298583984375	0.67608480838866580331369959822040982544422149658203125	-1.666662179796597	4.540530705613274	ITPR2;UQCRFS1;ATP5G2
RNA transport_Homo sapiens_hsa03013	3/172	0.069340883080947934846705038580694235861301422119140625	0.641843916465756780809215342742390930652618408203125	0.0806851953627126528001411998047842644155025482177734375	0.67608480838866580331369959822040982544422149658203125	-1.6731210286270586	4.465092560888905	EEF1A1;RANBP2;EIF4A1
Biosynthesis of amino acids_Homo sapiens_hsa01230	2/74	0.06269321042115548470174957174094743095338344573974609375	0.641843916465756780809215342742390930652618408203125	0.07179533745140349865199169698826153762638568878173828125	0.67608480838866580331369959822040982544422149658203125	-1.578342394611077	4.371222614196696	CBS;ENO3
Salmonella infection_Homo sapiens_hsa05132	2/86	0.08136029900011020055128341255112900398671627044677734375	0.641843916465756780809215342742390930652618408203125	0.09237301802520385407557768076003412716090679168701171875	0.67608480838866580331369959822040982544422149658203125	-1.4271634950385041	3.5805646125678208	KLC4;PFN1
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	2/98	0.10148994638331014506160698829262400977313518524169921875	0.641843916465756780809215342742390930652618408203125	0.1144441135326679515049619340061326511204242706298828125	0.67608480838866580331369959822040982544422149658203125	-1.5254467235111717	3.4899102041752967	DGKQ;ITPR2
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.110246156062463851466048936345032416284084320068359375	0.641843916465756780809215342742390930652618408203125	0.1240123796355016294601369963856996037065982818603515625	0.67608480838866580331369959822040982544422149658203125	-1.4936416039429214	3.293538931069506	VHL;ENO3
Oocyte meiosis_Homo sapiens_hsa04114	2/123	0.1470186782406786019095079609542153775691986083984375	0.641843916465756780809215342742390930652618408203125	0.16401257112882794420016807634965516626834869384765625	0.67608480838866580331369959822040982544422149658203125	-1.4598526097937483	2.798823054763204	ITPR2;CPEB3
Apoptosis_Homo sapiens_hsa04210	2/140	0.17994142784387812117330440742080099880695343017578125	0.641843916465756780809215342742390930652618408203125	0.19960597658449830138494007769622839987277984619140625	0.67608480838866580331369959822040982544422149658203125	-1.4471933989914463	2.4821159603579765	ITPR2;CSF2RB
Oxidative phosphorylation_Homo sapiens_hsa00190	2/133	0.1662385444604837225757165697359596379101276397705078125	0.641843916465756780809215342742390930652618408203125	0.1848148476879158674801573170043411664664745330810546875	0.67608480838866580331369959822040982544422149658203125	-1.3356419387807943	2.3965844132538408	UQCRFS1;ATP5G2
Jak-STAT signaling pathway_Homo sapiens_hsa04630	2/158	0.2158629372141895041981030090028070844709873199462890625	0.641843916465756780809215342742390930652618408203125	0.2382317249231093170269701886354596354067325592041015625	0.67608480838866580331369959822040982544422149658203125	-1.3714630662898513	2.102605966956358	IL15RA;CSF2RB
MicroRNAs in cancer_Homo sapiens_hsa05206	3/297	0.2243346352700808787883346440139575861394405364990234375	0.641843916465756780809215342742390930652618408203125	0.2527716486014395247394759280723519623279571533203125	0.67608480838866580331369959822040982544422149658203125	-1.3288684811627534	1.9861486711565262	MIR7-2;BRCA1;FOXP1
