Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alcoholism_Homo sapiens_hsa05034	6/179	0.00142199511023671158575776285459824066492728888988494873046875	0.0878168202755024440708808697308995760977268218994140625	0.000629724228457965887022218520741034808452241122722625732421875	0.046036957979944177765663226864489843137562274932861328125	-1.9029766147618754	12.475333110576777	HIST1H2AE;HIST1H2BF;HIST1H2AD;HIST1H2BG;HIST1H4C;GNG13
Systemic lupus erythematosus_Homo sapiens_hsa05322	5/135	0.0023109689546184854387622653604239530977793037891387939453125	0.0878168202755024440708808697308995760977268218994140625	0.00121149889420905736668598873251312397769652307033538818359375	0.046036957979944177765663226864489843137562274932861328125	-1.7221752367056056	10.453755895274611	HIST1H2AE;HIST1H2BF;HIST1H2AD;HIST1H2BG;HIST1H4C
Viral carcinogenesis_Homo sapiens_hsa05203	4/205	0.0515117823662540608165016919883782975375652313232421875	0.72703177255610340612435038565308786928653717041015625	0.032285529284521434500998537941995891742408275604248046875	0.66571063796638763054858145551406778395175933837890625	-1.9314667609813165	5.728623629359368	CCND2;HIST1H2BF;HIST1H2BG;HIST1H4C
Hippo signaling pathway_Homo sapiens_hsa04390	3/153	0.0865428645533942997314369449668447487056255340576171875	0.72703177255610340612435038565308786928653717041015625	0.061453907275893913941811064205467118881642818450927734375	0.66571063796638763054858145551406778395175933837890625	-1.6402564019418262	4.013896773009567	CCND2;ID2;GDF5
TGF-beta signaling pathway_Homo sapiens_hsa04350	2/84	0.11174034112995685774638587872686912305653095245361328125	0.72703177255610340612435038565308786928653717041015625	0.08883153770793066061894904805740225128829479217529296875	0.66571063796638763054858145551406778395175933837890625	-1.6927057008017563	3.709695697641101	ID2;GDF5
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	3/180	0.1243907102974662060024257925761048682034015655517578125	0.72703177255610340612435038565308786928653717041015625	0.08948635589638061216266606834324193187057971954345703125	0.66571063796638763054858145551406778395175933837890625	-1.5848528422828834	3.3033528024689147	CCND2;ID2;RARA
Circadian entrainment_Homo sapiens_hsa04713	2/95	0.136564574759398149605971184428199194371700286865234375	0.72703177255610340612435038565308786928653717041015625	0.10880244311962695979989490524530992843210697174072265625	0.66571063796638763054858145551406778395175933837890625	-1.6544793030992202	3.293998309752209	PER1;GNG13
Glycerophospholipid metabolism_Homo sapiens_hsa00564	2/95	0.136564574759398149605971184428199194371700286865234375	0.72703177255610340612435038565308786928653717041015625	0.10880244311962695979989490524530992843210697174072265625	0.66571063796638763054858145551406778395175933837890625	-1.480065885716764	2.946748573246159	ETNK2;LCLAT1
Synthesis and degradation of ketone bodies_Homo sapiens_hsa00072	1/10	0.06597087964853125263697819491426344029605388641357421875	0.72703177255610340612435038565308786928653717041015625	0.062177813367634733598965368628341821022331714630126953125	0.66571063796638763054858145551406778395175933837890625	-1.05802173618341	2.876276369894065	BDH1
Metabolic pathways_Homo sapiens_hsa01100	11/1239	0.222222155536215104643105178183759562671184539794921875	0.72703177255610340612435038565308786928653717041015625	0.0966090724405726797296978247686638496816158294677734375	0.66571063796638763054858145551406778395175933837890625	-1.5645959943707615	2.3532739397347995	ALG8;BDH1;GCH1;CYP2U1;ETNK2;PPAT;PI4KA;MTHFR;ALDH18A1;PAICS;LCLAT1
AMPK signaling pathway_Homo sapiens_hsa04152	2/124	0.2064305486409051260121572113348520360887050628662109375	0.72703177255610340612435038565308786928653717041015625	0.16607268844763545256881798195536248385906219482421875	0.66571063796638763054858145551406778395175933837890625	-1.459559313258131	2.3028799123594834	AKT1S1;PPP2R5D
One carbon pool by folate_Homo sapiens_hsa00670	1/20	0.127619495345784261797206227129208855330944061279296875	0.72703177255610340612435038565308786928653717041015625	0.1154190751384168434068300257422379218041896820068359375	0.66571063796638763054858145551406778395175933837890625	-1.0671706292782417	2.1969864527980056	MTHFR
Dopaminergic synapse_Homo sapiens_hsa04728	2/129	0.2188764321696728132327081084440578706562519073486328125	0.72703177255610340612435038565308786928653717041015625	0.1764426641386296068514383250658283941447734832763671875	0.66571063796638763054858145551406778395175933837890625	-1.4406238959646127	2.188664893570479	PPP2R5D;GNG13
Cell cycle_Homo sapiens_hsa04110	2/124	0.2064305486409051260121572113348520360887050628662109375	0.72703177255610340612435038565308786928653717041015625	0.16607268844763545256881798195536248385906219482421875	0.66571063796638763054858145551406778395175933837890625	-1.379280879207248	2.176217301602836	CCND2;BUB1B
HTLV-I infection_Homo sapiens_hsa05166	3/258	0.256533653124873695094976255859364755451679229736328125	0.72703177255610340612435038565308786928653717041015625	0.1928539582437574784190559284979826770722866058349609375	0.66571063796638763054858145551406778395175933837890625	-1.4433998057201456	1.9637388273806349	XBP1;CCND2;BUB1B
Folate biosynthesis_Homo sapiens_hsa00790	1/14	0.09113282789153372143164943963711266405880451202392578125	0.72703177255610340612435038565308786928653717041015625	0.08383927208374118700273669446687563322484493255615234375	0.66571063796638763054858145551406778395175933837890625	-0.781644579464992	1.8723804946645188	GCH1
Circadian rhythm_Homo sapiens_hsa04710	1/30	0.1852270716900442926178271818571374751627445220947265625	0.72703177255610340612435038565308786928653717041015625	0.1657073809421510113271125419487361796200275421142578125	0.66571063796638763054858145551406778395175933837890625	-1.028588132666663	1.734377323497639	PER1
Jak-STAT signaling pathway_Homo sapiens_hsa04630	2/158	0.291776112936794895791337012269650585949420928955078125	0.72703177255610340612435038565308786928653717041015625	0.2382317249231093170269701886354596354067325592041015625	0.66571063796638763054858145551406778395175933837890625	-1.3460410145770183	1.6580109313230385	CCND2;IL10RB
Butanoate metabolism_Homo sapiens_hsa00650	1/28	0.174015960928659285666952882820623926818370819091796875	0.72703177255610340612435038565308786928653717041015625	0.1558781560741449856433149534495896659791469573974609375	0.66571063796638763054858145551406778395175933837890625	-0.9319836579280849	1.629674317311637	BDH1
SNARE interactions in vesicular transport_Homo sapiens_hsa04130	1/34	0.20719811886475392181949928271933458745479583740234375	0.72703177255610340612435038565308786928653717041015625	0.1850319841226042705262244680852745659649372100830078125	0.66571063796638763054858145551406778395175933837890625	-0.8699318828876438	1.3693422455303634	SNAP29
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.319343480194294759844098052781191654503345489501953125	0.72703177255610340612435038565308786928653717041015625	0.26207625812698498446451367271947674453258514404296875	0.66571063796638763054858145551406778395175933837890625	-1.1936054591147083	1.3624863262723153	DNAJB2;XBP1
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	1/35	0.21259835206878807678521070556598715484142303466796875	0.72703177255610340612435038565308786928653717041015625	0.189794482503915784565862168165040202438831329345703125	0.66571063796638763054858145551406778395175933837890625	-0.8016897301361765	1.2412967461517255	PPAT
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.2390566633279828934188770972468773834407329559326171875	0.72703177255610340612435038565308786928653717041015625	0.213202640819842581532128633625688962638378143310546875	0.66571063796638763054858145551406778395175933837890625	-0.8165133176483909	1.1684751964167368	GNMT
Purine metabolism_Homo sapiens_hsa00230	2/176	0.33676134100686549999181806924752891063690185546875	0.72703177255610340612435038565308786928653717041015625	0.277281556270819462550747402929118834435939788818359375	0.66571063796638763054858145551406778395175933837890625	-1.0652110880843837	1.1593552817694555	PPAT;PAICS
Tuberculosis_Homo sapiens_hsa05152	2/178	0.341714884134052432340666882737423293292522430419921875	0.72703177255610340612435038565308786928653717041015625	0.281625902133957273232311990796006284654140472412109375	0.66571063796638763054858145551406778395175933837890625	-1.0490871610537669	1.126487302936263	HSPA9;IL10RB
Arginine and proline metabolism_Homo sapiens_hsa00330	1/50	0.289354320575005929949696792391478084027767181396484375	0.72703177255610340612435038565308786928653717041015625	0.25805631552566321573749519302509725093841552734375	0.66571063796638763054858145551406778395175933837890625	-0.8887866699837066	1.1021872993928428	ALDH18A1
