Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Long-term potentiation_Homo sapiens_hsa04720	3/66	0.007157101577140633809348546634510057629086077213287353515625	0.609549572439784359545456027262844145298004150390625	0.003979043542141215417107247276362613774836063385009765625	0.420749661457137047460008716370793990790843963623046875	-1.8941436591434293	9.356407081282692	ARAF;CALM3;ATF4
Non-small cell lung cancer_Homo sapiens_hsa05223	2/56	0.04389149488291273215612164904086966998875141143798828125	0.609549572439784359545456027262844145298004150390625	0.029889686776347741681281178216522675938904285430908203125	0.420749661457137047460008716370793990790843963623046875	-1.986770588092553	6.21071383130564	ARAF;STK4
N-Glycan biosynthesis_Homo sapiens_hsa00510	2/49	0.034424834149363599256066237330742296762764453887939453125	0.609549572439784359545456027262844145298004150390625	0.023527117441949220444374901717310422100126743316650390625	0.420749661457137047460008716370793990790843963623046875	-1.7419926027817476	5.868733103729605	ALG9;ALG2
Glioma_Homo sapiens_hsa05214	2/65	0.05728761434647465511371677848728722892701625823974609375	0.609549572439784359545456027262844145298004150390625	0.038952568506674244142029550630468293093144893646240234375	0.420749661457137047460008716370793990790843963623046875	-1.98341029389646	5.671900567601341	ARAF;CALM3
Amphetamine addiction_Homo sapiens_hsa05031	2/67	0.060435536315565675791194877319867373444139957427978515625	0.609549572439784359545456027262844145298004150390625	0.0410930148765510649955245980891049839556217193603515625	0.420749661457137047460008716370793990790843963623046875	-1.7967090113567075	5.041885295499533	CALM3;ATF4
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	3/148	0.058492749162622932612709547584017855115234851837158203125	0.609549572439784359545456027262844145298004150390625	0.032960284672455660015533140949628432281315326690673828125	0.420749661457137047460008716370793990790843963623046875	-1.7343105971201107	4.923451936887944	CALM3;ATP1B1;ATF4
Gastric acid secretion_Homo sapiens_hsa04971	2/74	0.07189949456890139256604044248888385482132434844970703125	0.609549572439784359545456027262844145298004150390625	0.04892385437740086329139188592307618819177150726318359375	0.420749661457137047460008716370793990790843963623046875	-1.7129812865614715	4.5093993303685185	CALM3;ATP1B1
Thyroid hormone synthesis_Homo sapiens_hsa04918	2/71	0.066904036175112480133719827790628187358379364013671875	0.609549572439784359545456027262844145298004150390625	0.045504572571467873098871592674186103977262973785400390625	0.420749661457137047460008716370793990790843963623046875	-1.6065317507958312	4.344858665306097	ATP1B1;ATF4
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	3/167	0.0778110625448733272957468898312072269618511199951171875	0.609549572439784359545456027262844145298004150390625	0.04440854475735390993751394717037328518927097320556640625	0.420749661457137047460008716370793990790843963623046875	-1.6826415737402536	4.2965775822641294	CALM3;ATP1B1;ATF4
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	2/81	0.08400094775204190733486342423930182121694087982177734375	0.609549572439784359545456027262844145298004150390625	0.057252134036907174896580130507572903297841548919677734375	0.420749661457137047460008716370793990790843963623046875	-1.6068654680013417	3.980088780319789	CALM3;ATF4
