Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	3/22	0.0013568010652283842530640978196743162698112428188323974609375	0.2061721473110500191250338275494868867099285125732421875	0.00153948305575033719989896940916196399484761059284210205078125	0.143592533254839727074880784130073152482509613037109375	-1.8114062169235403	11.960036892889393	MVK;GGPS1;PMVK
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	5/94	0.002654104335389993567229094395543143036775290966033935546875	0.2061721473110500191250338275494868867099285125732421875	0.002204480582165026236740601461860933341085910797119140625	0.143592533254839727074880784130073152482509613037109375	-1.8940111043674637	11.234607238555828	SESN3;FOXO3;PPARGC1A;CREB5;ATG5
Huntington's disease_Homo sapiens_hsa05016	7/193	0.0035343796681894285201253058659176531364209949970245361328125	0.2061721473110500191250338275494868867099285125732421875	0.0024615862843686809290077999179402468143962323665618896484375	0.143592533254839727074880784130073152482509613037109375	-1.8513701538527876	10.451387150526184	PLCB4;POLR2A;UQCRQ;NDUFB5;HTT;PPARGC1A;CREB5
Viral carcinogenesis_Homo sapiens_hsa05203	7/205	0.0049074135005299189538074955407864763401448726654052734375	0.21469934064818396723950399973546154797077178955078125	0.0034111029259529528252781194197496006381697952747344970703125	0.14923575301044167407127361002494581043720245361328125	-1.9060285744755525	10.13436967036287	RANBP1;HIST1H4A;HIST1H4B;REL;PMAIP1;CREB5;MAPK3
Vascular smooth muscle contraction_Homo sapiens_hsa04270	5/120	0.00747236864479587474530131174788039061240851879119873046875	0.261532902567855607411928531291778199374675750732421875	0.00600533133642749787639569802877304027788341045379638671875	0.2101865967749624031224442433085641823709011077880859375	-1.7622199036962418	8.628785961141213	MYL6;PLCB4;MYL6B;PLA2G6;MAPK3
Endometrial cancer_Homo sapiens_hsa05213	3/52	0.01560804004431081380699364302699905238114297389984130859375	0.390201001107770395481821879002382047474384307861328125	0.0143988037322739063916809953980191494338214397430419921875	0.351534390072043567698756305617280304431915283203125	-1.7478574036074432	7.271032807757003	EGF;FOXO3;MAPK3
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	4/93	0.01467533579454587296109213667705262196250259876251220703125	0.390201001107770395481821879002382047474384307861328125	0.01250746437795008554616504881096261669881641864776611328125	0.351534390072043567698756305617280304431915283203125	-1.7185428447320967	7.25497818630925	PAK1;LIMK1;PLA2G6;MAPK3
Non-small cell lung cancer_Homo sapiens_hsa05223	3/56	0.0190131778976857131191469107989178155548870563507080078125	0.408990927302455509195766580887720920145511627197265625	0.0173791956458581413336172971639825846068561077117919921875	0.351534390072043567698756305617280304431915283203125	-1.8147689972444714	7.191245307671245	EGF;FOXO3;MAPK3
Ras signaling pathway_Homo sapiens_hsa04014	6/227	0.028045092157882665906409869194249040447175502777099609375	0.408990927302455509195766580887720920145511627197265625	0.0209430939760085477185924673904082737863063812255859375	0.351534390072043567698756305617280304431915283203125	-1.724055777305849	6.161674714878611	PAK1;EGF;REL;PLA2G6;RAB5A;MAPK3
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	3/64	0.02695959609327767958486532506867661140859127044677734375	0.408990927302455509195766580887720920145511627197265625	0.024300913269298930752260190502056502737104892730712890625	0.351534390072043567698756305617280304431915283203125	-1.6385017078097621	5.920588245660863	CLPB;FOXO3;ATG5
Alcoholism_Homo sapiens_hsa05034	5/179	0.035458627463684423697376502104816609062254428863525390625	0.43352676956093183502360943748499266803264617919921875	0.028045364062821154238491772048291750252246856689453125	0.351534390072043567698756305617280304431915283203125	-1.5770861682014945	5.266503706455124	HIST1H4A;HIST1H4B;HIST1H3A;CREB5;MAPK3
MAPK signaling pathway_Homo sapiens_hsa04010	6/255	0.04526407229155389455588220926074427552521228790283203125	0.44675354828673696783170044000144116580486297607421875	0.034077932131654060932124394867059891112148761749267578125	0.37272738268996630228713229371351189911365509033203125	-1.6158918287145134	5.001575718110887	NR4A1;PAK1;EGF;DUSP16;MAP3K4;MAPK3
Sphingolipid signaling pathway_Homo sapiens_hsa04071	4/120	0.033548397945978698786451133173613925464451313018798828125	0.43352676956093183502360943748499266803264617919921875	0.028122751205763484028121723667936748825013637542724609375	0.351534390072043567698756305617280304431915283203125	-1.4670129788905653	4.980166028669748	PLCB4;PPP2R2D;S1PR2;MAPK3
