Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	27/397	0.00130340655186404644032271971099135043914429843425750732421875	0.1511951600162293740670094166489434428513050079345703125	0.00024108488594001893537237257714167526501114480197429656982421875	0.0279658467690421970452963051911865477450191974639892578125	-2.0830857455542535	13.837467866438471	CDKN1B;HDAC1;PTGER1;ADCY4;RELA;HSP90B1;CDH1;RASSF5;GNA12;AKT1;RAC3;RALGDS;FZD1;APC2;PDGFRA;EGLN3;SMAD3;FZD7;FZD9;PGF;PIAS2;TGFBR2;NFKBIA;TRAF4;BCL2;ARHGEF1;BCL2L1
Hippo signaling pathway_Homo sapiens_hsa04390	15/153	0.0004385593589116484349553493071738330399966798722743988037109375	0.10174577126750243560859843228172394447028636932373046875	0.0001976221916489471455875837069271483414922840893268585205078125	0.0279658467690421970452963051911865477450191974639892578125	-1.7364751359723776	13.426452470852826	FZD1;APC2;SMAD3;FZD7;WWC1;FZD9;CSNK1E;LIMD1;BMP6;GDF7;TGFBR2;CDH1;ID2;AJUBA;LLGL2
Chronic myeloid leukemia_Homo sapiens_hsa05220	8/73	0.00471913035751065669531900681477054604329168796539306640625	0.278224556851704607485231690588989295065402984619140625	0.003341396144098086710971795554314667242579162120819091796875	0.1938009763576890309710876181270577944815158843994140625	-1.872174720532134	10.027612576254748	NFKBIA;SMAD3;CDKN1B;HDAC1;AKT1;RELA;TGFBR2;BCL2L1
Colorectal cancer_Homo sapiens_hsa05210	7/62	0.00681793213535759022592142031271578161977231502532958984375	0.3163520510805921670538509715697728097438812255859375	0.0051280808507037402288464278399260365404188632965087890625	0.1982857928938779601413244790819589979946613311767578125	-1.8475011636470107	9.215703566120494	APC2;SMAD3;BCL2;AKT1;RAC3;RALGDS;TGFBR2
Purine metabolism_Homo sapiens_hsa00230	14/176	0.004796975118132837910545074322499203844927251338958740234375	0.278224556851704607485231690588989295065402984619140625	0.0021396765607511378758098796737385782762430608272552490234375	0.1654683206980880061376382172966259531676769256591796875	-1.7042752713178846	9.100437528275966	ENTPD2;PDE4D;ADCY4;ADK;NME3;HDDC3;PAPSS1;NT5C;POLR3D;ADSSL1;PDE4A;PDE6B;GART;POLR2L
Pancreatic cancer_Homo sapiens_hsa05212	7/66	0.0095462259824632099414198904696604586206376552581787109375	0.3209626260161078104005127897835336625576019287109375	0.006983536365952040629589969711332742008380591869354248046875	0.2025225546126091791254708596170530654489994049072265625	-1.826072628588793	8.49417658172563	SMAD3;AKT1;RAC3;RALGDS;RELA;TGFBR2;BCL2L1
HTLV-I infection_Homo sapiens_hsa05166	17/258	0.0127849989377861426864679827986037707887589931488037109375	0.3209626260161078104005127897835336625576019287109375	0.0047746738496873310231283227267340407706797122955322265625	0.1982857928938779601413244790819589979946613311767578125	-1.7681393637163891	7.708173061590999	FZD1;APC2;PDGFRA;SMAD3;IL15;FZD7;ADCY4;FZD9;NFATC2;NFATC1;RELA;TGFBR2;NFKBIA;TERT;AKT1;BCL2L1;ANAPC2
Small cell lung cancer_Homo sapiens_hsa05222	8/86	0.0124164543900321285019305861396787804551422595977783203125	0.3209626260161078104005127897835336625576019287109375	0.0082276490352300168940047342402976937592029571533203125	0.2120905084637071114084250211817561648786067962646484375	-1.697118689977108	7.448200322857276	NFKBIA;CDKN1B;TRAF4;BCL2;AKT1;RELA;PIAS2;BCL2L1
B cell receptor signaling pathway_Homo sapiens_hsa04662	7/73	0.016115413805762375532015795442930539138615131378173828125	0.333758068697843357508503459030180238187313079833984375	0.011367252154317726564602963890138198621571063995361328125	0.2344447918291964472192745461143204011023044586181640625	-1.6608474784496556	6.855943655655872	NFKBIA;INPPL1;NFATC2;AKT1;RAC3;NFATC1;RELA
Adipocytokine signaling pathway_Homo sapiens_hsa04920	7/70	0.01299701267014253570908355328583638765849173069000244140625	0.3209626260161078104005127897835336625576019287109375	0.00929644416328937080173933082960502360947430133819580078125	0.2156775045883133901103434482138254679739475250244140625	-1.5557642261587485	6.756739641159844	NFKBIA;CPT1A;AKT1;IRS2;RELA;CAMKK1;PCK2
