Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	11/397	0.0164228830781029296048689758436012198217213153839111328125	0.6874535482261829866246216624858789145946502685546875	0.0211030914100586892978572706169870798476040363311767578125	0.8169066435818328475448879544273950159549713134765625	-2.0296989389536892	8.340194518508673	BCR;CEBPA;WNT11;CCDC6;LPAR2;RAC3;PIK3R3;CBLB;FGFR3;FGFR2;RASGRP3
B cell receptor signaling pathway_Homo sapiens_hsa04662	4/73	0.0156681954535531180183749455636643688194453716278076171875	0.6874535482261829866246216624858789145946502685546875	0.0199876307596587865500481484559713862836360931396484375	0.8169066435818328475448879544273950159549713134765625	-1.9302484828986712	8.022348935257842	CD81;PIK3R3;RAC3;RASGRP3
Sulfur metabolism_Homo sapiens_hsa00920	2/10	0.0072307382241748423268301593225260148756206035614013671875	0.65076644017573581635360824293456971645355224609375	0.0109155434709284661354278256339966901578009128570556640625	0.8169066435818328475448879544273950159549713134765625	-1.5014537000068193	7.4012871028656635	MPST;TST
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	7/214	0.0234318115500731262434985779918861226178705692291259765625	0.6874535482261829866246216624858789145946502685546875	0.029474624930208505324547019199599162675440311431884765625	0.8169066435818328475448879544273950159549713134765625	-1.8219841488000998	6.839110317067425	NCKAP1;CFL2;ARPC5L;RAC3;PIK3R3;FGFR3;FGFR2
Ras signaling pathway_Homo sapiens_hsa04014	7/227	0.0309363513727156889954184038060702732764184474945068359375	0.6874535482261829866246216624858789145946502685546875	0.03843740288952975092673369772455771453678607940673828125	0.8169066435818328475448879544273950159549713134765625	-1.8533830253359205	6.4420320268873965	RASA2;RAC3;PIK3R3;PLA2G6;FGFR3;FGFR2;RASGRP3
RNA transport_Homo sapiens_hsa03013	6/172	0.026446167459373691455137844741329899989068508148193359375	0.6874535482261829866246216624858789145946502685546875	0.032943626942685620695439041583085781894624233245849609375	0.8169066435818328475448879544273950159549713134765625	-1.7458838409754025	6.342174509797679	NUP214;NUP93;EIF5B;DDX39B;NUP98;RPP25L
Sulfur relay system_Homo sapiens_hsa04122	2/10	0.0072307382241748423268301593225260148756206035614013671875	0.65076644017573581635360824293456971645355224609375	0.0109155434709284661354278256339966901578009128570556640625	0.8169066435818328475448879544273950159549713134765625	-1.2273514721785614	6.050123704565192	MPST;TST
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	4/93	0.034372677411309150719009863905739621259272098541259765625	0.6874535482261829866246216624858789145946502685546875	0.04181784605419103240109279795433394610881805419921875	0.8169066435818328475448879544273950159549713134765625	-1.6333966851671171	5.505352569705224	CFL2;ARPC5L;PIK3R3;PLA2G6
Glutathione metabolism_Homo sapiens_hsa00480	3/52	0.0309710056536530546622554282976125250570476055145263671875	0.6874535482261829866246216624858789145946502685546875	0.03782326784647331574529260933559271506965160369873046875	0.8169066435818328475448879544273950159549713134765625	-1.5691558972517892	5.452351980406959	GSTM4;RRM2B;GSTT2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	5/142	0.03978230876773998503370677326529403217136859893798828125	0.7160815578193198138734487656620331108570098876953125	0.048317090350253617814235695959723670966923236846923828125	0.8169066435818328475448879544273950159549713134765625	-1.604304848769855	5.172813015951693	WNT11;PIK3R3;INHBB;FGFR3;FGFR2
VEGF signaling pathway_Homo sapiens_hsa04370	3/61	0.04632160387633969811371770219921017996966838836669921875	0.7227073028774617657887802124605514109134674072265625	0.055127370552164080275137081343928002752363681793212890625	0.8169066435818328475448879544273950159549713134765625	-1.63826398679781	5.032987497879823	MAPKAPK3;PIK3R3;RAC3
MAPK signaling pathway_Homo sapiens_hsa04010	7/255	0.052195527430038905769560386715966160409152507781982421875	0.7227073028774617657887802124605514109134674072265625	0.0634091957410994611077370564089505933225154876708984375	0.8169066435818328475448879544273950159549713134765625	-1.6922710760279016	4.996867751891914	PPM1B;MAPKAPK3;RASA2;RAC3;FGFR3;FGFR2;RASGRP3
Rap1 signaling pathway_Homo sapiens_hsa04015	6/211	0.06065875299200119974418754509315476752817630767822265625	0.72790503590401434141909930986003018915653228759765625	0.0727394768971267868806762635358609259128570556640625	0.8169066435818328475448879544273950159549713134765625	-1.6095765658013639	4.510824377500712	LPAR2;RAC3;PIK3R3;FGFR3;FGFR2;RASGRP3
Central carbon metabolism in cancer_Homo sapiens_hsa05230	3/67	0.058274317307870908411171484431179123930633068084716796875	0.72790503590401434141909930986003018915653228759765625	0.0684211856307586907544049381613149307668209075927734375	0.8169066435818328475448879544273950159549713134765625	-1.4417244946210366	4.098237122891776	PIK3R3;FGFR3;FGFR2
Prolactin signaling pathway_Homo sapiens_hsa04917	3/72	0.0692303971171298881959188520340831018984317779541015625	0.7573332711186566701400124657084234058856964111328125	0.0805061745308961462797014974057674407958984375	0.8169066435818328475448879544273950159549713134765625	-1.4681542864477224	3.9204347776773525	CISH;PIK3R3;CYP17A1
Chronic myeloid leukemia_Homo sapiens_hsa05220	3/73	0.07152592005009535125470421235149842686951160430908203125	0.7573332711186566701400124657084234058856964111328125	0.083027969843638638192118150982423685491085052490234375	0.8169066435818328475448879544273950159549713134765625	-1.413706285152967	3.7289265324909944	BCR;PIK3R3;CBLB
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	3/78	0.08350342513837764879536251783065381459891796112060546875	0.7940096874641218160917333079851232469081878662109375	0.09613610939063922666836248254185193218290805816650390625	0.8169066435818328475448879544273950159549713134765625	-1.2600273332037315	3.1284810764418265	ARPC5L;PIK3R3;CBLB
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	4/151	0.1383878259448646785845227213940233923494815826416015625	0.7940096874641218160917333079851232469081878662109375	0.1571247605662658142211540734933805651962757110595703125	0.8169066435818328475448879544273950159549713134765625	-1.2915192040028751	2.5542313336848994	MLXIP;CEBPA;PIK3R3;NDUFS1
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630	2/28	0.052043527362203058361789231867078342474997043609619140625	0.7227073028774617657887802124605514109134674072265625	0.061525096126231089421754205659453873522579669952392578125	0.8169066435818328475448879544273950159549713134765625	-0.8436583916568283	2.4935798867408936	AFMID;ACAT1
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	3/98	0.138799266396738563145163425360806286334991455078125	0.7940096874641218160917333079851232469081878662109375	0.1558331162119712676172866849810816347599029541015625	0.8169066435818328475448879544273950159549713134765625	-1.2246428321858827	2.4183346736523386	PIK3R3;TRPV1;PLA2G6
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	2/39	0.092974230553908909779892155711422674357891082763671875	0.7940096874641218160917333079851232469081878662109375	0.10556421486615390203933628754384699277579784393310546875	0.8169066435818328475448879544273950159549713134765625	-0.9346520619148988	2.220203271986224	PIK3R3;ATP1B3
Tryptophan metabolism_Homo sapiens_hsa00380	2/40	0.09705061518762005123850400423179962672293186187744140625	0.7940096874641218160917333079851232469081878662109375	0.10990481922057564190264855596979032270610332489013671875	0.8169066435818328475448879544273950159549713134765625	-0.9128221605494579	2.129178347116528	AFMID;ACAT1
