Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Adipocytokine signaling pathway_Homo sapiens_hsa04920	20/70	0.000583642301665434379102925799287504560197703540325164794921875	0.167505340577979666694119487146963365375995635986328125	0.000540491787931152438580195696005148420226760208606719970703125	0.052850560589424500079758217907510697841644287109375	-1.8253740122461453	13.592140602698278	PRKAA1;CPT1A;CHUK;ACSL1;STAT3;ACSL6;SLC2A1;PRKAG1;PRKAG2;IRS2;ADIPOR1;PRKAB1;CAMKK1;RXRB;MAPK9;AKT2;AKT1;AGRP;ACSBG2;PCK2
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	24/101	0.0029676674742197752150663081494030848261900246143341064453125	0.212930141275268880463045206852257251739501953125	0.001475029091594813428212074057910285773687064647674560546875	0.084666669857542287136453751372755505144596099853515625	-1.9763841801157518	11.502514418161242	STAT5A;STAT5B;EGR1;JUN;CDKN1B;TGFB3;PRKCB;PRKCE;MMP2;PRKCD;STAT3;PIK3R3;NFATC1;PIK3R1;MAPK13;DIAPH1;MAPK9;IL6;AKT2;AKT1;CCL2;PLCG1;PLCD3;PLCB2
Choline metabolism in cancer_Homo sapiens_hsa05231	24/101	0.0029676674742197752150663081494030848261900246143341064453125	0.212930141275268880463045206852257251739501953125	0.001475029091594813428212074057910285773687064647674560546875	0.084666669857542287136453751372755505144596099853515625	-1.887908393892521	10.987587200604148	SLC22A4;PDGFRA;DGKE;JUN;SLC44A3;CHKA;EGF;PRKCB;DGKA;PDGFB;PDGFA;PIK3R3;PIK3R1;FOS;GPCPD1;PLD1;DGKZ;EGFR;MAPK9;AKT2;PDGFC;AKT1;PLCG1;RALGDS
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	38/180	0.002382215685973528875030158502568156109191477298736572265625	0.212930141275268880463045206852257251739501953125	0.000552444884210012200111139524238978992798365652561187744140625	0.052850560589424500079758217907510697841644287109375	-1.7261862125520557	10.42568875192686	DDX5;CEBPB;SLC45A3;CDKN1B;LDB1;HDAC1;JMJD1C;PDGFA;SIX1;PLAT;AFF1;RXRB;NFKBIZ;ELANE;NTRK1;JUP;H3F3B;ZBTB16;PBX3;ASPSCR1;HMGA2;IGF1;PML;PTK2;DUSP6;RUNX1;ETV6;IL6;NR4A3;NCOR1;SPINT1;TLX3;WT1;ID2;REL;RARA;NUPR1;BCL2L1
Insulin resistance_Homo sapiens_hsa04931	25/109	0.00406294189699591724862504094062387594021856784820556640625	0.2308130162821832864761262271713349036872386932373046875	0.00180672800560215964481292072463247677660547196865081787109375	0.08642182293463662734467334303190000355243682861328125	-1.7554690865904357	9.665345893805378	PRKAA1;SLC2A1;PRKAG1;PIK3R3;PRKAG2;IRS2;PIK3R1;GYS1;MAPK9;AKT2;MLX;AKT1;PCK2;MGEA5;SREBF1;CPT1A;PRKCB;PRKCE;PRKCD;STAT3;NR1H3;PRKAB1;IL6;PPP1R3C;SLC27A3
Estrogen signaling pathway_Homo sapiens_hsa04915	23/99	0.004825359225411497178515052297598231234587728977203369140625	0.2308130162821832864761262271713349036872386932373046875	0.00235208688992976332199358324714921764098107814788818359375	0.0964355624871202909975664852026966400444507598876953125	-1.7833750011607148	9.512290588823491	JUN;HSP90AB1;HSPA1L;ATF6B;MMP2;PRKCD;PIK3R3;CALML3;PIK3R1;FOS;EGFR;ADCY6;ESR2;GNAI2;AKT2;GNAS;AKT1;FKBP4;CALM1;PRKACB;PLCB2;FKBP5;ATF4
Pathways in cancer_Homo sapiens_hsa05200	70/397	0.00790102885263319933140113704439499997533857822418212890625	0.310403171898156748920172276484663598239421844482421875	0.000421629458943667003410771254579003652906976640224456787109375	0.052850560589424500079758217907510697841644287109375	-1.9496187290528424	9.437640830258296	RB1;CDKN1B;HSP90AB1;ITGA2B;SLC2A1;CBLC;GLI1;FGF1;AKT2;RASSF5;SUFU;AKT1;PRKACB;PDGFRA;CHUK;PRKCB;MMP2;NCOA4;ARNT;FOS;AXIN2;RUNX1;BCR;TRAF4;RARA;CKS2;ARHGEF1;PLCB2;CTBP1;HDAC1;TCF7;PDGFB;PDGFA;CXCR4;PIK3R3;PIK3R1;PLD1;ADCY6;EGFR;GNAI2;RXRB;WNT6;MAPK9;GNG3;GNG5;PLCG1;FADD;RALGDS;NTRK1;STAT5A;WNT10B;STAT5B;JUN;JUP;EGF;TGFB3;FZD7;ZBTB16;STAT3;IGF1;GNG12;PML;PTK2;IL6;LPAR5;LPAR6;GNB1;GNAS;FGFR2;BCL2L1
Lysosome_Homo sapiens_hsa04142	26/123	0.01046432628829634288447625323215106618590652942657470703125	0.310403171898156748920172276484663598239421844482421875	0.0038824962456660843009015326998678574454970657825469970703125	0.1302425564581272399156119945473619736731052398681640625	-1.5987616815611132	7.290006820687551	SCARB2;CLTC;HEXA;ABCB9;GNS;LITAF;SGSH;AP3M1;CLN3;LAPTM4A;AP1G2;CTSL;PSAP;SLC17A5;ATP6V1H;CTSH;AP4S1;CTSE;CTSA;DNASE2B;AP3D1;LAPTM5;AP3B1;GALC;CD68;ATP6V0D1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	30/151	0.01508819814190114592944436111565664759837090969085693359375	0.310403171898156748920172276484663598239421844482421875	0.00444322718801027673196646361475359299220144748687744140625	0.1302425564581272399156119945473619736731052398681640625	-1.7048558331468966	7.14989671433278	PRKAA1;NDUFA13;NDUFB10;NDUFB6;PRKAG1;PIK3R3;PRKAG2;IRS2;PIK3R1;ADIPOR1;MAPK9;BCL2L11;AKT2;MLX;AKT1;NDUFV3;NDUFV2;MAP3K5;SREBF1;XBP1;JUN;NDUFA2;NR1H3;SDHD;PRKAB1;SDHB;IL6;UQCRQ;NDUFS6;ATF4
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	14/56	0.01312379233148472205960910486055581714026629924774169921875	0.310403171898156748920172276484663598239421844482421875	0.00944349702683165703742673713350086472928524017333984375	0.15927709241972498599437813027179799973964691162109375	-1.5958292026962602	6.915252145351234	PIK3R3;ADRB1;IRS2;ADRB2;PIK3R1;ADCY6;GNAI2;ADRB3;AKT2;ADORA1;GNAS;AKT1;PRKACB;PNPLA2
Acute myeloid leukemia_Homo sapiens_hsa05221	14/57	0.0153234635967176187343330440171484951861202716827392578125	0.310403171898156748920172276484663598239421844482421875	0.010701532252764024699676070895293378271162509918212890625	0.15927709241972498599437813027179799973964691162109375	-1.5881627507401428	6.635931683154347	STAT5A;STAT5B;JUP;CHUK;ZBTB16;STAT3;TCF7;PIK3R3;PIK3R1;PML;RUNX1;AKT2;RARA;AKT1
Oxytocin signaling pathway_Homo sapiens_hsa04921	31/158	0.016223162294328748178617871644746628589928150177001953125	0.310403171898156748920172276484663598239421844482421875	0.004538068169272726180840660248350104666315019130706787109375	0.1302425564581272399156119945473619736731052398681640625	-1.6050855063037688	6.615063433491834	MYLK2;PRKAA1;PRKAG1;PIK3R3;PRKAG2;CALML3;CACNA1D;PIK3R1;EGFR;ADCY6;MYLK3;CAMKK1;MYLK;GNAI2;EEF2K;PRKACB;CACNG4;JUN;PRKCB;CACNA2D1;NFATC3;NFATC1;FOS;EEF2;PRKAB1;CACNB1;RCAN1;GNAS;CAMK1;CALM1;PLCB2
FoxO signaling pathway_Homo sapiens_hsa04068	27/133	0.0155656027466354422716943162185998517088592052459716796875	0.310403171898156748920172276484663598239421844482421875	0.005279704840948857939852967291471941280178725719451904296875	0.137752299032029290604128846098319627344608306884765625	-1.5212855394255245	6.332642766417163	PRKAA1;CDKN1B;SETD7;PRKAG1;PIK3R3;PRKAG2;IRS2;PIK3R1;EGFR;GABARAP;MAPK9;BCL2L11;AKT2;AKT1;PCK2;GABARAPL1;HOMER1;CHUK;TGFB3;EGF;STAT3;IGF1;SOD2;PRKAB1;MAPK13;GADD45G;IL6
HIF-1 signaling pathway_Homo sapiens_hsa04066	22/103	0.0155895092924524560074051038327525020577013492584228515625	0.310403171898156748920172276484663598239421844482421875	0.00681176036753278375812659106713908840902149677276611328125	0.150382709652454538140631257192580960690975189208984375	-1.4936416039429214	6.215277323574212	PFKFB3;PDHA1;CDKN1B;EGF;PRKCB;STAT3;SLC2A1;PIK3R3;ARNT;IGF1;PIK3R1;EGFR;HK1;IL6;AKT2;EIF4E1B;MKNK2;AKT1;PLCG1;ALDOA;GAPDH;PDK1
