Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Endometrial cancer_Homo sapiens_hsa05213	5/52	0.0003992328176904108398559412052009065519087016582489013671875	0.060284155471252036384566252991135115735232830047607421875	0.00037973619653256852381206787327982965507544577121734619140625	0.057340165676417843843015731408740975894033908843994140625	-2.005338719865474	15.693712255652285	CASP9;APC;PTEN;CTNNA3;FOXO3
Basal transcription factors_Homo sapiens_hsa03022	4/45	0.0020797087641773359840968726786059050937183201313018798828125	0.15701801169538887048560127368546091020107269287109375	0.001975597252227695270476726108199727605096995830535888671875	0.149157592543190997691482380105298943817615509033203125	-1.8382345065055745	11.352067585151142	CCNH;TAF8;GTF2H1;GTF2H5
Hippo signaling pathway_Homo sapiens_hsa04390	6/153	0.01069987570599329786136255648898440995253622531890869140625	0.53856041053499603687981789335026405751705169677734375	0.007877957890737953550175376449260511435568332672119140625	0.396523880500476988419933377372217364609241485595703125	-1.6883657689571019	7.660998768800571	YAP1;MOB1B;CCND3;APC;DVL2;CTNNA3
Nucleotide excision repair_Homo sapiens_hsa03420	3/47	0.01898111748485302452404965833920869044959545135498046875	0.599455026485741893083059039781801402568817138671875	0.0173466556284133828491622608680700068362057209014892578125	0.52386899997808422657641358455293811857700347900390625	-1.7616320129613279	6.9836564808944805	CCNH;GTF2H1;GTF2H5
Small cell lung cancer_Homo sapiens_hsa05222	4/86	0.0202426371904480296992634436037405976094305515289306640625	0.599455026485741893083059039781801402568817138671875	0.0169888969225920859196232726162634207867085933685302734375	0.52386899997808422657641358455293811857700347900390625	-1.759378493428843	6.861513045515942	RXRB;CASP9;MAX;PTEN
Non-small cell lung cancer_Homo sapiens_hsa05223	3/56	0.0300020616514107170413883096671270322985947132110595703125	0.64718732990900262880273885457427240908145904541015625	0.0268242950287621469140919572282655281014740467071533203125	0.54822829208555201585539862207951955497264862060546875	-1.8577693949564917	6.514248278574206	RXRB;CASP9;FOXO3
Colorectal cancer_Homo sapiens_hsa05210	3/62	0.038859026944578052564782666422615875490009784698486328125	0.6539705953482790601327678814413957297801971435546875	0.0344027912289201764917123682607780210673809051513671875	0.54822829208555201585539862207951955497264862060546875	-1.7293013274157232	5.616450575182451	CASP9;APC;RALGDS
Pathways in cancer_Homo sapiens_hsa05200	9/397	0.0519711731402605903173963497465592809021472930908203125	0.6539705953482790601327678814413957297801971435546875	0.03334329609193260879340670044257421977818012237548828125	0.54822829208555201585539862207951955497264862060546875	-1.816151712551431	5.370480619514987	RXRB;CASP9;RALB;APC;MAX;DVL2;PTEN;CTNNA3;RALGDS
Pancreatic cancer_Homo sapiens_hsa05212	3/66	0.045420075591038146234357242292389855720102787017822265625	0.6539705953482790601327678814413957297801971435546875	0.04000841210967544248067184753381297923624515533447265625	0.54822829208555201585539862207951955497264862060546875	-1.7152288506709026	5.303146409586909	CASP9;RALB;RALGDS
One carbon pool by folate_Homo sapiens_hsa00670	2/20	0.0238194050259235186317585686310849268920719623565673828125	0.599455026485741893083059039781801402568817138671875	0.0239530126328168779803462484778719954192638397216796875	0.54822829208555201585539862207951955497264862060546875	-1.3763943628163815	5.143936292250481	MTHFR;ALDH1L2
