Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Spliceosome_Homo sapiens_hsa03040	81/134	0.00000029088235542853497278675540919923303562200089800171554088592529296875	0.000084646765429703671522292107720630838230135850608348846435546875	0.0000156803722840568592901931699312711998572922311723232269287109375	0.004562988334660546263510383369066403247416019439697265625	-1.7966192231581692	27.039742606753485	ISY1;DDX46;EIF4A3;PRPF19;USP39;PQBP1;SART1;SNRPD2;DHX15;SNRPD3;BCAS2;NCBP1;NCBP2;BUD31;THOC1;PRPF40A;THOC3;THOC2;WBP11;PRPF6;PRPF18;DDX39B;SYF2;PRPF3;SNRPG;SRSF3;SNRNP27;PPIE;SRSF4;PPIH;SNRPE;SRSF5;SRSF6;SNRPC;SNRNP200;SRSF7;SRSF9;SNRPB;DDX5;SF3B3;DHX8;RBM8A;SF3B6;DDX23;PRPF8;U2AF1L4;ZMAT2;PUF60;U2AF2;PCBP1;TRA2B;TRA2A;DHX38;SNRPB2;HNRNPA1;SF3B1;SMNDC1;SF3A3;HSPA8;PPIL1;PRPF38B;SF3A1;PRPF38A;SF3A2;CCDC12;ALYREF;CWC15;LSM5;LSM3;U2SURP;CHERP;HNRNPM;LSM8;XAB2;SNRNP40;PHF5A;HNRNPK;LSM6;ACIN1;PRPF31;HNRNPC
Ribosome_Homo sapiens_hsa03010	74/137	0.0002014011269672112453173185020460778105189092457294464111328125	0.02930386397372923557025359286853927187621593475341796875	0.0004822269320375478763272825144525768337189219892024993896484375	0.038376154709087666183631171179513330571353435516357421875	-1.721897760125387	14.653714950048098	RPL30;RPL34;MRPS11;RPLP1;MRPS10;MRPL36;RPL8;MRPL34;RPL9;RPL6;RPL7;MRPL4;RPS15;RPS4X;MRPL3;RPS14;RPL7A;RPS17;MRPL2;MRPL1;RPS19;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;RPL13A;MRPS2;MRPS21;RPSA;MRPS7;MRPS6;MRPS5;RPL37A;RPL26;RPL28;RPL12;MRPL18;RPL11;RPL36A;RPS27L;MRPL14;MRPL15;MRPL12;MRPL13;MRPL10;RPS3;RPL15;RPL18;RPS27A;RPL19;MRPL28;MRPL23;MRPL21;RPS26;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RSL24D1;RPS24
RNA transport_Homo sapiens_hsa03013	89/172	0.000353325721865684560206444242425050106248818337917327880859375	0.034272595020971401147402701781174982897937297821044921875	0.0004034502936342593986708549014252866982133127748966217041015625	0.038376154709087666183631171179513330571353435516357421875	-1.8186466533237464	14.454822204941765	CYFIP2;EIF4A2;CYFIP1;POP5;EIF4A1;POP7;NUP107;NXT1;POP1;GEMIN2;FMR1;POP4;EIF4A3;PNN;SUMO1;SUMO3;XPO5;EIF2B1;UPF2;NDC1;UPF1;SEC13;NCBP1;NUP133;NCBP2;ELAC2;PABPC4;THOC1;THOC3;THOC2;TRNT1;SENP2;THOC5;RPP25L;SRRM1;THOC6;EEF1A1;DDX39B;NUP50;RPP21;GEMIN4;STRAP;GEMIN7;PABPC1;GEMIN8;EIF4E2;EIF1B;KPNB1;SEH1L;RBM8A;DDX20;NMD3;NUP160;FXR1;FXR2;TGS1;TPR;SAP18;EIF4EBP2;NUP43;SMN1;RAE1;EIF4E;PAIP1;EIF2B3;UBE2I;EIF2B2;NUP155;ALYREF;RPP40;NUP153;EIF2S2;EIF2S1;EIF1;EIF5;XPOT;EIF3I;EIF3G;TACC3;NUP35;ACIN1;EIF3C;EIF4G3;EIF3D;NUPL1;EIF4G2;EIF3A;EIF4G1;EIF3B
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	87/169	0.00050739879469923984157964103047788739786483347415924072265625	0.036913262314369699179650297082844190299510955810546875	0.0005275072812245726848467963776556644006632268428802490234375	0.038376154709087666183631171179513330571353435516357421875	-1.7426796805856277	13.220339746531105	HSP90AB1;TUSC3;PRKCSH;UBE2D3;UBE2D1;SEC61A1;MAN1A2;SEC61G;FBXO6;SEC61B;SEC62;UBXN6;PDIA3;SEC13;SSR4;SSR2;UBE2E1;TRAF2;UBE4B;DDOST;ERN1;DNAJC3;DNAJC1;DAD1;DNAJC5;DDIT3;DNAJB11;CANX;ERP29;PREB;ATF4;SEC23A;RPN2;DERL3;SEL1L;RPN1;CUL1;DERL1;DERL2;RRBP1;RNF5;HSPBP1;HSP90B1;UBE2J1;ATXN3;DNAJB1;ERLEC1;GANAB;LMAN2;BAG1;UBQLN1;MAN1C1;BAK1;MAP2K7;UGGT2;UBQLN4;TXNDC5;SEC31A;BCAP31;HSPA8;SEC24B;XBP1;SEC24A;HSPA5;DNAJC5B;EDEM1;EIF2AK1;EIF2AK3;SYVN1;EIF2AK2;UBE2G1;UBE2G2;MARCH6;EIF2S1;SVIP;DNAJA2;STT3A;BCL2;BAX;STUB1;STT3B;P4HB;SEC24D;SEC24C;RNF185;MBTPS2;NFE2L2
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	53/98	0.00146289713572475272955475400493696724879555404186248779296875	0.08514061329918061471477841450905543752014636993408203125	0.0028141777301058635250841089003870365559123456478118896484375	0.1364876199101343889896753580615040846168994903564453125	-1.7537541173195255	11.447343209261648	PI4K2B;DGKE;DGKD;DGKA;PTEN;CALML3;PIK3CG;PIK3C2B;PPIP5K1;IMPA1;PPIP5K2;IMPA2;PIP4K2A;PIP4K2C;PRKCG;IPMK;ITPK1;OCRL;DGKZ;INPP4A;ITPKB;ITPKC;PLCB4;DGKQ;IMPAD1;PIK3C3;PI4K2A;DGKI;IPPK;TMEM55A;MTMR2;MTMR3;ITPR2;ITPR3;PIK3R2;PIK3R1;MTMR4;INPP5B;INPP5A;INPP5D;INPP5J;INPP5K;PIP5K1A;PIP5K1C;CDIPT;SYNJ2;SYNJ1;CALM3;PI4KB;CALM1;PLCD3;PLCD1;CDS2
Chronic myeloid leukemia_Homo sapiens_hsa05220	41/73	0.00189495701058545011619127507174198399297893047332763671875	0.09190541501339433150263857896788977086544036865234375	0.00494089828176953911598179303155120578594505786895751953125	0.1797251749993669933669337979154079221189022064208984375	-1.7739314843794554	11.119994396036347	RB1;SHC4;CDKN1A;CTBP2;SHC1;CTBP1;PIK3R2;CBLB;PIK3R1;PIK3CG;CRKL;IKBKB;NRAS;MECOM;CCND1;AKT2;ABL1;AKT1;E2F3;IKBKG;STAT5A;STAT5B;TGFB2;MAP2K1;SMAD3;MAP2K2;CHUK;PTPN11;NFKB1;RUNX1;TGFBR2;BCR;CDK4;MDM2;GRB2;KRAS;SOS1;RAF1;SOS2;CRK;BCL2L1
B cell receptor signaling pathway_Homo sapiens_hsa04662	40/73	0.0039049681333261677951274037923212745226919651031494140625	0.12118346297707127678933147763018496334552764892578125	0.0074023868946825437109549028491528588347136974334716796875	0.1989198785178785400251655346437473781406879425048828125	-1.7281977295619095	9.583730284323856	GSK3B;CD81;PIK3R2;PIK3R1;BCL10;MALT1;PIK3CG;IKBKB;PPP3CA;NRAS;PPP3R1;PPP3CC;AKT2;INPP5D;CD19;BLNK;AKT1;RAC1;IKBKG;JUN;MAP2K1;MAP2K2;SYK;CHUK;NFATC3;NFATC2;NFATC1;FOS;VAV1;NFKB1;VAV2;BTK;PTPN6;GRB2;KRAS;SOS1;RAF1;PIK3AP1;SOS2;CARD11
Fanconi anemia pathway_Homo sapiens_hsa03460	31/53	0.0028072342298789318935925418685428667231462895870208740234375	0.1061753745124306702596328477739007212221622467041015625	0.00888645505406330214748233942145816399715840816497802734375	0.1989198785178785400251655346437473781406879425048828125	-1.5306602596254775	8.993479368557194	MUS81;WDR48;BRCA1;BRIP1;SLX4;EME2;PMS2;POLI;HES1;POLK;ATRIP;POLH;FANCI;TOP3B;POLN;RMI1;SLX1B;FANCL;TOP3A;FANCC;FANCB;MLH1;FANCE;PALB2;FANCG;FANCF;APITD1;FANCD2;ERCC4;RPA3;ATR
Prostate cancer_Homo sapiens_hsa05215	47/89	0.00487738435952605152434724544718847027979791164398193359375	0.1273961118410718851290397424236289225518703460693359375	0.0065684154946804330921228398665334680117666721343994140625	0.1989198785178785400251655346437473781406879425048828125	-1.6824071222661936	8.955699070848475	RB1;GSK3B;CDKN1A;HSP90AB1;TCF7;PTEN;PDGFB;TGFA;PIK3R2;PIK3R1;PIK3CG;HSP90B1;IGF1R;CASP9;IKBKB;NRAS;CCND1;CREB3L4;CREB3L1;AKT2;CREB3L2;PDGFC;AKT1;E2F3;IKBKG;PDGFRA;CREBBP;MAP2K1;MAP2K2;CHUK;EGF;PDPK1;NFKB1;MTOR;CREB3;CREB1;BCL2;MDM2;CTNNB1;GRB2;KRAS;SOS1;RAF1;SOS2;FGFR2;ATF4;CREB5
Endocytosis_Homo sapiens_hsa04144	121/259	0.00525344791097203701879525539197857142426073551177978515625	0.1273961118410718851290397424236289225518703460693359375	0.000935249425097453199705321846835204269154928624629974365234375	0.054431516540671777415472121219863765873014926910400390625	-1.6915741453770508	8.878853922864725	WIPF2;WIPF3;ARPC5L;CBLB;IGF1R;ZFYVE27;KIF5A;VPS35;SH3GL1;SH3GLB2;PDGFRA;USP8;RUFY1;ACAP3;ACAP2;ZFYVE16;RAB31;PARD3;CHMP4B;VPS25;STAM2;TSG101;AGAP1;VPS26A;ADRB1;VPS26B;AGAP3;PLD1;PRKCZ;SNX4;SNX1;RAB11FIP1;SNX2;GRK5;PIP5K1A;PIP5K1C;RAB11FIP2;RAB11FIP3;SNX6;SMAD2;HSPA8;TGFB2;SMAD3;IQSEC2;SMURF1;IQSEC3;ARPC4;STAM;SNF8;ARPC5;EHD1;EHD3;DAB2;EHD4;ARPC2;ARPC3;CHMP2A;MDM2;FGFR2;ARF3;ARF1;ARPC1B;ARPC1A;CLTC;SNX12;CLTA;AP2A1;ARRB1;EEA1;PIP5KL1;PSD4;LDLRAP1;RAB8A;GIT1;PSD;PDCD6IP;VPS37B;ARAP1;ARFGAP1;EPN1;TGFBR2;EPN2;DNM2;RABEP1;DNAJC6;TRAF6;CHMP3;CHMP6;ARF5;ARF6;CHMP5;SRC;VPS4B;VPS4A;ASAP3;CXCR4;SNX32;ASAP1;ASAP2;CDC42;CYTH2;PARD6B;ERBB3;ERBB4;MVB12B;MVB12A;LDLR;CYTH1;ARFGEF1;GIT2;EGF;AP2B1;PML;RAB11A;RAB10;ITCH;CAPZA1;VPS45;SMAP2;SMAP1;FOLR1
