Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	5/94	0.00082620209233199627153754196484669591882266104221343994140625	0.08227523277401486978543942996111582033336162567138671875	0.000823475212707922943171368057591053002397529780864715576171875	0.08284798283456860923390507878139032982289791107177734375	-1.9230851593867602	13.651349140948149	CREB1;RPS6KB2;PRKAG2;ADCY6;FOXO1
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	4/64	0.0015365789875134007284873671750347057241015136241912841796875	0.08227523277401486978543942996111582033336162567138671875	0.00161392174353055715095572875128482337458990514278411865234375	0.08284798283456860923390507878139032982289791107177734375	-1.9800166304619278	12.82693734057275	RPS6KB2;PRKAG2;ADCY6;FOXO1
Insulin resistance_Homo sapiens_hsa04931	5/109	0.00160276427481847159352279508226502002798952162265777587890625	0.08227523277401486978543942996111582033336162567138671875	0.00155282521068257997089168132021086421445943415164947509765625	0.08284798283456860923390507878139032982289791107177734375	-1.808483788137748	11.639447720154843	NFKBIA;CREB1;RPS6KB2;PRKAG2;FOXO1
Circadian entrainment_Homo sapiens_hsa04713	4/95	0.006400933148670383439349240717319844407029449939727783203125	0.246435926223809775859052706437068991363048553466796875	0.006288554131634815046181241626754854223690927028656005859375	0.242109334067940384915829099554684944450855255126953125	-1.8604668209892397	9.397797438492221	CREB1;GNG7;NOS1;ADCY6
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	3/66	0.0146318852601546346703376144660069257952272891998291015625	0.349594749736785725957588510937057435512542724609375	0.0147558827647081558520625321762054227292537689208984375	0.334410291417741312169908951545949093997478485107421875	-1.9644466007463202	8.298907227884062	CARS;YARS;FARSB
Renin secretion_Homo sapiens_hsa04924	3/64	0.01347196849384287888062861071603037999011576175689697265625	0.349594749736785725957588510937057435512542724609375	0.013633644623753791991216388623797683976590633392333984375	0.334410291417741312169908951545949093997478485107421875	-1.7464872948734218	7.522372552846271	CREB1;AGT;ADCY6
AMPK signaling pathway_Homo sapiens_hsa04152	4/124	0.015890670442581168730900031960118212737143039703369140625	0.349594749736785725957588510937057435512542724609375	0.015200467791715514820349852698200265876948833465576171875	0.334410291417741312169908951545949093997478485107421875	-1.638704363928874	6.787551340258702	CREB1;RPS6KB2;PRKAG2;FOXO1
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	3/89	0.031951102005688354623647029484345694072544574737548828125	0.49204697088760063206080985764856450259685516357421875	0.03136890932265577747184437384930788539350032806396484375	0.4830812035688989425352701800875365734100341796875	-1.7407976546371053	5.9945213390122944	EMG1;BMS1;MPHOSPH10
Prostate cancer_Homo sapiens_hsa05215	3/89	0.031951102005688354623647029484345694072544574737548828125	0.49204697088760063206080985764856450259685516357421875	0.03136890932265577747184437384930788539350032806396484375	0.4830812035688989425352701800875365734100341796875	-1.7129425408089338	5.898600900586382	NFKBIA;CREB1;FOXO1
Circadian rhythm_Homo sapiens_hsa04710	2/30	0.0225234332857369989877582838744274340569972991943359375	0.43357609075043723745324086848995648324489593505859375	0.023736656953674127590314668623250327073037624359130859375	0.456930646358226943970493039159919135272502899169921875	-1.421977979897071	5.39384549739566	CREB1;PRKAG2
Glucagon signaling pathway_Homo sapiens_hsa04922	3/101	0.043879418523018520748024684507981874048709869384765625	0.4986131068698920199011581644299440085887908935546875	0.0427422059549215915819075917170266620814800262451171875	0.492235857264692711066089714222471229732036590576171875	-1.6082939560845946	5.028025309280541	CREB1;PRKAG2;FOXO1
Choline metabolism in cancer_Homo sapiens_hsa05231	3/101	0.043879418523018520748024684507981874048709869384765625	0.4986131068698920199011581644299440085887908935546875	0.0427422059549215915819075917170266620814800262451171875	0.492235857264692711066089714222471229732036590576171875	-1.604287286039767	5.015499217072637	SLC22A4;SLC22A5;RPS6KB2
NF-kappa B signaling pathway_Homo sapiens_hsa04064	3/93	0.035710330835653815440000613534721196629106998443603515625	0.4986131068698920199011581644299440085887908935546875	0.034956295432599114592076006147181033156812191009521484375	0.489388136056387590411276278246077708899974822998046875	-1.4828981001177461	4.94148395753162	NFKBIA;LTBR;ERC1
Cholinergic synapse_Homo sapiens_hsa04725	3/111	0.05527945410751793076098437040855060331523418426513671875	0.4986131068698920199011581644299440085887908935546875	0.053595775829338963835990483630666858516633510589599609375	0.492235857264692711066089714222471229732036590576171875	-1.6327713103705515	4.727450903120973	CREB1;GNG7;ADCY6
Chemokine signaling pathway_Homo sapiens_hsa04062	4/187	0.057849133565840260562396224486292339861392974853515625	0.4986131068698920199011581644299440085887908935546875	0.05433772450324529657006422667109291069209575653076171875	0.492235857264692711066089714222471229732036590576171875	-1.5131532192473442	4.3123607846060485	NFKBIA;CCL7;GNG7;ADCY6
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	2/44	0.04566758030944005619655712280291481874883174896240234375	0.4986131068698920199011581644299440085887908935546875	0.046353529662678048806068176190819940529763698577880859375	0.492235857264692711066089714222471229732036590576171875	-1.3232846929354212	4.08414172520789	CREB1;ADCY6
Viral carcinogenesis_Homo sapiens_hsa05203	4/205	0.07552468845689554177713631588630960322916507720947265625	0.51341056677353014148224019663757644593715667724609375	0.0708832189846715088332729237663443200290203094482421875	0.5198102725542577129402843638672493398189544677734375	-1.4481412173718011	3.740976946161126	NFKBIA;CREB1;HIST1H4J;LTBR
Nucleotide excision repair_Homo sapiens_hsa03420	2/47	0.051411230874440876081887807913517463020980358123779296875	0.4986131068698920199011581644299440085887908935546875	0.05192874911369786683490445966526749543845653533935546875	0.492235857264692711066089714222471229732036590576171875	-1.2138946464069011	3.602716259110664	CETN2;RAD23B
Lysine degradation_Homo sapiens_hsa00310	2/52	0.061517201496934729998411484075404587201774120330810546875	0.4986131068698920199011581644299440085887908935546875	0.061720050022949397849902908319563721306622028350830078125	0.50025724755443190527870456207892857491970062255859375	-1.1459976794199564	3.19554398619101	SUV39H1;PLOD3
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	2/51	0.059445124766402131222253757414364372380077838897705078125	0.4986131068698920199011581644299440085887908935546875	0.05971402736352894591309592442485154606401920318603515625	0.50025724755443190527870456207892857491970062255859375	-1.102645389277906	3.1124389760201723	CYCS;NOS1
Legionellosis_Homo sapiens_hsa05134	2/55	0.0678779960557156780698306874910485930740833282470703125	0.51341056677353014148224019663757644593715667724609375	0.06787421738452141528608052567506092600524425506591796875	0.5198102725542577129402843638672493398189544677734375	-1.1200034735441136	3.0128579082126525	NFKBIA;CYCS
