Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Vibrio cholerae infection_Homo sapiens_hsa05110	2/51	0.007222593699811956889644815049678072682581841945648193359375	0.19453270081256757162435633290442638099193572998046875	0.00790295310540133945365059986443156958557665348052978515625	0.212272081526612865776115768312592990696430206298828125	-1.9742658571115224	9.734199054240742	ATP6V1A;TJP2
Pancreatic cancer_Homo sapiens_hsa05212	2/66	0.0118651881112543343410603569054728723131120204925537109375	0.1977531351875722320787787111839861609041690826416015625	0.0127716340428414738827900265505377319641411304473876953125	0.2123643777656445130741502680393750779330730438232421875	-1.9369164065066835	8.588571172343954	BRCA2;VEGFA
Fanconi anemia pathway_Homo sapiens_hsa03460	2/53	0.007781308032502702587418497159887920133769512176513671875	0.19453270081256757162435633290442638099193572998046875	0.008490883261064514908600386888792854733765125274658203125	0.212272081526612865776115768312592990696430206298828125	-1.7542180056336925	8.518536713254298	BRCA1;BRCA2
RNA degradation_Homo sapiens_hsa03018	2/77	0.0159059263162860016482813563243325916118919849395751953125	0.19882407895357501192989957417012192308902740478515625	0.016989150221251560213264752974282600916922092437744140625	0.2123643777656445130741502680393750779330730438232421875	-1.7748225982431027	7.349653107014612	PAN2;BTG1
Rheumatoid arthritis_Homo sapiens_hsa05323	2/90	0.021328873082628048429842948507939581759274005889892578125	0.213288730826280470420641677264939062297344207763671875	0.02263417215889607092549340450204908847808837890625	0.2263417215889607092549340450204908847808837890625	-1.6601897297461474	6.387901365392675	ATP6V1A;VEGFA
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	3/341	0.0535063122534764346038826943185995332896709442138671875	0.31461361928677999966197376124910078942775726318359375	0.054951713033609607406138053420363576151430606842041015625	0.3264708453375184671330089258844964206218719482421875	-1.911478946913969	5.596725574814836	BRCA1;ITGB6;VEGFA
Phagosome_Homo sapiens_hsa04145	2/154	0.05674581162138463141797473099359194748103618621826171875	0.31461361928677999966197376124910078942775726318359375	0.05937894492383773148436176825271104462444782257080078125	0.3264708453375184671330089258844964206218719482421875	-1.5385501294685582	4.414367151229178	ATP6V1A;TUBB2B
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.066798721835903129839806524614687077701091766357421875	0.31461361928677999966197376124910078942775726318359375	0.06980293405680131069157567935690167360007762908935546875	0.3264708453375184671330089258844964206218719482421875	-1.5994429271584314	4.328206653658205	ATF6;SIL1
Selenocompound metabolism_Homo sapiens_hsa00450	1/17	0.0416768740944068183384985104567022062838077545166015625	0.31461361928677999966197376124910078942775726318359375	0.045164725106940077636874519839693675749003887176513671875	0.3264708453375184671330089258844964206218719482421875	-1.2812776516555677	4.071655501847379	SEPSECS
Focal adhesion_Homo sapiens_hsa04510	2/202	0.090758957548990160102420077237184159457683563232421875	0.31461361928677999966197376124910078942775726318359375	0.0946599191399386252765424387689563445746898651123046875	0.3264708453375184671330089258844964206218719482421875	-1.6454069573291223	3.9482331463047666	ITGB6;VEGFA
Collecting duct acid secretion_Homo sapiens_hsa04966	1/27	0.06539242137025728929256018773230607621371746063232421875	0.31461361928677999966197376124910078942775726318359375	0.0694166284129479616016311638304614461958408355712890625	0.3264708453375184671330089258844964206218719482421875	-1.1835574202938688	3.227974038293779	ATP6V1A
Regulation of autophagy_Homo sapiens_hsa04140	1/39	0.0930927144916211812830653116179746575653553009033203125	0.31461361928677999966197376124910078942775726318359375	0.09775107486716526350445377602227381430566310882568359375	0.3264708453375184671330089258844964206218719482421875	-1.2305749540473254	2.921581036000535	ATG7
Bladder cancer_Homo sapiens_hsa05219	1/41	0.097630533718678524923717532146838493645191192626953125	0.31461361928677999966197376124910078942775726318359375	0.10239352574651015836959544458295567892491817474365234375	0.3264708453375184671330089258844964206218719482421875	-1.2509971438932042	2.9105261563343965	VEGFA
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	2/265	0.141950500578728544542883582835202105343341827392578125	0.31461361928677999966197376124910078942775726318359375	0.1478506615455838779649155867446097545325756072998046875	0.3264708453375184671330089258844964206218719482421875	-1.4194680688805497	2.771194678047268	CXCL2;VEGFA
Legionellosis_Homo sapiens_hsa05134	1/55	0.1287781187092689461071159939820063300430774688720703125	0.31461361928677999966197376124910078942775726318359375	0.134264565454887241369164030402316711843013763427734375	0.3264708453375184671330089258844964206218719482421875	-1.3305437822259725	2.727168177221668	CXCL2
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.13964489232092691661790695434319786727428436279296875	0.31461361928677999966197376124910078942775726318359375	0.145385769712199686143350163547438569366931915283203125	0.3264708453375184671330089258844964206218719482421875	-1.3354185500430276	2.6289751500433476	VEGFA
VEGF signaling pathway_Homo sapiens_hsa04370	1/61	0.1418022521636585209225955850342870689928531646728515625	0.31461361928677999966197376124910078942775726318359375	0.1475937582533430603159985139427590183913707733154296875	0.3264708453375184671330089258844964206218719482421875	-1.330055517847053	2.598026414722602	VEGFA
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	1/55	0.1287781187092689461071159939820063300430774688720703125	0.31461361928677999966197376124910078942775726318359375	0.134264565454887241369164030402316711843013763427734375	0.3264708453375184671330089258844964206218719482421875	-1.2345292411885282	2.530370593883376	TUBB2B
Homologous recombination_Homo sapiens_hsa03440	1/29	0.0700660361437734080514161405517370440065860748291015625	0.31461361928677999966197376124910078942775726318359375	0.07419667352336467569529077081824652850627899169921875	0.3264708453375184671330089258844964206218719482421875	-0.929762352163872	2.4716031672685976	BRCA2
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	1/66	0.1525097807026201401914278221738641150295734405517578125	0.31461361928677999966197376124910078942775726318359375	0.158553121659876949944845136997173540294170379638671875	0.3264708453375184671330089258844964206218719482421875	-1.2834721991989488	2.413603545800445	SEPSECS
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	1/57	0.133140874475752901684444395868922583758831024169921875	0.31461361928677999966197376124910078942775726318359375	0.13872934933486724684570390309090726077556610107421875	0.3264708453375184671330089258844964206218719482421875	-1.172837668979931	2.3648483073119047	CXCL2
MicroRNAs in cancer_Homo sapiens_hsa05206	2/297	0.169891354414861195376573732573888264596462249755859375	0.31461361928677999966197376124910078942775726318359375	0.1769330762108402288479425124023691751062870025634765625	0.3264708453375184671330089258844964206218719482421875	-1.280551873642491	2.269901305618881	BRCA1;VEGFA
Renal cell carcinoma_Homo sapiens_hsa05211	1/66	0.1525097807026201401914278221738641150295734405517578125	0.31461361928677999966197376124910078942775726318359375	0.158553121659876949944845136997173540294170379638671875	0.3264708453375184671330089258844964206218719482421875	-1.1316838547127517	2.1281615341295117	VEGFA
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	1/68	0.156756036124605924175767768247169442474842071533203125	0.31461361928677999966197376124910078942775726318359375	0.162899493295439123929924107869737781584262847900390625	0.3264708453375184671330089258844964206218719482421875	-1.1063034865546602	2.0500518192045	ATP6V1A
Synaptic vesicle cycle_Homo sapiens_hsa04721	1/63	0.1461010795284047592001996918043005280196666717529296875	0.31461361928677999966197376124910078942775726318359375	0.1519935824170358384943568808012059889733791351318359375	0.3264708453375184671330089258844964206218719482421875	-0.9436875021478404	1.8151419272444227	ATP6V1A
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	1/74	0.1693700913073303837563798879273235797882080078125	0.31461361928677999966197376124910078942775726318359375	0.1758117412178926419752400533980107866227626800537109375	0.3264708453375184671330089258844964206218719482421875	-0.9568742948927201	1.699092088342542	ITGB6
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	1/70	0.1609814395597062575138380680073169060051441192626953125	0.31461361928677999966197376124910078942775726318359375	0.1672246555469457940379385263440781272947788238525390625	0.3264708453375184671330089258844964206218719482421875	-0.9205055702732714	1.6812723136678602	TANK
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	1/101	0.2238823153117196207428918341975077055394649505615234375	0.32174182957934960302992521974374540150165557861328125	0.23162407934155193611758249971899203956127166748046875	0.33275340038567680078784860597806982696056365966796875	-1.1181066924420806	1.673397322579441	VEGFA
