Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	72/169	0.0001766819920763824003535902296135873257298953831195831298828125	0.050707731725921752208297021979888086207211017608642578125	0.0000858609101660550940761373883702844977960921823978424072265625	0.024642081217657811620380670092345098964869976043701171875	-1.814298057299226	15.677638161133395	TRAM1;TUSC3;PRKCSH;NGLY1;SEC61A1;CAPN2;FBXO6;CAPN1;SIL1;UBXN6;MAP3K5;SEC63;HSP90AA1;SEC13;FBXO2;SSR3;MOGS;YOD1;UBE4B;PDIA6;RAD23B;CKAP4;DAD1;DDIT3;DNAJB11;PLAA;PREB;MAN1B1;ATF6;VCP;SEC23A;ATF6B;SAR1B;HSPA4L;RPN1;CUL1;DERL1;RRBP1;RNF5;HSPBP1;HSP90B1;UBE2J1;DNAJB2;ATXN3;DNAJB1;LMAN1;MAPK8;HSPH1;BAG2;LMAN2;MAP2K7;UGGT2;SEC31B;TXNDC5;UBQLN2;BCAP31;XBP1;SEC24A;HSPA1L;WFS1;EIF2AK3;EIF2S1;SVIP;MAPK10;DNAJC10;DNAJA2;STUB1;STT3B;CALR;RNF185;HSPA1A;NFE2L2
Prostate cancer_Homo sapiens_hsa05215	36/89	0.017040562073000038723069593515901942737400531768798828125	0.813587893941758011351339519023895263671875	0.0089421670024711387425586650579134584404528141021728515625	0.320800241213652082006291266225161962211132049560546875	-1.9572258891508554	7.970134574505183	RB1;GSK3B;CDKN1A;PTEN;PDGFB;PIK3R3;PDGFA;PIK3R2;PIK3R1;EGFR;FOXO1;PIK3CG;HSP90B1;IGF1R;CASP9;CCND1;CREB3L1;PDGFD;E2F1;IKBKG;HRAS;PDGFRA;TCF7L2;HSP90AA1;MAP2K1;BAD;BRAF;NFKB1;MTOR;NFKBIA;CREB3;AR;CCNE1;MDM2;CTNNB1;SOS1
Nucleotide excision repair_Homo sapiens_hsa03420	21/47	0.0189482607478277699508684150941917323507368564605712890625	0.813587893941758011351339519023895263671875	0.0186127696548798494957654980908046127296984195709228515625	0.400475873853662622803284421024727635085582733154296875	-1.7616320129613279	6.9867085474961685	RFC5;PCNA;LIG1;RFC1;RFC2;CETN2;RPA1;RPA2;GTF2H1;XPC;GTF2H3;RAD23B;CUL4A;POLD3;CDK7;RPA3;ERCC2;POLE3;POLD2;ERCC8;ERCC5
Wnt signaling pathway_Homo sapiens_hsa04310	53/142	0.0259472549150645027948858256650055409409105777740478515625	0.813587893941758011351339519023895263671875	0.006607035266487037115934466413591508171521127223968505859375	0.320800241213652082006291266225161962211132049560546875	-1.7525367687099318	6.399720044081703	INVS;GSK3B;WNT2B;PPP3CA;FRAT1;CCND3;FRAT2;CCND2;CCND1;RUVBL1;BTRC;PRKACB;CTNNBIP1;AXIN1;CACYBP;CSNK1E;AXIN2;WNT9A;SFRP2;PLCB4;DAAM1;TBL1XR1;CAMK2D;CAMK2A;CUL1;PRICKLE2;PSEN1;PRICKLE1;NLK;NKD2;MAPK8;WNT11;DVL1;DVL2;FZD1;WNT10B;TCF7L2;WNT10A;JUN;FZD5;FZD4;CSNK1A1;FZD9;NFATC3;WNT7A;NFATC1;NFATC4;MAPK10;VANGL1;FOSL1;APC;BAMBI;CTNNB1
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	52/137	0.019573934022061124926583630667664692737162113189697265625	0.813587893941758011351339519023895263671875	0.005470632956389152347365101292098188423551619052886962890625	0.320800241213652082006291266225161962211132049560546875	-1.5498977888230696	6.096610513310334	UBE3A;CBLB;BRCA1;HERC4;HERC3;UBE2Q2;CDC26;FBXO4;BTRC;SKP2;ANAPC7;FBXW7;FBXO2;UBE4A;UBE4B;MID1;PIAS2;CDC34;ANAPC4;NHLRC1;BIRC6;ANAPC5;ANAPC13;CUL7;UBA6;CUL1;NEDD4L;KLHL13;ANAPC10;RHOBTB2;UBE2J1;FZR1;SOCS1;UBE2F;MAP3K1;UBE2B;SMURF2;UBE2C;PML;CUL4A;KLHL9;UBE2W;CDC16;MDM2;UBE2O;ERCC8;UBA1;TRIP12;TRIM37;STUB1;UBE2K;UBE2M
Mismatch repair_Homo sapiens_hsa03430	12/23	0.0184154073849123640915781408011753228493034839630126953125	0.813587893941758011351339519023895263671875	0.0307181031591899598998107734360019094310700893402099609375	0.4018729769678508478847334117745049297809600830078125	-1.4999719292338292	5.99173927974682	RFC5;MSH6;POLD3;PCNA;LIG1;RFC1;MSH2;RFC2;RPA3;POLD2;RPA1;RPA2
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	38/98	0.0295919781615665601626208314200994209386408329010009765625	0.813587893941758011351339519023895263671875	0.01236824142748578318762309180556258070282638072967529296875	0.39440947663204661832736519500031135976314544677734375	-1.6681388446413927	5.872269041465628	DGKG;IPPK;TMEM55A;MTMR1;TMEM55B;ITPR1;PTEN;PIK3R3;PIK3R2;PIK3R1;MTMR4;PIK3C2A;MTMR6;PIK3CG;MTM1;PIK3C2B;INPP5B;PPIP5K2;INPP5E;INPP5J;PIP4K2A;PIP5K1A;PIP5K1B;PLCG1;IP6K2;ITPK1;SYNJ2;DGKZ;INPP4A;ITPKC;PLCB4;ITPKA;PI4KA;CALM1;PLCD3;CALM2;PI4K2A;CDS2
HTLV-I infection_Homo sapiens_hsa05166	90/258	0.03286767925354346087107870744148385711014270782470703125	0.813587893941758011351339519023895263671875	0.0026014586400985311061273552724060209584422409534454345703125	0.320800241213652082006291266225161962211132049560546875	-1.7181794317169672	5.868038931802988	RB1;ATF2;NRP1;GSK3B;CDKN1A;CRTC3;WNT2B;TRRAP;CD3G;ETS2;PIK3CG;POLB;PPP3CA;CCND3;ZFP36;XPO1;CCND2;CCND1;PTTG1;CDC26;CHEK2;MYBL2;IKBKG;PRKACB;HRAS;JAK3;PDGFRA;IL15RA;TBP;ANAPC7;WNT9A;FOS;KAT2B;MRAS;TBPL1;ANAPC4;ANAPC5;VDAC1;TLN1;SLC25A5;ATF3;PCNA;PDGFB;CREM;ADCY3;PDGFA;PIK3R3;PIK3R2;PIK3R1;ADCY6;ANAPC10;POLD3;CCNB2;MAPK8;WNT11;DVL1;POLD2;E2F1;DVL2;FZD1;STAT5B;WNT10B;FDPS;EGR2;WNT10A;XBP1;JUN;CDKN2B;MAP3K1;FZD5;FZD4;TGFB3;FZD9;NFATC3;WNT7A;NFATC1;NFKB1;NFATC4;NFKB2;FOSL1;NFKBIA;APC;CDK4;CDC16;POLE3;CTNNB1;ATM;CALR;ATR;BCL2L1
Cell cycle_Homo sapiens_hsa04110	47/124	0.0261055830776300741569162511268586968071758747100830078125	0.813587893941758011351339519023895263671875	0.00814896755575404176108467169115101569332182407379150390625	0.320800241213652082006291266225161962211132049560546875	-1.5815194251691427	5.765596826513457	RB1;YWHAE;ANAPC13;GSK3B;CDKN1A;PCNA;HDAC1;CUL1;CDC14A;ANAPC10;CCNB2;CCND3;FZR1;CCNB1;CCND2;ORC6;CCND1;PTTG1;ORC1;YWHAQ;CDC26;CHEK2;E2F1;ABL1;E2F4;SKP2;ZBTB17;CDKN2B;ANAPC7;TGFB3;SMC1A;YWHAZ;CDC25B;GADD45G;SMC1B;CCNA1;CDK7;RBL1;CDK4;CCNE1;CDC16;MDM2;ANAPC4;ATM;ANAPC5;ATR;MCM2
Spliceosome_Homo sapiens_hsa03040	50/134	0.0299858939739364831200685301837438601069152355194091796875	0.813587893941758011351339519023895263671875	0.0082054834110291581528162652148239430971443653106689453125	0.320800241213652082006291266225161962211132049560546875	-1.5994215206945157	5.6092163907860515	EIF4A3;DDX42;PQBP1;EFTUD2;SART1;MAGOH;DHX16;SNRPD3;NCBP1;PLRG1;WBP11;CRNKL1;PRPF4;RBMXL1;SNRPG;SRSF3;SRSF4;RP9;SNRPF;SRSF7;SNRPA;SF3B4;SF3B5;SF3B3;DHX8;RBM8A;SRSF1;PUF60;U2AF2;HNRNPA1;SRSF10;SMNDC1;SF3A3;PRPF38B;SF3A1;HNRNPA3;PRPF38A;SF3A2;HSPA1L;CCDC12;MAGOHB;LSM3;CHERP;HNRNPM;LSM7;HNRNPK;LSM6;SNW1;ACIN1;HSPA1A
