Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	24/137	0.005068573514370421952135448151466334820725023746490478515625	0.94431177899130791519866079397615976631641387939453125	0.0035433315385830477760309431545238112448714673519134521484375	0.53683836125260053773189383719000034034252166748046875	-1.6450257774768577	8.693460914311819	PIAS4;PIAS3;SMURF2;FBXW7;AIRE;CUL3;UBE2D3;XIAP;UBE2Z;PRPF19;CBL;RBX1;PIAS1;HERC3;UBE2S;CDC16;CDC27;UBA2;NHLRC1;BIRC6;TRIM32;ANAPC1;UBE2M;BIRC3
Alcoholism_Homo sapiens_hsa05034	28/179	0.01257838121664463758297980433553675538860261440277099609375	0.94431177899130791519866079397615976631641387939453125	0.006924596797142408381720013466065211105160415172576904296875	0.53683836125260053773189383719000034034252166748046875	-1.8528396229833552	8.107610626247393	ATF2;HDAC3;HIST1H2BJ;HDAC1;ARAF;CAMKK1;GNAI2;PPP1CB;HIST1H2AE;HIST1H2AD;HIST1H2AG;MAPK3;HIST1H2AI;H2AFY;H2AFZ;H2AFV;PPP1CA;ADORA2A;GNB2;PPP1R1B;HIST1H2BF;HIST1H4I;GNB5;HIST1H2BG;SLC29A1;HIST1H4D;SOS2;HIST1H4F
mRNA surveillance pathway_Homo sapiens_hsa03015	17/91	0.008897583228211082551073474178338074125349521636962890625	0.94431177899130791519866079397615976631641387939453125	0.0076152235324088261847474967680682311765849590301513671875	0.53683836125260053773189383719000034034252166748046875	-1.6990949639790756	8.023084939074213	CPSF6;NCBP2;PABPC4;CPSF2;UPF3B;PPP2R5D;MSI2;SRRM1;PPP1CA;PPP1CB;PNN;FIP1L1;PCF11;CLP1;PAPOLA;ACIN1;PABPC1L
Endocytosis_Homo sapiens_hsa04144	37/259	0.0189295703468007094072422802355504245497286319732666015625	0.94431177899130791519866079397615976631641387939453125	0.007808557981856007780552264563311837264336645603179931640625	0.53683836125260053773189383719000034034252166748046875	-1.8633467010594684	7.391952283935713	RET;ARF3;VPS29;RAB5C;TSG101;TFRC;WIPF3;ARPC5L;CLTA;VPS26A;ADRB1;CBL;PRKCZ;RAB22A;EGFR;IGF1R;PLD2;PARD6B;SNX1;ZFYVE27;CAPZB;ERBB4;PSD4;MVB12B;KIF5A;GIT1;PSD;SMURF2;EGF;VTA1;ARAP1;RNF41;ACAP2;CHMP2A;CHMP6;VPS25;CHMP5
Fanconi anemia pathway_Homo sapiens_hsa03460	11/53	0.015162671568893761053775648406372056342661380767822265625	0.94431177899130791519866079397615976631641387939453125	0.0156198917896676996164284645374209503643214702606201171875	0.610015362083845769092249611276201903820037841796875	-1.6647949072304065	6.973690500969698	BRIP1;SLX4;FANCM;POLN;RMI1;ERCC4;REV3L;HES1;FANCG;TELO2;ATR
HIF-1 signaling pathway_Homo sapiens_hsa04066	17/103	0.0283140051895527482261893936765773105435073375701904296875	0.94431177899130791519866079397615976631641387939453125	0.0207005145195484734077506772109700250439345836639404296875	0.610015362083845769092249611276201903820037841796875	-1.7088689159941468	6.09109016609263	CAMK2D;TFRC;ANGPT1;EGF;EPO;INSR;SLC2A1;ENO3;EGFR;HK2;RBX1;IGF1R;AKT2;HMOX1;LTBR;TLR4;MAPK3
Endometrial cancer_Homo sapiens_hsa05213	10/52	0.032865773547712841262669059005929739214479923248291015625	0.94431177899130791519866079397615976631641387939453125	0.03096149157161272313931732469427515752613544464111328125	0.610015362083845769092249611276201903820037841796875	-1.7049438508977715	5.82293476676128	APC2;APC;EGF;AKT2;ARAF;CTNNA1;FOXO3;SOS2;EGFR;MAPK3
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	30/214	0.039769039429812962083143901281800935976207256317138671875	0.94431177899130791519866079397615976631641387939453125	0.019319795534761874389317881650640629231929779052734375	0.610015362083845769092249611276201903820037841796875	-1.723054559375691	5.5562764414004375	CYFIP1;CHRM1;ITGB5;ROCK2;ARPC5L;ARAF;PDGFA;MYL12A;EGFR;ARHGAP35;SLC9A1;PPP1CB;SCIN;PAK6;MYH10;GIT1;MAPK3;APC2;EGF;ACTN1;FN1;BAIAP2;PPP1CA;MYLPF;TIAM1;APC;ABI2;PFN1;PPP1R12B;SOS2
TGF-beta signaling pathway_Homo sapiens_hsa04350	14/84	0.04071910448046227315455070083771715871989727020263671875	0.94431177899130791519866079397615976631641387939453125	0.0317032320218917362808497273363173007965087890625	0.610015362083845769092249611276201903820037841796875	-1.60180100843356	5.127457770851497	TGIF1;SMAD4;SMURF2;INHBA;SMAD6;BMP6;RBX1;BMP2;SP1;ID2;ID3;AMH;NBL1;MAPK3
FoxO signaling pathway_Homo sapiens_hsa04068	20/133	0.044853494083158189364990420244794222526252269744873046875	0.94431177899130791519866079397615976631641387939453125	0.0285052443905749637587110356662378762848675251007080078125	0.610015362083845769092249611276201903820037841796875	-1.5721139542832354	4.880397908412399	SMAD4;GABARAPL1;CHUK;EGF;HOMER2;INSR;ARAF;IRS2;MAPK14;FOXO3;PRKAB1;SIRT1;EGFR;IGF1R;BCL2L11;AKT2;CDK2;SOS2;PCK2;MAPK3
