Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of autophagy_Homo sapiens_hsa04140	2/39	0.013602160996770355783080930223150062374770641326904296875	0.5051982176444111960478267064900137484073638916015625	0.00843630659249205473726451742777499021030962467193603515625	0.337228798906129778600870849913917481899261474609375	-1.9704497427681886	8.468060187532208	GABARAPL2;ATG13
Fatty acid degradation_Homo sapiens_hsa00071	2/44	0.017112530651025269212706092503140098415315151214599609375	0.5051982176444111960478267064900137484073638916015625	0.01053839996581655558127721405980992130935192108154296875	0.337228798906129778600870849913917481899261474609375	-1.8720591362837193	7.615432287505592	ALDH1B1;ECI2
Histidine metabolism_Homo sapiens_hsa00340	1/24	0.10372887123844433399089126623948686756193637847900390625	0.5051982176444111960478267064900137484073638916015625	0.0820314843164720031154502066783607006072998046875	0.403648248644016549580015862375148572027683258056640625	-1.7651263102590649	3.999731722551095	ALDH1B1
Spliceosome_Homo sapiens_hsa03040	2/134	0.12436685084561861780461100579486810602247714996337890625	0.5051982176444111960478267064900137484073638916015625	0.07767174473924016997461450273476657457649707794189453125	0.403648248644016549580015862375148572027683258056640625	-1.6240712335024723	3.385408328571022	EFTUD2;SMNDC1
Ascorbate and aldarate metabolism_Homo sapiens_hsa00053	1/27	0.115922564092071189723043289632187224924564361572265625	0.5051982176444111960478267064900137484073638916015625	0.09143040612198509442531957347455318085849285125732421875	0.403648248644016549580015862375148572027683258056640625	-1.5618147603397818	3.3654497694956413	ALDH1B1
Thyroid cancer_Homo sapiens_hsa05216	1/29	0.12396039295547552072651598109587212093174457550048828125	0.5051982176444111960478267064900137484073638916015625	0.09764504278307857554342064076990936882793903350830078125	0.403648248644016549580015862375148572027683258056640625	-1.540735058360724	3.216736140945373	TCF7L2
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601	1/26	0.11187634135844237714962901009130291640758514404296875	0.5051982176444111960478267064900137484073638916015625	0.0883077267214909811254841542904614470899105072021484375	0.403648248644016549580015862375148572027683258056640625	-1.3748616565227287	3.0114435077386292	B3GNT4
Nicotinate and nicotinamide metabolism_Homo sapiens_hsa00760	1/29	0.12396039295547552072651598109587212093174457550048828125	0.5051982176444111960478267064900137484073638916015625	0.09764504278307857554342064076990936882793903350830078125	0.403648248644016549580015862375148572027683258056640625	-1.3875533451265445	2.896924405359519	NMNAT1
beta-Alanine metabolism_Homo sapiens_hsa00410	1/31	0.1319259395768740128485063678454025648534297943115234375	0.5051982176444111960478267064900137484073638916015625	0.10381893074604038595953880985689465887844562530517578125	0.403648248644016549580015862375148572027683258056640625	-1.3562103453359524	2.7470238248546983	ALDH1B1
Phagosome_Homo sapiens_hsa04145	2/154	0.15539791573241601430055425225873477756977081298828125	0.5051982176444111960478267064900137484073638916015625	0.0982099548924326992693778493048739619553089141845703125	0.403648248644016549580015862375148572027683258056640625	-1.4665321212965785	2.730340012977398	CALR;TUBB4B
Pentose and glucuronate interconversions_Homo sapiens_hsa00040	1/36	0.151527776045146167493982147789211012423038482666015625	0.5051982176444111960478267064900137484073638916015625	0.1190770489812409127505787864720332436263561248779296875	0.403648248644016549580015862375148572027683258056640625	-1.357932897120303	2.5624008147455255	ALDH1B1
Purine metabolism_Homo sapiens_hsa00230	2/176	0.1910032825819899249264466334352619014680385589599609375	0.5051982176444111960478267064900137484073638916015625	0.12238023744865321462693685816702782176434993743896484375	0.403648248644016549580015862375148572027683258056640625	-1.4439157892597916	2.3903515680520195	GUK1;HDDC3
Tryptophan metabolism_Homo sapiens_hsa00380	1/40	0.166893510891735596946006126017891801893711090087890625	0.5051982176444111960478267064900137484073638916015625	0.131103980001836262214709449835936538875102996826171875	0.403648248644016549580015862375148572027683258056640625	-1.3222461483776733	2.367348617208347	ALDH1B1
Pyruvate metabolism_Homo sapiens_hsa00620	1/40	0.166893510891735596946006126017891801893711090087890625	0.5051982176444111960478267064900137484073638916015625	0.131103980001836262214709449835936538875102996826171875	0.403648248644016549580015862375148572027683258056640625	-1.2980361612549562	2.3240030725017755	ALDH1B1
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	1/48	0.196804052154845920963310845763771794736385345458984375	0.5051982176444111960478267064900137484073638916015625	0.154687472298107586698989734941278584301471710205078125	0.403648248644016549580015862375148572027683258056640625	-1.2757668817129046	2.073818650097809	ALDH1B1
