Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	48/214	0.000479955218814825750571484430651025832048617303371429443359375	0.082298707601601794880963325340417213737964630126953125	0.00020689371536397049302323514208268306902027688920497894287109375	0.05834402773263967778571981170898652635514736175537109375	-1.9209137382245087	14.679272705881782	CYFIP2;CYFIP1;NCKAP1;CHRM1;ITGB5;SRC;ARPC1A;ITGA2B;PXN;PDGFA;PIK3R2;PIK3R1;FGF1;IQGAP3;MYL12A;EGFR;MYL12B;FGD3;GNA13;SCIN;PIP5K1A;MYH14;PAK6;ITGAV;PIP5K1C;RAC1;ITGB6;PAK2;MAP2K2;ITGA4;EGF;ITGA3;ITGA1;ACTN4;RHOA;VAV1;ENAH;DIAPH2;MRAS;DIAPH3;APC;ABI2;MYH9;ARHGEF1;SOS2;VCL;FGFR2;FGFR1
Fanconi anemia pathway_Homo sapiens_hsa03460	17/53	0.00058367877731632482329882094518325175158679485321044921875	0.082298707601601794880963325340417213737964630126953125	0.00114849572466868142701923449777723362785764038562774658203125	0.1619378971782840792581481537126819603145122528076171875	-1.7542180056336925	13.062187533122852	TOP3B;RMI2;BLM;FANCM;FANCL;REV1;RPA1;FANCG;SLX4;APITD1;EME1;ERCC4;RPA3;HES1;POLK;ATRIP;ATR
Renal cell carcinoma_Homo sapiens_hsa05211	18/66	0.003229731485729503935588891039287773310206830501556396484375	0.220155144010763581530198962354916147887706756591796875	0.0037264780024886278754492341391824083984829485416412353515625	0.2380408915173959083499966027375194244086742401123046875	-1.8477985562195092	10.597783047225173	ARNT2;TGFB2;EGLN2;MAP2K2;TGFB3;GAB1;ARNT;PIK3R2;PIK3R1;HIF1A;FLCN;AKT2;PAK6;EP300;VHL;RAC1;SOS2;PAK2
Endometrial cancer_Homo sapiens_hsa05213	15/52	0.0038705454900157978785635304319612259860150516033172607421875	0.220155144010763581530198962354916147887706756591796875	0.005064699819519061750605626315291374339722096920013427734375	0.2380408915173959083499966027375194244086742401123046875	-1.8765980617364586	10.423300888126638	TCF7L2;MAP2K2;EGF;LEF1;PTEN;PIK3R2;AXIN2;PIK3R1;FOXO3;EGFR;APC;MYC;AKT2;CTNNB1;SOS2
Colorectal cancer_Homo sapiens_hsa05210	17/62	0.003903460000190843957879049952452987781725823879241943359375	0.220155144010763581530198962354916147887706756591796875	0.004540719904422057563719850037387004704214632511138916015625	0.2380408915173959083499966027375194244086742401123046875	-1.8475011636470107	10.246041811911445	TCF7L2;TGFB2;TGFB3;LEF1;PIK3R2;AXIN2;FOS;PIK3R1;RHOA;MAPK9;APC;MSH3;MYC;AKT2;CTNNB1;RAC1;RALGDS
Prostate cancer_Homo sapiens_hsa05215	21/89	0.00961294094670483816045258862459377269260585308074951171875	0.3983222711662077752947652697912417352199554443359375	0.007550730820599278921012587062477905419655144214630126953125	0.255654580858748092797583240098902024328708648681640625	-1.8350842149798945	8.52331485761617	TCF7L2;CDKN1A;MAP2K2;CDKN1B;EGF;LEF1;PTEN;PDGFA;PIK3R2;PIK3R1;EGFR;MTOR;IKBKB;AKT2;CREB3L2;CTNNB1;EP300;E2F3;SOS2;FGFR2;FGFR1
Choline metabolism in cancer_Homo sapiens_hsa05231	23/101	0.01077811517772175875506945885717868804931640625	0.3983222711662077752947652697912417352199554443359375	0.007627395659697383013819749209005749435164034366607666015625	0.255654580858748092797583240098902024328708648681640625	-1.7744599507514194	8.038725140953789	MAP2K2;SLC22A5;SLC44A1;EGF;PDGFA;PIK3R2;PIK3R1;FOS;GPCPD1;DGKZ;HIF1A;EGFR;MTOR;PLD2;MAPK9;RPS6KB1;AKT2;DGKQ;PIP5K1A;PIP5K1C;RAC1;SOS2;RALGDS
Adherens junction_Homo sapiens_hsa04520	18/74	0.011524208779948051650787732569369836710393428802490234375	0.3983222711662077752947652697912417352199554443359375	0.0099723418065469117410604127371698268689215183258056640625	0.255654580858748092797583240098902024328708648681640625	-1.6354629970181531	7.299570736067572	FARP2;PTPN1;TCF7L2;SRC;LEF1;CSNK2A2;LMO7;PTPRJ;ACTN4;RHOA;EGFR;CTNNB1;EP300;PTPN6;RAC1;SSX2IP;VCL;FGFR1
HIF-1 signaling pathway_Homo sapiens_hsa04066	23/103	0.0136129814123889282539980882802410633303225040435791015625	0.3983222711662077752947652697912417352199554443359375	0.0092586750101881117036572987899489817209541797637939453125	0.255654580858748092797583240098902024328708648681640625	-1.6281586739749372	6.995760540793166	EDN1;CDKN1A;MAP2K2;EGLN2;FLT1;CDKN1B;EGF;EPO;IFNGR2;ARNT;PIK3R2;PIK3R1;HIF1A;EGFR;MTOR;PFKL;RPS6KB1;AKT2;MKNK1;MKNK2;EP300;VHL;EIF4E
FoxO signaling pathway_Homo sapiens_hsa04068	28/133	0.0155373935561286709294837038441983168013393878936767578125	0.3983222711662077752947652697912417352199554443359375	0.00860983574041538669840978315050961100496351718902587890625	0.255654580858748092797583240098902024328708648681640625	-1.5721139542832354	6.5470774811220265	CDKN1A;CDKN1B;SETD7;PTEN;FOXO6;PIK3R2;PIK3R1;FOXO3;EGFR;IKBKB;MAPK9;STK11;BCL2L11;AKT2;EP300;S1PR4;PLK4;USP7;TGFB2;MAP2K2;TGFB3;EGF;GADD45A;PLK2;FBXO32;MAPK13;SGK2;SOS2
