Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pyrimidine metabolism_Homo sapiens_hsa00240	8/105	0.006172935232388790556534718945158601854927837848663330078125	0.7537639577215291541989472534623928368091583251953125	0.0031232584709262878330804369397810660302639007568359375	0.340310938695058851077845929467002861201763153076171875	-1.7893822879372452	9.103627021545586	UCK2;POLR3B;POLR3D;POLE3;NME2;UPRT;DCTPP1;NME1
Insulin resistance_Homo sapiens_hsa04931	8/109	0.007691468956342134739856408742753046681173145771026611328125	0.7537639577215291541989472534623928368091583251953125	0.00386936674537935627882223599272037972696125507354736328125	0.340310938695058851077845929467002861201763153076171875	-1.8349911389114042	8.932082675339087	MLXIP;SLC27A1;G6PC3;TBC1D4;STAT3;IRS2;PTPN11;PPP1CA
Chronic myeloid leukemia_Homo sapiens_hsa05220	6/73	0.011866613452100306658199002640685648657381534576416015625	0.77528541220388669241714296731515787541866302490234375	0.007268679086566050447093534359055411187000572681427001953125	0.35616527524173646757077449365169741213321685791015625	-1.872174720532134	8.301272162791841	CDK6;SMAD3;CCND1;CTBP2;CTBP1;PTPN11
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	4/40	0.019842187570597726031795815515579306520521640777587890625	0.9722671909592885963746766719850711524486541748046875	0.01492631983236802038772506051600430510006844997406005859375	0.58259221487902490554944279210758395493030548095703125	-1.772527701057695	6.948210961909217	GCSH;SRR;MAOA;CTH
Shigellosis_Homo sapiens_hsa05131	5/65	0.0270553437505525080919444036453569424338638782501220703125	0.97544180905359267885756935356766916811466217041015625	0.0178344555575211706488492069411222473718225955963134765625	0.58259221487902490554944279210758395493030548095703125	-1.5986973710648213	5.771090865675608	DIAPH1;RHOG;ARPC5;PFN3;ATG5
Adipocytokine signaling pathway_Homo sapiens_hsa04920	5/70	0.03572522610617244465114339391220710240304470062255859375	0.97544180905359267885756935356766916811466217041015625	0.0233404955181348884585279535031077102757990360260009765625	0.64862548179222390132281361729837954044342041015625	-1.6568678959415224	5.520515203389693	G6PC3;STAT3;PTPN11;IRS2;RXRG
Lysine degradation_Homo sapiens_hsa00310	4/52	0.046187074468705770213805550383767695166170597076416015625	0.97544180905359267885756935356766916811466217041015625	0.033093136826133871808419684157342999242246150970458984375	0.64862548179222390132281361729837954044342041015625	-1.5908234126099672	4.891869955879275	COLGALT2;PHYKPL;SETD7;SETMAR
Thyroid cancer_Homo sapiens_hsa05216	3/29	0.038898804061146978472418567207569140009582042694091796875	0.97544180905359267885756935356766916811466217041015625	0.03164658246688735465657060785815701819956302642822265625	0.64862548179222390132281361729837954044342041015625	-1.4793551146211723	4.803158015142041	CCND1;TPR;RXRG
Metabolic pathways_Homo sapiens_hsa01100	41/1239	0.0686400268049835726724694495715084485709667205810546875	0.97544180905359267885756935356766916811466217041015625	0.0052088408983937579954659469194666598923504352569580078125	0.340310938695058851077845929467002861201763153076171875	-1.7135933115078867	4.590509879216661	DPAGT1;LIPT2;MAOA;ADK;AK4;HMGCR;ENO1;ATP5G2;HK2;SRM;ALAD;GCSH;TPO;CHSY1;HYAL1;HYAL3;IDH3B;ST3GAL5;PGLS;ENOPH1;NADK;EARS2;FDFT1;AOC1;PHYKPL;AGL;PTGES3;NME2;AMPD2;NME1;ACLY;UCK2;G6PC3;POLR3B;POLR3D;CTH;POLE3;STT3A;PEMT;UPRT;DCTPP1
FoxO signaling pathway_Homo sapiens_hsa04068	7/133	0.0594572753765266470704631274202256463468074798583984375	0.97544180905359267885756935356766916811466217041015625	0.032774100955447117711205606838120729662477970123291015625	0.64862548179222390132281361729837954044342041015625	-1.5721139542832354	4.437287368081393	SMAD3;G6PC3;CCND1;GADD45B;STAT3;SETD7;IRS2
Other types of O-glycan biosynthesis_Homo sapiens_hsa00514	3/31	0.046076075129155381893131249171347008086740970611572265625	0.97544180905359267885756935356766916811466217041015625	0.037003477339200334383928492343329708091914653778076171875	0.65933468713484233436616932522156275808811187744140625	-1.1629291523048957	3.5788696252641703	LFNG;COLGALT2;POGLUT1
Tyrosine metabolism_Homo sapiens_hsa00350	3/35	0.062224426504807785198725156305954442359507083892822265625	0.97544180905359267885756935356766916811466217041015625	0.049010993756053215786305798928879084996879100799560546875	0.68615391258474500713049337718985043466091156005859375	-1.282511050539215	3.5615429950255693	TPO;MAOA;MIF
Purine metabolism_Homo sapiens_hsa00230	8/176	0.0900602236676812106797029855442815460264682769775390625	0.97544180905359267885756935356766916811466217041015625	0.047220775436994440188431809701796737499535083770751953125	0.68615391258474500713049337718985043466091156005859375	-1.3965777016128655	3.3619489336981396	POLR3B;POLR3D;POLE3;NME2;ADK;AK4;AMPD2;NME1
Pancreatic cancer_Homo sapiens_hsa05212	4/66	0.0931871140897254368606894558979547582566738128662109375	0.97544180905359267885756935356766916811466217041015625	0.06564580024784021083927854078865493647754192352294921875	0.7660264229715016970345686786458827555179595947265625	-1.3826975169172313	3.2813428432285634	CDK6;SMAD3;CCND1;STAT3
Base excision repair_Homo sapiens_hsa03410	3/33	0.05385770668983154429998450041239266283810138702392578125	0.97544180905359267885756935356766916811466217041015625	0.042794341282435081896817763436047243885695934295654296875	0.68615391258474500713049337718985043466091156005859375	-1.1140318630344066	3.2545435705450023	NEIL2;POLE3;UNG
Ribosome_Homo sapiens_hsa03010	6/137	0.148347255192502747167537791028735227882862091064453125	0.985553510690013734318881688523106276988983154296875	0.09141136210020821273314339805438066832721233367919921875	0.7660264229715016970345686786458827555179595947265625	-1.1401308260507466	2.1755969977059393	RPS9;RPL38;RPL23A;MRPL23;MRPL24;RPS23
Parkinson's disease_Homo sapiens_hsa05012	6/142	0.1666308904106822141866217634742497466504573822021484375	0.985553510690013734318881688523106276988983154296875	0.10348874254270838679570232443438726477324962615966796875	0.7660264229715016970345686786458827555179595947265625	-1.1223853081589326	2.0112854583430595	HTRA2;VDAC2;UBE2G1;SLC25A5;ATP5G2;SLC6A3
Cysteine and methionine metabolism_Homo sapiens_hsa00270	3/45	0.11199203364813074823569394311562064103782176971435546875	0.985553510690013734318881688523106276988983154296875	0.0860854661852082647666151160592562519013881683349609375	0.7660264229715016970345686786458827555179595947265625	-0.907145064483152	1.986037670958924	CTH;ENOPH1;SRM
Type II diabetes mellitus_Homo sapiens_hsa04930	3/48	0.129166480659158200428038298923638649284839630126953125	0.985553510690013734318881688523106276988983154296875	0.09898683796164388370986131349127390421926975250244140625	0.7660264229715016970345686786458827555179595947265625	-0.9351910305714779	1.914011676909036	IRS2;MAFA;HK2
Calcium signaling pathway_Homo sapiens_hsa04020	7/180	0.190702651043521687057591407210566103458404541015625	0.985553510690013734318881688523106276988983154296875	0.113109989895216311861503299951436929404735565185546875	0.7660264229715016970345686786458827555179595947265625	-1.1008169648370814	1.8240975946143736	LTB4R2;PHKG1;PTGER3;VDAC2;ATP2B1;HTR4;SLC25A5
TGF-beta signaling pathway_Homo sapiens_hsa04350	4/84	0.1758602801391031811295562192754005081951618194580078125	0.985553510690013734318881688523106276988983154296875	0.124739054324523424011061933924793265759944915771484375	0.7660264229715016970345686786458827555179595947265625	-1.0260712901016518	1.7833790709431507	TGIF1;SMAD3;ID3;BMP6
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	8/214	0.1964490853869003961218453468973166309297084808349609375	0.985553510690013734318881688523106276988983154296875	0.11082640518929158524041866940024192444980144500732421875	0.7660264229715016970345686786458827555179595947265625	-1.0552798307609308	1.717311731216154	DIAPH1;TIAM1;ARPC5;IQGAP2;FGF1;PFN3;FGFR2;PPP1CA
Arginine and proline metabolism_Homo sapiens_hsa00330	3/50	0.141099678210377998954783151930314488708972930908203125	0.985553510690013734318881688523106276988983154296875	0.10799523839004258884965992137949797324836254119873046875	0.7660264229715016970345686786458827555179595947265625	-0.7967641739389676	1.560294278950786	AOC1;MAOA;SRM
