Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	3/169	0.04912212295757321933731276430989964865148067474365234375	0.5249629077085795625379205375793389976024627685546875	0.035897811993529628316057511483450070954859256744384765625	0.467993515879335297835694973400677554309368133544921875	-1.79042526506136	5.395349452702792	OS9;EIF2S1;HERPUD1
Herpes simplex infection_Homo sapiens_hsa05168	3/185	0.061120276293932664091190787303276010788977146148681640625	0.5249629077085795625379205375793389976024627685546875	0.0448671042048726931295021813639323227107524871826171875	0.467993515879335297835694973400677554309368133544921875	-1.7296779688297461	4.8342970429017535	PER3;CDC34;EIF2S1
Rheumatoid arthritis_Homo sapiens_hsa05323	2/90	0.0708478952542690720850515617712517268955707550048828125	0.5249629077085795625379205375793389976024627685546875	0.0580120478459955624117583283805288374423980712890625	0.467993515879335297835694973400677554309368133544921875	-1.6601897297461474	4.394887490170415	TNFSF13;ATP6V1D
Sulfur relay system_Homo sapiens_hsa04122	1/10	0.047465510639055852326606554925092495977878570556640625	0.5249629077085795625379205375793389976024627685546875	0.045920834326107794198801315133096068166196346282958984375	0.467993515879335297835694973400677554309368133544921875	-1.3865886891278758	4.22597834436956	MOCS3
Fatty acid biosynthesis_Homo sapiens_hsa00061	1/13	0.061265331203866534026669654622310190461575984954833984375	0.5249629077085795625379205375793389976024627685546875	0.05808661574011407535689244241439155302941799163818359375	0.467993515879335297835694973400677554309368133544921875	-1.191979157318978	3.3286508533224373	ACACB
Oxidative phosphorylation_Homo sapiens_hsa00190	2/133	0.13624460274347904853442514649941585958003997802734375	0.5249629077085795625379205375793389976024627685546875	0.11216981763587786924407652122681611217558383941650390625	0.467993515879335297835694973400677554309368133544921875	-1.542795910524157	3.0752604251567286	UQCRQ;ATP6V1D
Phenylalanine metabolism_Homo sapiens_hsa00360	1/17	0.0793577448716817068774531662711524404585361480712890625	0.5249629077085795625379205375793389976024627685546875	0.07407459833581582497874506998414290137588977813720703125	0.467993515879335297835694973400677554309368133544921875	-1.1916789542567365	3.0194633033033944	ALDH3A1
Arginine biosynthesis_Homo sapiens_hsa00220	1/20	0.0927001771638953642185043690915335901081562042236328125	0.5249629077085795625379205375793389976024627685546875	0.08589310282107553984332071195240132510662078857421875	0.467993515879335297835694973400677554309368133544921875	-1.2579821425529931	2.9919657263536203	ASL
Spliceosome_Homo sapiens_hsa03040	2/134	0.137892679250540550750514512401423417031764984130859375	0.5249629077085795625379205375793389976024627685546875	0.113551976765978668293399778121965937316417694091796875	0.467993515879335297835694973400677554309368133544921875	-1.500822669462689	2.9735493126654187	PCBP1;PQBP1
Measles_Homo sapiens_hsa05162	2/136	0.14120210500249552598717173168552108108997344970703125	0.5249629077085795625379205375793389976024627685546875	0.1163300077756085626479176653447211720049381256103515625	0.467993515879335297835694973400677554309368133544921875	-1.5049329756047782	2.9460011798777987	CDK4;EIF2S1
Histidine metabolism_Homo sapiens_hsa00340	1/24	0.11019282323882077789800604250558535568416118621826171875	0.5249629077085795625379205375793389976024627685546875	0.1014244777189354795865483538364060223102569580078125	0.467993515879335297835694973400677554309368133544921875	-1.2235534650659428	2.6985759320377873	ALDH3A1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	2/142	0.1512308395062129939834250080821220763027667999267578125	0.5249629077085795625379205375793389976024627685546875	0.12476947606647460775608493577237823046743869781494140625	0.467993515879335297835694973400677554309368133544921875	-1.3798089070306543	2.606387097386626	APC;ID2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	2/151	0.166527174655873355657575984878349117934703826904296875	0.5249629077085795625379205375793389976024627685546875	0.1377027386494678873329888801890774630010128021240234375	0.467993515879335297835694973400677554309368133544921875	-1.4206869006103817	2.5467187516771657	UQCRQ;EIF2S1
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.142863293594359064275778337105293758213520050048828125	0.5249629077085795625379205375793389976024627685546875	0.11772575846882761541056794385440298356115818023681640625	0.467993515879335297835694973400677554309368133544921875	-1.288295820025152	2.5068524445832137	KLHL9;CDC34
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	1/22	0.10148862976009091763085478987704846076667308807373046875	0.5249629077085795625379205375793389976024627685546875	0.0936909507758409976219127202057279646396636962890625	0.467993515879335297835694973400677554309368133544921875	-1.0883078213936672	2.489839894025152	PDSS2
Tight junction_Homo sapiens_hsa04530	2/139	0.14619822546394356521659574354998767375946044921875	0.5249629077085795625379205375793389976024627685546875	0.12053043027433645029145026228434289805591106414794921875	0.467993515879335297835694973400677554309368133544921875	-1.2923840496457653	2.484985542891133	EPB41;CDK4
Circadian rhythm_Homo sapiens_hsa04710	1/30	0.13580780647861090404404649234493263065814971923828125	0.5249629077085795625379205375793389976024627685546875	0.124244236892059933818899253310519270598888397216796875	0.467993515879335297835694973400677554309368133544921875	-1.1859440715588263	2.3677546303999613	PER3
Collecting duct acid secretion_Homo sapiens_hsa04966	1/27	0.1230928744511635974934193882290855981409549713134765625	0.5249629077085795625379205375793389976024627685546875	0.1129052860502340605020066277575097046792507171630859375	0.467993515879335297835694973400677554309368133544921875	-1.101151753001421	2.3067104556350055	ATP6V1D
Hippo signaling pathway_Homo sapiens_hsa04390	2/153	0.1699630383921733878249682447858504019677639007568359375	0.5249629077085795625379205375793389976024627685546875	0.140617937484945831894123102756566368043422698974609375	0.467993515879335297835694973400677554309368133544921875	-1.2072720988043453	2.139496570664651	APC;ID2
beta-Alanine metabolism_Homo sapiens_hsa00410	1/31	0.1400054350513685041956790655603981576859951019287109375	0.5249629077085795625379205375793389976024627685546875	0.1279926564778190167803728627404780127108097076416015625	0.467993515879335297835694973400677554309368133544921875	-0.9987854513681029	1.9636861428010703	ALDH3A1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	2/180	0.217319664992030592287619583657942712306976318359375	0.5249629077085795625379205375793389976024627685546875	0.18117724557881553781868433361523784697055816650390625	0.467993515879335297835694973400677554309368133544921875	-1.0666304846292514	1.628089731013405	ID2;AFF1
Propanoate metabolism_Homo sapiens_hsa00640	1/32	0.144182883740431588837083154430729337036609649658203125	0.5249629077085795625379205375793389976024627685546875	0.1317255646279551217769920867795008234679698944091796875	0.467993515879335297835694973400677554309368133544921875	-0.7813289731975291	1.5131785383901448	ACACB
Tyrosine metabolism_Homo sapiens_hsa00350	1/35	0.1565951082445804221077167994735646061599254608154296875	0.5249629077085795625379205375793389976024627685546875	0.1428318390808642757150437319069169461727142333984375	0.467993515879335297835694973400677554309368133544921875	-0.6918068137697964	1.282673294365784	ALDH3A1
