Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Circadian rhythm_Homo sapiens_hsa04710	6/30	0.00437769418210001530489261512002485687844455242156982421875	0.99999999964321439893666365605895407497882843017578125	0.003434933435784948314861697582500710268504917621612548828125	0.8930826933040865167612309960532002151012420654296875	-1.9727237660196422	10.714322685502323	PER1;BHLHE41;CRY1;RORC;RORA;NR1D1
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	7/48	0.0127904881572355223762205156390336924232542514801025390625	0.99999999964321439893666365605895407497882843017578125	0.007561123496588196234158285591320236562751233577728271484375	0.90636242192760752001134960664785467088222503662109375	-1.9731492118466398	8.601062972037731	BCKDHA;HADHB;HADHA;IL4I1;HMGCL;MCEE;AACS
Legionellosis_Homo sapiens_hsa05134	7/55	0.0256552552092990417131890268365168594755232334136962890625	0.99999999964321439893666365605895407497882843017578125	0.0143077659633253535809149781243831967003643512725830078125	0.90636242192760752001134960664785467088222503662109375	-1.7937324613260621	6.570454287337956	EEF1A1;CLK1;CASP9;CASP3;CXCL3;TLR4;RELA
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	5/30	0.01970201841525243136032941038138233125209808349609375	0.99999999964321439893666365605895407497882843017578125	0.014343051206471425784716444695732207037508487701416015625	0.90636242192760752001134960664785467088222503662109375	-1.5324986890245111	6.018174749246756	CS;ACLY;IDH2;OGDH;SDHA
Notch signaling pathway_Homo sapiens_hsa04330	6/48	0.040513967584896413975936724227722152136266231536865234375	0.99999999964321439893666365605895407497882843017578125	0.024367106453526458931246878591991844587028026580810546875	0.90636242192760752001134960664785467088222503662109375	-1.5898233087779519	5.0971460010162835	NCOR2;NOTCH1;DVL1;DTX2;PSEN1;DTX4
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	14/169	0.06627904282905285049398713681512163020670413970947265625	0.99999999964321439893666365605895407497882843017578125	0.020916483286909481886794992533395998179912567138671875	0.90636242192760752001134960664785467088222503662109375	-1.6471885116341636	4.470274474613883	XBP1;HSP90AB1;HSPA5;WFS1;AMFR;UBE2G2;SVIP;HSP90B1;NPLOC4;DNAJB11;PREB;SEC24D;SEC62;MAP3K5
Hepatitis B_Homo sapiens_hsa05161	12/146	0.08832356872101619627013491253819665871560573577880859375	0.99999999964321439893666365605895407497882843017578125	0.03271131970176001380057329015471623279154300689697265625	0.90636242192760752001134960664785467088222503662109375	-1.6304976945508016	3.9568074930054773	RB1;CASP9;STAT5B;MAVS;DDX3X;ATP6AP1;IRF3;CASP3;CDK2;PIK3R2;TLR4;RELA
Small cell lung cancer_Homo sapiens_hsa05222	8/86	0.08603649628601446608389125003668596036732196807861328125	0.99999999964321439893666365605895407497882843017578125	0.0424170547488499638522085888325818814337253570556640625	0.90636242192760752001134960664785467088222503662109375	-1.5725990830736383	3.8575599132183145	RB1;CASP9;TRAF4;LAMB2;CDK2;XIAP;PIK3R2;RELA
Carbon metabolism_Homo sapiens_hsa01200	10/113	0.07773527532387147775949642891646362841129302978515625	0.99999999964321439893666365605895407497882843017578125	0.03283460494118702055477143630923819728195667266845703125	0.90636242192760752001134960664785467088222503662109375	-1.479384111756044	3.7790070201835686	CS;HADHA;MCEE;PKM;GPT2;IDH2;OGDH;AMT;SDHA;GAPDH
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	7/70	0.07739787935158833065418804153523524291813373565673828125	0.99999999964321439893666365605895407497882843017578125	0.041361050219588461895892095299132051877677440643310546875	0.90636242192760752001134960664785467088222503662109375	-1.4622663379417467	3.7416411063146184	CYLD;MAVS;NLRX1;DDX3X;IRF3;DHX58;RELA
Butanoate metabolism_Homo sapiens_hsa00650	4/28	0.05870898811071588452303871008552960120141506195068359375	0.99999999964321439893666365605895407497882843017578125	0.04292807968785673777833977737827808596193790435791015625	0.90636242192760752001134960664785467088222503662109375	-1.2934578160340577	3.6671630234828627	HADHA;HMGCL;L2HGDH;AACS
