Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Systemic lupus erythematosus_Homo sapiens_hsa05322	8/135	0.00144653373731344647191987551337888362468220293521881103515625	0.180418726972022935850503699839464388787746429443359375	0.00057326002729065315965950588861232972703874111175537109375	0.062342431931916013343464300078267115168273448944091796875	-1.7471544742659704	11.423918231020744	H3F3B;HIST1H2AH;HIST1H2AJ;HIST1H2BK;HIST1H2AE;HIST1H2BF;HIST1H2AD;HIST1H2BG
Alcoholism_Homo sapiens_hsa05034	9/179	0.002327983573832554005378359107680807937867939472198486328125	0.180418726972022935850503699839464388787746429443359375	0.0008044184765408518046625463426835267455317080020904541015625	0.062342431931916013343464300078267115168273448944091796875	-1.8779081188726152	11.38529271532429	CREB3;H3F3B;HIST1H2AH;HIST1H2AJ;HIST1H2BK;HIST1H2AE;HIST1H2BF;HIST1H2AD;HIST1H2BG
Viral carcinogenesis_Homo sapiens_hsa05203	8/205	0.0171065282272497010129796990440809167921543121337890625	0.6628779688059258656807060106075368821620941162109375	0.00698901303210545943311871042169514112174510955810546875	0.361099006658782084588921179602039046585559844970703125	-1.9060285744755525	7.754286749363776	CREB3;EGR2;CCND1;IRF3;SRF;HIST1H2BK;HIST1H2BF;HIST1H2BG
SNARE interactions in vesicular transport_Homo sapiens_hsa04130	3/34	0.016558345258884103745611326985454070381820201873779296875	0.6628779688059258656807060106075368821620941162109375	0.0125949030416878764160326653609445202164351940155029296875	0.48805249286540519637611623693373985588550567626953125	-1.7562119459015246	7.201988205142774	VAMP8;USE1;SNAP29
Prostate cancer_Homo sapiens_hsa05215	4/89	0.0535796444635688595692357694133534096181392669677734375	0.928294241942634101860676310025155544281005859375	0.034370097445387139123429420806132839061319828033447265625	0.69602800384959018220598636617069132626056671142578125	-1.8656196335226347	5.459896395017532	CREB3;CCND1;E2F3;HSP90B1
Acute myeloid leukemia_Homo sapiens_hsa05221	3/57	0.062176027223212672334629047554699354805052280426025390625	0.928294241942634101860676310025155544281005859375	0.044677368747982677821273256313361343927681446075439453125	0.69602800384959018220598636617069132626056671142578125	-1.7942931409659988	4.984161950498534	CCND1;PIM1;PIM2
Oxidative phosphorylation_Homo sapiens_hsa00190	5/133	0.0614439246805653371819033736755955033004283905029296875	0.928294241942634101860676310025155544281005859375	0.035673475077946596722977545823596301488578319549560546875	0.69602800384959018220598636617069132626056671142578125	-1.6981613893316791	4.7372424896055065	NDUFB11;NDUFA4;ATP5O;ATP6V0C;ATP6V1C2
Estrogen signaling pathway_Homo sapiens_hsa04915	4/99	0.0732622376696406563123531441306113265454769134521484375	0.928294241942634101860676310025155544281005859375	0.04716767206658999123103370720855309627950191497802734375	0.69602800384959018220598636617069132626056671142578125	-1.6988516796838482	4.4403055861224265	CREB3;HSPA8;FKBP5;HSP90B1
Hepatitis B_Homo sapiens_hsa05161	5/146	0.08393800285530821081447783171824994497001171112060546875	0.928294241942634101860676310025155544281005859375	0.049353111481684808214964732542284764349460601806640625	0.69602800384959018220598636617069132626056671142578125	-1.681475600228641	4.166153107802299	CREB3;EGR2;CCND1;IRF3;E2F3
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	5/151	0.0936035648832482802816912226262502372264862060546875	0.928294241942634101860676310025155544281005859375	0.05533810050188814333438358517014421522617340087890625	0.69602800384959018220598636617069132626056671142578125	-1.6790222938253954	3.9770779608524283	MLXIPL;CASP7;NDUFB11;NDUFA4;NR1H3
Insulin resistance_Homo sapiens_hsa04931	4/109	0.09610323179527720249826217013833229430019855499267578125	0.928294241942634101860676310025155544281005859375	0.06228025296685670009200208596666925586760044097900390625	0.69602800384959018220598636617069132626056671142578125	-1.5434102804011862	3.6151798045165715	CREB3;MLXIPL;PPP1R3B;NR1H3
Collecting duct acid secretion_Homo sapiens_hsa04966	2/27	0.06817081491808303639334809531646897085011005401611328125	0.928294241942634101860676310025155544281005859375	0.055823712756332945217341290344847948290407657623291015625	0.69602800384959018220598636617069132626056671142578125	-1.2659630875863164	3.400046107075886	ATP6V0C;ATP6V1C2
