Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Prolactin signaling pathway_Homo sapiens_hsa04917	6/72	0.000763990940263047416634856201511638573720119893550872802734375	0.1512702061720833934810315213326248340308666229248046875	0.000837115610182762970130354585052145921508781611919403076171875	0.1657488908161870722057784632852417416870594024658203125	-1.9761916272947275	14.183037643672694	STAT5B;CISH;STAT3;KRAS;PIK3R1;MAPK14
Acute myeloid leukemia_Homo sapiens_hsa05221	5/57	0.00167369516377829409548017025599619955755770206451416015625	0.1656958212140511033094725235059740953147411346435546875	0.00186226130570687890310177525776680340641178190708160400390625	0.1843638692649810228996187788652605377137660980224609375	-2.000423531191855	12.788150364899948	STAT5B;STAT3;PIM1;KRAS;PIK3R1
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	6/101	0.0043115748270527963492693146463352604769170284271240234375	0.216108029971248949419049267817172221839427947998046875	0.00422039434732118627635610863535475800745189189910888671875	0.2354820409324143160034736865782178938388824462890625	-2.004993429704874	10.920100580460009	STAT5B;STAT3;PIM1;KRAS;PIK3R1;MAPK14
Adherens junction_Homo sapiens_hsa04520	5/74	0.005233408771377533186264230380402295850217342376708984375	0.216108029971248949419049267817172221839427947998046875	0.00535607510230413051688369563407832174561917781829833984375	0.2354820409324143160034736865782178938388824462890625	-1.7699683649972162	9.297099450721966	SNAI1;LMO7;IQGAP1;SORBS1;ACTB
Sphingolipid metabolism_Homo sapiens_hsa00600	4/47	0.005457273484122449058730808246764354407787322998046875	0.216108029971248949419049267817172221839427947998046875	0.005946516185161977545436950975954459863714873790740966796875	0.2354820409324143160034736865782178938388824462890625	-1.783460189867797	9.293265015018605	NEU2;SGMS1;CERK;DEGS1
VEGF signaling pathway_Homo sapiens_hsa04370	4/61	0.013554789792271836057491185556500568054616451263427734375	0.3834069112671176782214388367719948291778564453125	0.0138379502685557036201213776394070009700953960418701171875	0.39141630759628986968579056338057853281497955322265625	-1.7923682212731884	7.709003149946544	PPP3R1;KRAS;PIK3R1;MAPK14
Sphingolipid signaling pathway_Homo sapiens_hsa04071	6/120	0.0098148767899027024308455935397432767786085605621337890625	0.323890934066789204504033250486827455461025238037109375	0.00925460379796198308322008330151220434345304965972900390625	0.305401925332745405317069753436953760683536529541015625	-1.6466098207784796	7.613686707002464	SGMS1;DEGS1;KRAS;PIK3R1;PPP2R5C;MAPK14
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	4/64	0.015936937608641787988972282619215548038482666015625	0.39443920581388425272706399482558481395244598388671875	0.01611346484363122832927928129720385186374187469482421875	0.39880825487987292543579087578109465539455413818359375	-1.752340015360484	7.25313814639702	AKT1S1;EIF4EBP2;KRAS;PIK3R1
Proteoglycans in cancer_Homo sapiens_hsa05205	7/203	0.034924604734505725056603608891236945055425167083740234375	0.487567930438796925951550065292394720017910003662109375	0.0307879246747852462762207181867779581807553768157958984375	0.4621163492136528549991680847597308456897735595703125	-1.728622226359567	5.798773356787717	STAT3;DROSHA;KRAS;PIK3R1;IQGAP1;MAPK14;ACTB
Jak-STAT signaling pathway_Homo sapiens_hsa04630	6/158	0.033047227674341823899784031937088002450764179229736328125	0.487567930438796925951550065292394720017910003662109375	0.030054133588658944742366685431989026255905628204345703125	0.4621163492136528549991680847597308456897735595703125	-1.6765276868438468	5.7166536117708695	STAT5B;CISH;IL23A;STAT3;PIM1;PIK3R1
