Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
N-Glycan biosynthesis_Homo sapiens_hsa00510	2/49	0.012084867493986496678193276466117822565138339996337890625	0.458343296387668186486763488574069924652576446533203125	0.0099201023075706253051553318300648243166506290435791015625	0.415779290659283484732355873347842134535312652587890625	-1.7885537989699478	7.897898064320518	RPN1;ALG12
Synaptic vesicle cycle_Homo sapiens_hsa04721	2/63	0.0194678708536450521815464043129395577125251293182373046875	0.458343296387668186486763488574069924652576446533203125	0.015782583690368327811182069808637606911361217498779296875	0.415779290659283484732355873347842134535312652587890625	-1.6691939937442546	6.574938150314352	ATP6V1B2;SLC18A1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	3/214	0.036433260164731286201433846372310654260218143463134765625	0.458343296387668186486763488574069924652576446533203125	0.0255893518688792530324516150130875757895410060882568359375	0.415779290659283484732355873347842134535312652587890625	-1.8714489435123043	6.198750144752032	DIAPH3;ITGA1;ARHGEF1
Dilated cardiomyopathy_Homo sapiens_hsa05414	2/90	0.03765807103848316239602667110375477932393550872802734375	0.458343296387668186486763488574069924652576446533203125	0.0302667792763334671246600038330143433995544910430908203125	0.415779290659283484732355873347842134535312652587890625	-1.8059571071531226	5.9221089527961075	ITGA1;ADCY8
Pancreatic secretion_Homo sapiens_hsa04972	2/96	0.04232612590670596641739820142902317456901073455810546875	0.458343296387668186486763488574069924652576446533203125	0.034000874638948970496432622212523710913956165313720703125	0.415779290659283484732355873347842134535312652587890625	-1.617746281947139	5.115881167796889	RAB27B;ADCY8
Platelet activation_Homo sapiens_hsa04611	2/122	0.06479509863709916051011106219448265619575977325439453125	0.458343296387668186486763488574069924652576446533203125	0.05208787301825733295768117159241228364408016204833984375	0.415779290659283484732355873347842134535312652587890625	-1.7579004149495996	4.810538989924564	ARHGEF1;ADCY8
Vascular smooth muscle contraction_Homo sapiens_hsa04270	2/120	0.06294802389071484094440478429532959125936031341552734375	0.458343296387668186486763488574069924652576446533203125	0.050593791185380876385124793159775435924530029296875	0.415779290659283484732355873347842134535312652587890625	-1.7350853922394678	4.798284802705859	ARHGEF1;ADCY8
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.0792065172952887142088229666114784777164459228515625	0.458343296387668186486763488574069924652576446533203125	0.06378981477255248055957537189897266216576099395751953125	0.415779290659283484732355873347842134535312652587890625	-1.4785517973327285	3.7491589050924596	FBXW7;UBE2A
Pathways in cancer_Homo sapiens_hsa05200	3/397	0.1526769578703318919199460879099206067621707916259765625	0.458343296387668186486763488574069924652576446533203125	0.11383968910070867142092509993744897656142711639404296875	0.415779290659283484732355873347842134535312652587890625	-1.7894583092511487	3.3631633769839193	DAPK3;ARHGEF1;ADCY8
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	2/180	0.1250562143693655092757666125180548988282680511474609375	0.458343296387668186486763488574069924652576446533203125	0.101538785867367475912459440223756246268749237060546875	0.415779290659283484732355873347842134535312652587890625	-1.5141861571482973	3.147980797922607	MEIS1;ETV6
