Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Propanoate metabolism_Homo sapiens_hsa00640	4/32	0.0026202435037249592782171436766702754539437592029571533203125	0.5659725968045912214421377939288504421710968017578125	0.0020318686774288738892957351112045216723345220088958740234375	0.381863678335950085251937480279593728482723236083984375	-1.834999868915662	10.908134746966445	LDHB;LDHA;SUCLA2;ACAT1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	5/68	0.00802525190405821951811216052874442539177834987640380859375	0.65518924898199559780920253615477122366428375244140625	0.004856861183351869788726862253724902984686195850372314453125	0.381863678335950085251937480279593728482723236083984375	-1.9231857779692951	9.279683358946722	NFKBIA;JUN;SRC;ATP6V1E1;ATP6V1D
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	8/169	0.01259212133951364588624333151756218285299837589263916015625	0.65518924898199559780920253615477122366428375244140625	0.005303662199110417176106668790680487290956079959869384765625	0.381863678335950085251937480279593728482723236083984375	-1.7665524728234938	7.7281087516637035	XBP1;SEL1L;UBQLN1;RRBP1;EIF2S1;SIL1;TXNDC5;SEC63
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	7/151	0.021051928517561040166139463281069765798747539520263671875	0.65518924898199559780920253615477122366428375244140625	0.00996665941094923048260145748145077959634363651275634765625	0.41098728295176922831188903728616423904895782470703125	-1.8340235297544034	7.08073038107155	XBP1;JUN;ITCH;BCL2L11;RXRA;PIK3R1;EIF2S1
Circadian rhythm_Homo sapiens_hsa04710	3/30	0.0169981317849050954371659116759474272839725017547607421875	0.65518924898199559780920253615477122366428375244140625	0.01331903231788141017677418176390347070991992950439453125	0.41098728295176922831188903728616423904895782470703125	-1.7366898576813974	7.076406517112683	PER1;PER3;NR1D1
Small cell lung cancer_Homo sapiens_hsa05222	5/86	0.0206035982868282251112557190708685084246098995208740234375	0.65518924898199559780920253615477122366428375244140625	0.01214070083129897316409628871269887895323336124420166015625	0.41098728295176922831188903728616423904895782470703125	-1.759378493428843	6.830416729544624	NFKBIA;ITGB1;RXRA;RARB;PIK3R1
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	6/118	0.0212329849207128183719017755493041477166116237640380859375	0.65518924898199559780920253615477122366428375244140625	0.0111729947986158491268771086879496579058468341827392578125	0.41098728295176922831188903728616423904895782470703125	-1.7006155755602885	6.551110323552061	RXRA;MED24;NCOR1;SRC;TSC2;PIK3R1
Hepatitis C_Homo sapiens_hsa05160	6/133	0.0353534700989172889773470842555980198085308074951171875	0.79852035208133143040498680420569144189357757568359375	0.018745054227535258573045240382271003909409046173095703125	0.50611646414345201616669100985745899379253387451171875	-1.6581422731519209	5.542106297964088	NFKBIA;PPP2CB;SCARB1;RXRA;PIK3R1;EIF2S1
Thyroid hormone synthesis_Homo sapiens_hsa04918	4/71	0.0408177493540408942163111305490019731223583221435546875	0.79852035208133143040498680420569144189357757568359375	0.026760392079201833492874129660776816308498382568359375	0.57187600794677762028328515953035093843936920166015625	-1.5713568916024512	5.026202271998161	DUOXA2;TTF1;ADCY6;DUOX2
Pyruvate metabolism_Homo sapiens_hsa00620	3/40	0.036224499666640964934405388930827029980719089508056640625	0.79852035208133143040498680420569144189357757568359375	0.0270233601710757991021250035146294976584613323211669921875	0.57187600794677762028328515953035093843936920166015625	-1.479751211982125	4.909843528469457	LDHB;LDHA;ACAT1
