Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Systemic lupus erythematosus_Homo sapiens_hsa05322	15/135	0.00000124721514124319954081206163198913827727665193378925323486328125	0.0002569263190960990850784939620865543474792502820491790771484375	0.000001141993775130352024082332380860993481519471970386803150177001953125	0.000235250717676852515690411049575914148590527474880218505859375	-1.7471544742659704	23.751861636717955	C1QA;HIST1H2BJ;ACTN1;H2AFV;HIST1H4A;HIST1H4B;HIST1H3A;HIST1H4H;HIST1H4I;HIST1H2AG;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4F;C1QC
Alcoholism_Homo sapiens_hsa05034	16/179	0.0000097140283462647229891472056007017954470939002931118011474609375	0.00100054491966526637979073566242504966794513165950775146484375	0.000006816180697258773462754270766605912967861513607203960418701171875	0.0007020666118176537191797326187270300579257309436798095703125	-1.8779081188726152	21.67470188700225	MAP2K1;HIST1H2BJ;H2AFV;GNG11;CAMKK1;HDAC7;HIST1H4A;HIST1H4B;HIST1H3A;HIST1H4H;HIST1H4I;HIST1H2AG;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4F
Viral carcinogenesis_Homo sapiens_hsa05203	15/205	0.00018091992212985468662690691221683891853899694979190826416015625	0.01242316798625002320644039599528696271590888500213623046875	0.000115938380011037245613698953849990402886760421097278594970703125	0.00796110209409122381030154969039358547888696193695068359375	-1.9314667609813165	16.644329912753054	JUN;HIST1H2BJ;ACTN1;HDAC7;HIST1H4A;HIST1H4B;PKM;HIST1H4H;HIST1H4I;HIST1H4J;RAC1;IKBKG;HIST1H4C;HIST1H4D;HIST1H4F
B cell receptor signaling pathway_Homo sapiens_hsa04662	6/73	0.009207669204460040834891998429156956262886524200439453125	0.43074858050230735440067064700997434556484222412109375	0.00840999695471980092398300854483750299550592899322509765625	0.346491874534455790435316657749353908002376556396484375	-1.8965733573425443	8.890602076419798	JUN;MAP2K1;BTK;RAC1;IKBKG;VAV2
RNA transport_Homo sapiens_hsa03013	10/172	0.010455062633551150119703976315577165223658084869384765625	0.43074858050230735440067064700997434556484222412109375	0.00769032468084348587444853961869739578105509281158447265625	0.346491874534455790435316657749353908002376556396484375	-1.7701381117581838	8.073013932967905	FXR2;CLNS1A;EIF4E1B;EIF4A3;EIF4EBP2;NUP153;PABPC1;EIF4G3;EIF3D;SRRM1
TNF signaling pathway_Homo sapiens_hsa04668	7/110	0.01918727166936955164100453430364723317325115203857421875	0.57390105871730445752376681411988101899623870849609375	0.01593082018007858924324438021358218975365161895751953125	0.5060850531479827996150788749218918383121490478515625	-1.7800262611119222	7.037348337058471	MAP2K1;JUN;MMP14;MLKL;CFLAR;IKBKG;MAPK12
Prostate cancer_Homo sapiens_hsa05215	6/89	0.022698975817391921216970018804204300977289676666259765625	0.58449862729784196613280755627783946692943572998046875	0.0196537884717663223488326451615648693405091762542724609375	0.5060850531479827996150788749218918383121490478515625	-1.774013377894414	6.715413171480725	CASP9;AR;HSP90AA1;MAP2K1;IKBKG;HSP90B1
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	5/68	0.0261192950255544863169543390313265263102948665618896484375	0.59784164169602493910105067698168568313121795654296875	0.0236617346553606965053884181315879686735570430755615234375	0.54159081544492260196221877777134068310260772705078125	-1.7734828281927766	6.464488498394487	MAP2K1;BTK;RAC1;MAPK12;VAV2
Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860	4/42	0.0195014922865103489113547396982539794407784938812255859375	0.57390105871730445752376681411988101899623870849609375	0.0192182143575648951838719113993647624738514423370361328125	0.5060850531479827996150788749218918383121490478515625	-1.554642348640319	6.12103780119992	ALAD;HMBS;CPOX;EARS2
Fatty acid metabolism_Homo sapiens_hsa01212	4/48	0.0302383082785173430695468965723193832673132419586181640625	0.6229091505374573234377066910383291542530059814453125	0.02877000808121386865590096704181632958352565765380859375	0.5926621664730056249226208819891326129436492919921875	-1.4531846388590566	5.084178147951703	PECR;ELOVL6;PPT2;ACADSB
