Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Insulin resistance_Homo sapiens_hsa04931	10/109	0.00135214450619901738366579468930694929440505802631378173828125	0.2920632133389877704843229366815648972988128662109375	0.00058466896221310150731642618637806663173250854015350341796875	0.12628849583802992384562458028085529804229736328125	-1.8614984896850604	12.297177086148206	PYGB;RPS6KB1;PRKCD;GFPT1;PTEN;PRKAG2;PIK3CD;PPARA;FOXO1;PTPRF
Peroxisome_Homo sapiens_hsa04146	8/83	0.002940488357872572504347896682475038687698543071746826171875	0.31757274265023782700012588975368998944759368896484375	0.00154833950200493515592103932476675254292786121368408203125	0.1672206662165330037783661509820376522839069366455078125	-1.6900708663595603	9.851726622324934	PEX16;NUDT7;PEX19;ACOX1;PEX6;PXMP4;MPV17L2;XDH
AMPK signaling pathway_Homo sapiens_hsa04152	9/124	0.0107006269450215414640315003680370864458382129669189453125	0.57783385503116324599659492378123104572296142578125	0.0048484485261814681822389871967970975674688816070556640625	0.26694786392675240449534612707793712615966796875	-1.7154808142163354	7.783913474680866	RAB10;RPS6KB1;PPP2R1B;STRADB;HNF4A;PRKAG2;PIK3CD;FOXO1;CAMKK2
Nicotinate and nicotinamide metabolism_Homo sapiens_hsa00760	4/29	0.00962873154172370383785395375753068947233259677886962890625	0.57783385503116324599659492378123104572296142578125	0.00786262871817630139281707357667983160354197025299072265625	0.33966556062521624514971563257859088480472564697265625	-1.6748385093855167	7.776281532135512	NNT;ENPP1;NMNAT3;NT5C2
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	7/93	0.0192679817659219369818668354810142773203551769256591796875	0.693647343573189800736145116388797760009765625	0.010488260000290371143361056738285697065293788909912109375	0.377577360010453333405422426949371583759784698486328125	-1.7185428447320967	6.78705936422091	RPS6KB1;LIMK2;PRKCD;PIK3CD;RAC1;DNM2;ARF6
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	4/35	0.0185072897848367438899952475139798480086028575897216796875	0.693647343573189800736145116388797760009765625	0.014129544002259096513451908094793907366693019866943359375	0.4168372222008820404681728177820332348346710205078125	-1.5541739528837553	6.200517765352407	PPAT;GFPT1;CAD;ASNS
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	9/151	0.0336729764625550986867352776243933476507663726806640625	0.8452865721725613123993525732657872140407562255859375	0.01543841563706970475278179577571791014634072780609130859375	0.4168372222008820404681728177820332348346710205078125	-1.808189990432902	6.131680113722183	NDUFA9;NDUFA6;NDUFA4;NDUFA12;PRKAG2;PIK3CD;RAC1;PPARA;SDHB
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	5/64	0.0391025296903182439933743808069266378879547119140625	0.8452865721725613123993525732657872140407562255859375	0.0254272657393680746873432241272894316352903842926025390625	0.5763150526773006543379551658290438354015350341796875	-1.7143939128435768	5.557324646346583	HSPA8;RPS6KB1;PRKAG2;PIK3CD;FOXO1
Fatty acid degradation_Homo sapiens_hsa00071	4/44	0.03913363760058154172671862625065841712057590484619140625	0.8452865721725613123993525732657872140407562255859375	0.0282868911009083283392140373280199128203094005584716796875	0.5763150526773006543379551658290438354015350341796875	-1.4387775248671102	4.66275119034371	HADHB;HADHA;ACAA2;ACOX1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	6/94	0.057558676283311620280880305244863848201930522918701171875	0.999746776931049740966273020603694021701812744140625	0.033997290206492621067457804429068346507847309112548828125	0.60742053436552290168748413634602911770343780517578125	-1.6032705541744985	4.577257900954627	RPS6KB1;ULK2;PRKAG2;PIK3CD;FOXO1;CAMKK2
