Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	19/94	0.002015993747984248969651321914398067747242748737335205078125	0.271767792388039997053539309490588493645191192626953125	0.0016263919522686571920988551909204034018330276012420654296875	0.1463752757041791585645995610320824198424816131591796875	-1.9230851593867602	11.935903100558336	KL;ATF6B;PRKAG1;ADCY2;PIK3R1;FOXO3;ATG13;MTOR;PIK3CG;ADCY5;IGF1R;SESN3;RHEB;CAMK4;AKT2;CREB3L2;EIF4E2;PRKACA;EIF4E
Insulin resistance_Homo sapiens_hsa04931	21/109	0.002251997174642063337390851529562496580183506011962890625	0.271767792388039997053539309490588493645191192626953125	0.00159822450601009003433305988295387578546069562435150146484375	0.1463752757041791585645995610320824198424816131591796875	-1.8349911389114042	11.1859918891194	PYGB;CRTC2;GFPT2;NR1H2;PRKCD;PRKAG1;PIK3R1;PTPRF;MTOR;PIK3CG;PPP1CA;NFKBIA;PPP1CC;MLXIPL;GYS1;PPP1R3E;AKT2;CREB3L2;MLX;PRKCQ;PPARGC1B
Alcoholism_Homo sapiens_hsa05034	30/179	0.003019642137644888875425142060748839867301285266876220703125	0.271767792388039997053539309490588493645191192626953125	0.00134137081356255146065425964962969374028034508228302001953125	0.1463752757041791585645995610320824198424816131591796875	-1.8528396229833552	10.751318605818588	SHC4;SHC3;ATF6B;HDAC10;HIST2H2AB;GNAI3;ADCY5;HIST2H2AC;PPP1CC;H2AFJ;CREB3L2;GNG8;MAPK1;HIST1H3B;PRKACA;HIST1H3C;HIST1H2AB;HIST1H4K;HIST1H2AI;HIST1H2AK;H2AFX;GRIN2C;HIST2H2BE;GRIN2D;PPP1CA;ADORA2A;CAMK4;PPP1R1B;CRH;HIST1H2BB
Central carbon metabolism in cancer_Homo sapiens_hsa05230	14/67	0.005483845370777098472692134834005628363229334354400634765625	0.320959020799137906276854437237489037215709686279296875	0.004974059785205521555528918042909936048090457916259765625	0.2453053578171892346038163168486789800226688385009765625	-1.7867603190246892	9.301782585248887	PDGFRA;GLS2;SLC1A5;PIK3R1;HIF1A;MTOR;PIK3CG;SLC7A5;AKT2;MAPK1;PFKM;MET;FGFR3;PFKP
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	21/118	0.005943685570354405832416144761509713134728372097015380859375	0.320959020799137906276854437237489037215709686279296875	0.0036840699476636258428985382096243483829312026500701904296875	0.2453053578171892346038163168486789800226688385009765625	-1.7542848919341836	8.99145717132496	MED1;NOTCH3;THRB;PIK3R1;ATP1B1;HIF1A;MTOR;PIK3CG;MED13L;RXRB;CASP9;RCAN1;MED14;CCND1;RHEB;AKT2;MAPK1;ITGAV;PLCD3;PRKACA;PFKP
Glioma_Homo sapiens_hsa05214	13/65	0.0106028610931797780125851460297781159169971942901611328125	0.3570963656576113809393291376181878149509429931640625	0.0090853836228588606693801210667515988461673259735107421875	0.2453053578171892346038163168486789800226688385009765625	-1.866343336251282	8.485575215470176	SHC4;PDGFRA;SHC3;TGFA;PIK3R1;MTOR;PIK3CG;IGF1R;CDK6;CCND1;AKT2;MAPK1;CAMK2G
Cocaine addiction_Homo sapiens_hsa05030	11/49	0.00755837766588773884990359874791465699672698974609375	0.340126994964948192734510712398332543671131134033203125	0.007790339811988843642109880960333612165413796901702880859375	0.2453053578171892346038163168486789800226688385009765625	-1.6612547911832651	8.115393631208619	GPSM1;JUN;ATF6B;CREB3L2;PPP1R1B;GNAI3;GRIN2C;PRKACA;GRIN2D;ADCY5;CDK5R1
AMPK signaling pathway_Homo sapiens_hsa04152	21/124	0.01046493486416800490490519592867713072337210178375244140625	0.3570963656576113809393291376181878149509429931640625	0.006071781050180891613210487633978118537925183773040771484375	0.2453053578171892346038163168486789800226688385009765625	-1.638704363928874	7.472041497136622	CRTC2;CAB39;STRADA;PRKAG1;PIK3R1;PPP2R5C;FOXO3;MTOR;PIK3CG;IGF1R;RAB10;LIPE;GYS1;EEF2K;CCND1;RAB14;RHEB;AKT2;CREB3L2;PFKM;PFKP
Lysine degradation_Homo sapiens_hsa00310	11/52	0.01190321218858704510612511739964247681200504302978515625	0.3570963656576113809393291376181878149509429931640625	0.01123738316880317465729088866055462858639657497406005859375	0.26881153452984818397197841477463953197002410888671875	-1.5908234126099672	7.048854201346579	ALDH3A2;KMT2E;SUV39H2;HADHA;KMT2D;KMT2A;SETD1B;SUV39H1;KMT2B;PLOD2;COLGALT1
mTOR signaling pathway_Homo sapiens_hsa04150	12/60	0.01377078248285284849117271477325630257837474346160888671875	0.37181112703702690058804591899388469755649566650390625	0.01194717931243769772076124269233332597650587558746337890625	0.26881153452984818397197841477463953197002410888671875	-1.6415567472037018	7.034409056653829	CAB39;STRADA;RHEB;AKT2;RRAGD;MAPK1;PIK3R1;EIF4E2;EIF4E;HIF1A;MTOR;PIK3CG
