Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	7/35	0.002213488902985121138666801954286711406894028186798095703125	0.57329362587314636190427563633420504629611968994140625	0.003621132562522152119333096464970367378555238246917724609375	0.69154333943912671411879955485346727073192596435546875	-1.805002027132948	11.03431189328469	ALDH5A1;GOT1;GFPT1;ASL;NIT2;GLUL;ADSS
Protein export_Homo sapiens_hsa03060	5/23	0.006518567413726346869429217889546634978614747524261474609375	0.59729973661269075702051623011357150971889495849609375	0.01004769520875165890461122586430064984597265720367431640625	0.69154333943912671411879955485346727073192596435546875	-1.5578083201178337	7.840606067013671	OXA1L;IMMP2L;SRP72;SEC61G;SEC62
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	11/98	0.0155504495651332119710019696867675520479679107666015625	0.69501740214944884854730844381265342235565185546875	0.0158538173863968269439173042201218777336180210113525390625	0.69154333943912671411879955485346727073192596435546875	-1.7537541173195255	7.302045916838172	CDS1;ITPKC;DGKA;MTMR14;ITPKA;PI4KA;INPP5K;ITPR2;PIK3R3;SYNJ2;PIK3C2A
Lysosome_Homo sapiens_hsa04142	13/123	0.01450285496450172580129578392416078713722527027130126953125	0.69501740214944884854730844381265342235565185546875	0.01406156147536459510849482512639951892197132110595703125	0.69154333943912671411879955485346727073192596435546875	-1.699249095974853	7.193617698791338	SCARB2;CD63;GALNS;AP3M2;GGA2;GGA1;GGA3;AP1G1;SLC17A5;ATP6V1H;ACP5;ATP6V0C;LGMN
Glycosaminoglycan biosynthesis - keratan sulfate_Homo sapiens_hsa00533	4/15	0.006918529767714564314429193103705983958207070827484130859375	0.59729973661269075702051623011357150971889495849609375	0.01167123110622951022430360268344884389080107212066650390625	0.69154333943912671411879955485346727073192596435546875	-1.3531346728784608	6.72988564941491	FUT8;B4GALT1;B3GNT7;CHST2
Acute myeloid leukemia_Homo sapiens_hsa05221	7/57	0.03163251671048265822872025410106289200484752655029296875	0.69501740214944884854730844381265342235565185546875	0.0338412002931903488356368825407116673886775970458984375	0.69154333943912671411879955485346727073192596435546875	-1.83551921901117	6.339093517486953	CEBPA;SPI1;CCND1;PIK3R3;GRB2;PML;NFKB1
Prolactin signaling pathway_Homo sapiens_hsa04917	8/72	0.037993845985146455779268848118590540252625942230224609375	0.69501740214944884854730844381265342235565185546875	0.03858601994514147814907545352980378083884716033935546875	0.69154333943912671411879955485346727073192596435546875	-1.7391075348994585	5.687457423069984	SOCS2;GSK3B;SOCS3;CCND1;IRF1;PIK3R3;GRB2;NFKB1
Alzheimer's disease_Homo sapiens_hsa05010	15/168	0.036095288001396171051471384316755575127899646759033203125	0.69501740214944884854730844381265342235565185546875	0.03114295339027035869339243845388409681618213653564453125	0.69154333943912671411879955485346727073192596435546875	-1.691693129104645	5.6191159685579	GSK3B;LRP1;COX4I1;PSEN2;ITPR2;ATP5F1;SDHB;PPP3CA;ATP5B;APH1B;NDUFS7;GNAQ;NDUFS5;NDUFV1;ATF6
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	10/101	0.043746773838579999793552133269258774816989898681640625	0.69501740214944884854730844381265342235565185546875	0.041587169181465287459698032535015954636037349700927734375	0.69154333943912671411879955485346727073192596435546875	-1.7475101834027729	5.46854899080636	EGR1;CCND1;COL4A2;COL4A1;COL4A4;PRKCD;COL4A3;PIK3R3;NFATC1;NFKB1
Small cell lung cancer_Homo sapiens_hsa05222	9/86	0.04016335182460821495720182383593055419623851776123046875	0.69501740214944884854730844381265342235565185546875	0.039455162807071821051696502991035231389105319976806640625	0.69154333943912671411879955485346727073192596435546875	-1.6037289847995058	5.1556684941223505	CDK6;CCND1;COL4A2;COL4A1;COL4A4;COL4A3;PIK3R3;ITGAV;NFKB1
Axon guidance_Homo sapiens_hsa04360	12/127	0.039552012503638801776961742007188149727880954742431640625	0.69501740214944884854730844381265342235565185546875	0.036173602046596371739628494879070785827934741973876953125	0.69154333943912671411879955485346727073192596435546875	-1.5710696953377965	5.07477302490296	SEMA5A;GSK3B;PPP3CA;SEMA7A;UNC5B;SEMA6D;LIMK2;PLXNB1;FYN;EPHB2;SRGAP1;EPHB3
Adherens junction_Homo sapiens_hsa04520	8/74	0.04364344446093117169116482045865268446505069732666015625	0.69501740214944884854730844381265342235565185546875	0.04370631699682857307376337985260761342942714691162109375	0.69154333943912671411879955485346727073192596435546875	-1.5345839710338558	4.8058599861194615	ACTN2;CSNK2B;PTPRM;CTNNB1;PTPRJ;FYN;WASL;PTPRF
Osteoclast differentiation_Homo sapiens_hsa04380	12/132	0.050604422873369254987085952279812772758305072784423828125	0.69501740214944884854730844381265342235565185546875	0.04549386366049834595770562373218126595020294189453125	0.69154333943912671411879955485346727073192596435546875	-1.5276835507936377	4.558174308603958	PPP3CA;SOCS3;SPI1;CSF1;PIK3R3;ACP5;GRB2;TAB2;NFATC1;FYN;MAP2K7;NFKB1
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	11/118	0.051362214452663486341510434840529342181980609893798828125	0.69501740214944884854730844381265342235565185546875	0.04712686824506319427374734232216724194586277008056640625	0.69154333943912671411879955485346727073192596435546875	-1.4859383100647088	4.41153167298137	NOTCH2;GSK3B;MED14;HDAC3;CCND1;PIK3R3;CTNNB1;ITGAV;SLC16A2;PFKP;WNT4
RNA degradation_Homo sapiens_hsa03018	8/77	0.05310998877864629708067667479554074816405773162841796875	0.69501740214944884854730844381265342235565185546875	0.052194979321183714027210243102672393433749675750732421875	0.69154333943912671411879955485346727073192596435546875	-1.3885438802555226	4.0759181758985905	BTG3;PAPD7;PARN;PABPC1;CNOT8;EXOSC3;SKIV2L2;PFKP
N-Glycan biosynthesis_Homo sapiens_hsa00510	6/49	0.04554484847642460698668998020366416312754154205322265625	0.69501740214944884854730844381265342235565185546875	0.048291047044043577951555334948352538049221038818359375	0.69154333943912671411879955485346727073192596435546875	-1.2298194447115438	3.7989832962430086	DPAGT1;FUT8;B4GALT1;DOLK;MGAT1;DDOST
Endometrial cancer_Homo sapiens_hsa05213	6/52	0.05806681366995437854061634652680368162691593170166015625	0.69501740214944884854730844381265342235565185546875	0.059880575559191483170362602095337933860719203948974609375	0.69154333943912671411879955485346727073192596435546875	-1.2758083238010534	3.631155858452022	GSK3B;CCND1;ILK;PIK3R3;CTNNB1;GRB2
Insulin resistance_Homo sapiens_hsa04931	10/109	0.0668060041831031459214074175179121084511280059814453125	0.69501740214944884854730844381265342235565185546875	0.06147805690129541644761701491006533615291118621826171875	0.69154333943912671411879955485346727073192596435546875	-1.3313514742119368	3.602586923225859	GSK3B;SOCS3;RPS6KA2;PRKCD;GFPT1;PIK3R3;IRS2;OGT;NFKB1;PTPRF
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	14/169	0.06956383800042369169869260758787277154624462127685546875	0.69501740214944884854730844381265342235565185546875	0.059111083215867721296632453231723047792911529541015625	0.69154333943912671411879955485346727073192596435546875	-1.2413510435904405	3.3088341361359364	PDIA3;EDEM3;DERL3;UBE2D1;UBE2G1;DDOST;NPLOC4;SEC61G;DNAJC10;UBQLN1;SEC62;MAP2K7;ATF6;SEC31B
AMPK signaling pathway_Homo sapiens_hsa04152	11/124	0.06845565310596642139007173000209149904549121856689453125	0.69501740214944884854730844381265342235565185546875	0.061607630614498164189907214449704042635858058929443359375	0.69154333943912671411879955485346727073192596435546875	-1.229229962395747	3.296265137156495	RAB2A;TBC1D1;CCND1;RAB14;CAB39L;HNF4A;PPP2R5B;PIK3R3;IRS2;PPP2R3A;PFKP
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	12/137	0.0635918575740539726570688117135432548820972442626953125	0.69501740214944884854730844381265342235565185546875	0.056357230239312737507528794367317459546029567718505859375	0.69154333943912671411879955485346727073192596435546875	-1.1931678313713636	3.287499342696012	KLHL9;ANAPC13;SOCS3;UBE3C;NEDD4;UBE2N;UBE2D1;UBE2G1;TRIM37;RNF7;PML;UBE2L3
Tight junction_Homo sapiens_hsa04530	12/139	0.06934944888878892543804255410577752627432346343994140625	0.69501740214944884854730844381265342235565185546875	0.061153170955099901695550812519286409951746463775634765625	0.69154333943912671411879955485346727073192596435546875	-1.1495226783464374	3.067612861750798	MAGI1;PARD6B;ACTN2;PRKCD;CSNK2B;MAGI2;CLDN23;PARD6G;SHROOM3;CTNNB1;SHROOM1;MYH10
Fanconi anemia pathway_Homo sapiens_hsa03460	6/53	0.06265478804447342786598795782992965541779994964599609375	0.69501740214944884854730844381265342235565185546875	0.0640812360870233188592237638658843934535980224609375	0.69154333943912671411879955485346727073192596435546875	-0.9941216692057614	2.7538315219310725	RMI1;ERCC1;POLI;POLK;BRCA2;FANCG
Amoebiasis_Homo sapiens_hsa05146	9/100	0.08705260540884603159828003526854445226490497589111328125	0.7383728685904402677664393195300363004207611083984375	0.0803301098741969477057267567943199537694454193115234375	0.6982707671337091692720377977821044623851776123046875	-1.0587248962414464	2.58460440645934	COL4A2;ACTN2;COL4A1;GNAQ;COL4A4;COL4A3;PIK3R3;CD14;NFKB1
