Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glycosphingolipid biosynthesis - ganglio series_Homo sapiens_hsa00604	1/15	0.029593832937956442152849234616951434873044490814208984375	0.2334921871187870812125453312546596862375736236572265625	0.0292401387432890229323145803164152312092483043670654296875	0.2004649333630442453735298613537452183663845062255859375	-1.6778192213825798	5.90624124703966	HEXB
Glycosphingolipid biosynthesis - globo series_Homo sapiens_hsa00603	1/14	0.0276477662224518284939112078291145735420286655426025390625	0.2334921871187870812125453312546596862375736236572265625	0.0274360103385423680089072462351396097801625728607177734375	0.2004649333630442453735298613537452183663845062255859375	-1.5817532024457217	5.675663199336609	HEXB
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.044902343676689819573777384675850044004619121551513671875	0.2334921871187870812125453312546596862375736236572265625	0.0385509487236623538120028342746081762015819549560546875	0.2004649333630442453735298613537452183663845062255859375	-1.7188068883477616	5.333913753207994	DNAJA1;VCP
Other glycan degradation_Homo sapiens_hsa00511	1/18	0.035409275879913333640036654514915426261723041534423828125	0.2334921871187870812125453312546596862375736236572265625	0.0346340051464620046761666571910609491169452667236328125	0.2004649333630442453735298613537452183663845062255859375	-1.5510036901056006	5.181564376422633	HEXB
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.06818510630471917577377638508551171980798244476318359375	0.23535276760315071431506339649786241352558135986328125	0.05877317925049894975497721816282137297093868255615234375	0.2224124046164073498221824820575420744717121124267578125	-1.7972517514439976	4.8265719155709546	WASF1;GIT1
Glycosaminoglycan degradation_Homo sapiens_hsa00531	1/19	0.037340195157419549254473878363569383509457111358642578125	0.2334921871187870812125453312546596862375736236572265625	0.03642580382382087922366054044687189161777496337890625	0.2004649333630442453735298613537452183663845062255859375	-1.4128473128463985	4.644996796773982	HEXB
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	1/48	0.09172613616164983219025685912129119969904422760009765625	0.23535276760315071431506339649786241352558135986328125	0.08707176359479441851707548494232469238340854644775390625	0.2224124046164073498221824820575420744717121124267578125	-1.5746244579022879	3.7616958269654055	HEXB
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	2/277	0.1058499319920098713510014931671321392059326171875	0.23535276760315071431506339649786241352558135986328125	0.09195462774621861179458193191749160178005695343017578125	0.2224124046164073498221824820575420744717121124267578125	-1.651797963746135	3.709497070808194	SSTR1;MCHR1
Legionellosis_Homo sapiens_hsa05134	1/55	0.1043980488190937305770233933799318037927150726318359375	0.23535276760315071431506339649786241352558135986328125	0.09892273734857671974030068895444856025278568267822265625	0.2224124046164073498221824820575420744717121124267578125	-1.5410840909078314	3.482147762922098	VCP
N-Glycan biosynthesis_Homo sapiens_hsa00510	1/49	0.0935470540909142667107545321414363570511341094970703125	0.23535276760315071431506339649786241352558135986328125	0.08877352256647330630556780306505970656871795654296875	0.2224124046164073498221824820575420744717121124267578125	-1.4626254256525455	3.465384843398815	MGAT4A
Arachidonic acid metabolism_Homo sapiens_hsa00590	1/62	0.1168975271031160445556196236793766729533672332763671875	0.23535276760315071431506339649786241352558135986328125	0.11063156213728538024287928465128061361610889434814453125	0.2224124046164073498221824820575420744717121124267578125	-1.5498135428119313	3.326609002810578	FAM213B
Fanconi anemia pathway_Homo sapiens_hsa03460	1/53	0.1007951984475572715371782805959810502827167510986328125	0.23535276760315071431506339649786241352558135986328125	0.09555131865610606844985142060977523215115070343017578125	0.2224124046164073498221824820575420744717121124267578125	-1.4412371612221915	3.3071558348669403	FANCG
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	1/68	0.127475856390772579462833391517051495611667633056640625	0.23535276760315071431506339649786241352558135986328125	0.12055574505211426317163869725845870561897754669189453125	0.2224124046164073498221824820575420744717121124267578125	-1.477613619015858	3.0436303399833418	GIT1
Adherens junction_Homo sapiens_hsa04520	1/74	0.1379306028942853534768886447636759839951992034912109375	0.23535276760315071431506339649786241352558135986328125	0.1303776177491146881504135990326176397502422332763671875	0.2224124046164073498221824820575420744717121124267578125	-1.4000786030547927	2.7735621500560264	WASF1
Shigellosis_Homo sapiens_hsa05131	1/65	0.122202228163231174651315313894883729517459869384765625	0.23535276760315071431506339649786241352558135986328125	0.1156065031770557027801515914688934572041034698486328125	0.2224124046164073498221824820575420744717121124267578125	-1.3095212289457434	2.7527157641571156	WASF1
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	1/78	0.1448324723711696682126870427964604459702968597412109375	0.23535276760315071431506339649786241352558135986328125	0.1368691720716352921982661428046412765979766845703125	0.2224124046164073498221824820575420744717121124267578125	-1.3227288560199422	2.5557470234408037	WASF1
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	1/93	0.170237889637319728119990713821607641875743865966796875	0.2458991739205729498696229029519599862396717071533203125	0.16081619480206665873112115150433965027332305908203125	0.23229005915854072927828610772849060595035552978515625	-1.3779582064721778	2.439755572814909	WASF1
Choline metabolism in cancer_Homo sapiens_hsa05231	1/101	0.183484991313522527445201149021158926188945770263671875	0.25108472495534661650395946708158589899539947509765625	0.17333570704144085627973481678054668009281158447265625	0.2371962306882874627067536721369833685457706451416015625	-1.4341146213281146	2.431716884752886	WASF1
Salmonella infection_Homo sapiens_hsa05132	1/86	0.1584749607550521854903990970342420041561126708984375	0.2423734693900798375931771033719996921718120574951171875	0.1497182948528092139017786621479899622499942779541015625	0.2289809215395905706014190172936650924384593963623046875	-1.2485157308080832	2.299964083699377	WASF1
Lysosome_Homo sapiens_hsa04142	1/123	0.2188602588662383052753312995264423079788684844970703125	0.284332418712595791365771447090082801878452301025390625	0.2068809225119510042389947557239793241024017333984375	0.268944970713651809735011966040474362671375274658203125	-1.297299438319894	1.9710153699170483	HEXB
