Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
SNARE interactions in vesicular transport_Homo sapiens_hsa04130	4/34	0.0290909521300804600751899187116578104905784130096435546875	0.99796809787434259675364955910481512546539306640625	0.02063145003831771961966268236210453324019908905029296875	0.97874406734935515128626093428465537726879119873046875	-1.8925627248267372	6.694615263097836	STX18;BNIP1;VAMP1;VAMP5
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	7/93	0.042590914110519260959986098669105558656156063079833984375	0.99796809787434259675364955910481512546539306640625	0.0212532153993022776550247954219230450689792633056640625	0.97874406734935515128626093428465537726879119873046875	-1.832071057485403	5.782225722222147	SPHK2;CFL1;PIK3R2;WASL;WASF1;VAV2;ARF6
Spliceosome_Homo sapiens_hsa03040	9/134	0.043666983537309293772477047923530335538089275360107421875	0.99796809787434259675364955910481512546539306640625	0.0182066867777265946337639235252936487086117267608642578125	0.97874406734935515128626093428465537726879119873046875	-1.7473197975422559	5.471143078081933	SF3B5;SF3A2;NCBP2;SRSF2;SRSF5;SRSF10;CDC40;LSM2;U2AF1L4
Glycerolipid metabolism_Homo sapiens_hsa00561	5/59	0.053223967123401626222456428649820736609399318695068359375	0.99796809787434259675364955910481512546539306640625	0.0323705026255906858079214316603611223399639129638671875	0.97874406734935515128626093428465537726879119873046875	-1.8436434630683298	5.407860687810484	ALDH3A2;DGKD;DGKA;LPIN2;ALDH7A1
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	4/44	0.065191964578858285772611225183936767280101776123046875	0.99796809787434259675364955910481512546539306640625	0.0439413754693185609756511667001177556812763214111328125	0.97874406734935515128626093428465537726879119873046875	-1.7949676307770477	4.901013831695323	NSF;CREB1;GNAS;RAB11B
Endocytosis_Homo sapiens_hsa04144	13/259	0.1170764314950571149953617577921249903738498687744140625	0.99796809787434259675364955910481512546539306640625	0.040212504357604393623315530703621334396302700042724609375	0.97874406734935515128626093428465537726879119873046875	-1.7651909549552298	3.7862080285825206	SH3GLB2;TGFB1;CLTC;VPS37D;WASL;RAB22A;RAB11B;EHD3;ACAP2;KIF5B;VPS35;RAB11FIP2;ARF6
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	8/137	0.10385968645149208644529181810867157764732837677001953125	0.99796809787434259675364955910481512546539306640625	0.049295078405391358489229247652474441565573215484619140625	0.97874406734935515128626093428465537726879119873046875	-1.5023337944961754	3.4023570674270407	UBE2H;UBE3C;UBE2Q1;HUWE1;UBA2;UBE2Z;UBE2J2;TRIM32
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	6/98	0.12481032667815282477530303140156320296227931976318359375	0.99796809787434259675364955910481512546539306640625	0.06984768092703035058388394418216194026172161102294921875	0.97874406734935515128626093428465537726879119873046875	-1.6110619961893045	3.3525557015247	DGKD;DGKA;OCRL;PIK3C3;PIK3R2;PLCD3
Fanconi anemia pathway_Homo sapiens_hsa03460	4/53	0.110958367983959804714544361559092067182064056396484375	0.99796809787434259675364955910481512546539306640625	0.073773166098827058778653054105234332382678985595703125	0.97874406734935515128626093428465537726879119873046875	-1.4859487104238345	3.2670071486165253	MUS81;POLN;FANCC;ATRIP
Homologous recombination_Homo sapiens_hsa03440	3/29	0.07776906900601299188480197699391283094882965087890625	0.99796809787434259675364955910481512546539306640625	0.0585604735548332644423652482146280817687511444091796875	0.97874406734935515128626093428465537726879119873046875	-1.2776861076247714	3.263225009027195	MUS81;RAD50;NBN
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	9/169	0.1335984641268912198608376229458372108638286590576171875	0.99796809787434259675364955910481512546539306640625	0.060497243745307217877016370266574085690081119537353515625	0.97874406734935515128626093428465537726879119873046875	-1.5755701349205653	3.171491143549769	PPP1R15A;RPN2;ERP29;DERL2;YOD1;HYOU1;SEC24D;UBE2J2;SEC31A
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	5/78	0.133659569757472007633936073034419678151607513427734375	0.99796809787434259675364955910481512546539306640625	0.0813574843328437047329515507954056374728679656982421875	0.97874406734935515128626093428465537726879119873046875	-1.4481319016523637	2.9143064201904525	CLTC;PIK3R2;WASL;WASF1;CD2AP
Pyrimidine metabolism_Homo sapiens_hsa00240	6/105	0.1572791298115795710632625059588463045656681060791015625	0.99796809787434259675364955910481512546539306640625	0.08920555354921023971659366225139820016920566558837890625	0.97874406734935515128626093428465537726879119873046875	-1.4345502472667913	2.653535155360098	ENTPD3;POLR3GL;CMPK1;POLR2H;NT5C2;DHODH
TGF-beta signaling pathway_Homo sapiens_hsa04350	5/84	0.166388009649428625369438350389827974140644073486328125	0.99796809787434259675364955910481512546539306640625	0.10215397146476599965492226829155697487294673919677734375	0.97874406734935515128626093428465537726879119873046875	-1.4502931878199001	2.6010033880063683	TGFB1;PPP2R1A;ID1;AMH;BMP7
Osteoclast differentiation_Homo sapiens_hsa04380	7/132	0.1745446072441876050884701498944195918738842010498046875	0.99796809787434259675364955910481512546539306640625	0.0930434062782667659075030996973509900271892547607421875	0.97874406734935515128626093428465537726879119873046875	-1.4759193845166412	2.5763278926969257	TGFB1;CREB1;PPP3CC;BTK;FOSB;PIK3R2;RELB
Renin secretion_Homo sapiens_hsa04924	4/64	0.18108030523100715480921962807769887149333953857421875	0.99796809787434259675364955910481512546539306640625	0.12091350705750074367994528756753425113856792449951171875	0.97874406734935515128626093428465537726879119873046875	-1.2994894098432948	2.2205865680916226	PPP3CC;CREB1;GNAS;CTSB
Primary immunodeficiency_Homo sapiens_hsa05340	3/37	0.135671266852974314875979189309873618185520172119140625	0.99796809787434259675364955910481512546539306640625	0.099516249777608589699440244658035226166248321533203125	0.97874406734935515128626093428465537726879119873046875	-1.0919376169207673	2.1811677469766173	BTK;ADA;UNG
