Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.0167580377494291610229737443660269491374492645263671875	0.2452311265032069143021686841166228987276554107666015625	0.0157844811847429218609750734003682737238705158233642578125	0.2462725100455444293690021595466532744467258453369140625	-1.6450257774768577	6.7263085103724665	MAP3K1;SYVN1
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.0524680077582977133499042565745185129344463348388671875	0.2452311265032069143021686841166228987276554107666015625	0.049486975960488510661861027983832173049449920654296875	0.2462725100455444293690021595466532744467258453369140625	-1.921408817968066	5.663451772387216	PPP5C;MAP3K1
Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040	1/23	0.03284120706528827204895293334629968740046024322509765625	0.2452311265032069143021686841166228987276554107666015625	0.03368810024977968164971997566681238822638988494873046875	0.2462725100455444293690021595466532744467258453369140625	-1.5883830032151633	5.4260294940010665	ACOT7
Fatty acid elongation_Homo sapiens_hsa00062	1/25	0.035647228797518769327634657884118496440351009368896484375	0.2452311265032069143021686841166228987276554107666015625	0.036448792803182396282668520370862097479403018951416015625	0.2462725100455444293690021595466532744467258453369140625	-1.4120785019224928	4.707988154644699	ACOT7
Drug metabolism - other enzymes_Homo sapiens_hsa00983	1/46	0.06463987648529272156405767191245104186236858367919921875	0.2452311265032069143021686841166228987276554107666015625	0.06501046669914188613770278379888623021543025970458984375	0.2462725100455444293690021595466532744467258453369140625	-1.6850954401267426	4.615347965085139	TK2
Arginine and proline metabolism_Homo sapiens_hsa00330	1/50	0.0700660361437734080514161405517370440065860748291015625	0.2452311265032069143021686841166228987276554107666015625	0.07036357429872698576733824893381097353994846343994140625	0.2462725100455444293690021595466532744467258453369140625	-1.6709778863639877	4.441989102657386	OAT
p53 signaling pathway_Homo sapiens_hsa04115	1/69	0.09542795777184480410237910064097377471625804901123046875	0.2477040237334785233169753837501048110425472259521484375	0.09541608817507092610288310652322252281010150909423828125	0.246823256487879394427409351919777691364288330078125	-1.5641719278119373	3.674840007824021	SESN3
GnRH signaling pathway_Homo sapiens_hsa04912	1/91	0.12396039295547552072651598109587212093174457550048828125	0.2477040237334785233169753837501048110425472259521484375	0.12366397359516693998937597598342108540236949920654296875	0.246823256487879394427409351919777691364288330078125	-1.7208262807724293	3.5927293661629007	MAP3K1
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	1/70	0.0967441280186004670671451322050415910780429840087890625	0.2477040237334785233169753837501048110425472259521484375	0.09671764775889028775690547945487196557223796844482421875	0.246823256487879394427409351919777691364288330078125	-1.4961263859210263	3.49448091705854	MAP3K1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	1/94	0.127783201711806848610564202317618764936923980712890625	0.2477040237334785233169753837501048110425472259521484375	0.127453802724484532848947537786443717777729034423828125	0.246823256487879394427409351919777691364288330078125	-1.6614186642130915	3.418236299944675	SESN3
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	1/98	0.1328552330391013225341367842702311463654041290283203125	0.2477040237334785233169753837501048110425472259521484375	0.132483961679869921557184397897799499332904815673828125	0.246823256487879394427409351919777691364288330078125	-1.660530847509253	3.3517735733252065	MAD1L1
Pyrimidine metabolism_Homo sapiens_hsa00240	1/105	0.1416628433306776901901002929662354290485382080078125	0.2477040237334785233169753837501048110425472259521484375	0.1412239763640665002331076038899482227861881256103515625	0.246823256487879394427409351919777691364288330078125	-1.4891397919853226	2.9102339179853276	TK2
Neurotrophin signaling pathway_Homo sapiens_hsa04722	1/120	0.1602463882640030312654033650687779299914836883544921875	0.2477040237334785233169753837501048110425472259521484375	0.159686275394695764706654017572873272001743316650390625	0.246823256487879394427409351919777691364288330078125	-1.5664176825285585	2.8681776965316677	MAP3K1
Hepatitis B_Homo sapiens_hsa05161	1/146	0.1915414818453845813284175392254837788641452789306640625	0.25139819492206727513661235207109712064266204833984375	0.190843139938331685101502444013021886348724365234375	0.250481621169060364451297573396004736423492431640625	-1.5540308360340425	2.568270426292273	MAP3K1
Cell cycle_Homo sapiens_hsa04110	1/124	0.165136015822319015544650255833403207361698150634765625	0.2477040237334785233169753837501048110425472259521484375	0.1645488376585862722034647731561562977731227874755859375	0.246823256487879394427409351919777691364288330078125	-1.4045606974524847	2.529593880261531	MAD1L1
