Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
AMPK signaling pathway_Homo sapiens_hsa04152	5/124	0.000362091450759902968269121625866091562784276902675628662109375	0.040554242485109130711418146120195160619914531707763671875	0.000518141048048616583744652164256194737390615046024322509765625	0.058031797381445059114124518373500904999673366546630859375	-1.7922572645037969	14.201154307489311	CPT1A;PPP2R5A;IRS2;ACACA;IGF1R
p53 signaling pathway_Homo sapiens_hsa04115	3/69	0.004730338328107103716690939876343691139481961727142333984375	0.26489894637399780119579872916801832616329193115234375	0.006195927732971105196535521741907359682954847812652587890625	0.346971953046381897944883121454040519893169403076171875	-1.7373870617983638	9.301550838317807	CCNB1;CDK6;RFWD2
Insulin resistance_Homo sapiens_hsa04931	3/109	0.0164738194711442943740653532813666970469057559967041015625	0.408945762202790386030670788386487402021884918212890625	0.02051854856132752369379801393733941949903964996337890625	0.4709168552474867208701425624894909560680389404296875	-1.808483788137748	7.425603431136096	CPT1A;PPP1R3C;IRS2
Oocyte meiosis_Homo sapiens_hsa04114	3/123	0.0226165182797001297620997917192653403617441654205322265625	0.408945762202790386030670788386487402021884918212890625	0.0278765661843424876475960871857751044444739818572998046875	0.4709168552474867208701425624894909560680389404296875	-1.8042696884747178	6.836512704982579	CCNB1;PPP2R5A;IGF1R
Fatty acid metabolism_Homo sapiens_hsa01212	2/48	0.0231613319371886082487232982884961529634892940521240234375	0.408945762202790386030670788386487402021884918212890625	0.0280575819921175077797936836532244342379271984100341796875	0.4709168552474867208701425624894909560680389404296875	-1.6918054358504597	6.370106144358152	CPT1A;ACACA
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.0276682985813433944544126319442511885426938533782958984375	0.408945762202790386030670788386487402021884918212890625	0.03388936388405343336227559802864561788737773895263671875	0.4709168552474867208701425624894909560680389404296875	-1.6991849914275128	6.095771743278547	CCNB1;IRS2;IGF1R
Glioma_Homo sapiens_hsa05214	2/65	0.040488215682638058201536779279194888658821582794189453125	0.408945762202790386030670788386487402021884918212890625	0.047912816861259303891085181703601847402751445770263671875	0.4709168552474867208701425624894909560680389404296875	-1.7882986978211637	5.734616688140767	CDK6;IGF1R
Long-term depression_Homo sapiens_hsa04730	2/60	0.03499797786904969287835598379388102330267429351806640625	0.408945762202790386030670788386487402021884918212890625	0.041649890077949003330815003209863789379596710205078125	0.4709168552474867208701425624894909560680389404296875	-1.6856401886844983	5.6510497256036	GNAO1;IGF1R
Insulin signaling pathway_Homo sapiens_hsa04910	3/139	0.0309644363541745244738923048544165794737637042999267578125	0.408945762202790386030670788386487402021884918212890625	0.037797555664646174944376610937979421578347682952880859375	0.4709168552474867208701425624894909560680389404296875	-1.6249208297753492	5.646463304701763	PPP1R3C;IRS2;ACACA
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	2/64	0.0393654879795542755882564733838080428540706634521484375	0.408945762202790386030670788386487402021884918212890625	0.046633837789782160709872727011315873824059963226318359375	0.4709168552474867208701425624894909560680389404296875	-1.7143939128435768	5.545834212629067	IRS2;IGF1R
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	3/167	0.04892793436030183629181777860139845870435237884521484375	0.408945762202790386030670788386487402021884918212890625	0.0589389550506352055680991952613112516701221466064453125	0.4709168552474867208701425624894909560680389404296875	-1.6306429560190796	4.920313128851279	IRS2;ATP1B1;MYLK3
Melanoma_Homo sapiens_hsa05218	2/71	0.047472717066835812271818895169417373836040496826171875	0.408945762202790386030670788386487402021884918212890625	0.055851289903726460128741138078112271614372730255126953125	0.4709168552474867208701425624894909560680389404296875	-1.5834865642625051	4.825833828221377	CDK6;IGF1R
Gastric acid secretion_Homo sapiens_hsa04971	2/74	0.051118220275348798253833848548310925252735614776611328125	0.408945762202790386030670788386487402021884918212890625	0.0599834979779449717351980098101194016635417938232421875	0.4709168552474867208701425624894909560680389404296875	-1.5753182635810818	4.684388890688942	ATP1B1;MYLK3
Adipocytokine signaling pathway_Homo sapiens_hsa04920	2/70	0.046279794790923929614923082453969982452690601348876953125	0.408945762202790386030670788386487402021884918212890625	0.05449750939270801841640690099666244350373744964599609375	0.4709168552474867208701425624894909560680389404296875	-1.4883617796368995	4.57380988523078	CPT1A;IRS2
Alcoholism_Homo sapiens_hsa05034	3/179	0.05788718817518036241498435856556170620024204254150390625	0.419381306807212583809274519808241166174411773681640625	0.069404821540204275631680275182588957250118255615234375	0.4709168552474867208701425624894909560680389404296875	-1.5520176723122343	4.4221006219746535	GNAO1;H2AFV;HIST1H4J
Viral carcinogenesis_Homo sapiens_hsa05203	3/205	0.07972443116675077823263251275420770980417728424072265625	0.419381306807212583809274519808241166174411773681640625	0.0947478184947746215893715771017014048993587493896484375	0.4709168552474867208701425624894909560680389404296875	-1.549893963394857	3.919959576056566	POLB;CDK6;HIST1H4J
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	4/341	0.08672567329114748424512271185449208132922649383544921875	0.419381306807212583809274519808241166174411773681640625	0.105115369474885422818033475778065621852874755859375	0.4709168552474867208701425624894909560680389404296875	-1.5485051909348317	3.7861034339680737	CDK6;ANGPT1;PPP2R5A;IGF1R
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	2/94	0.0777402645400421532517754030777723528444766998291015625	0.419381306807212583809274519808241166174411773681640625	0.089976039146943964652791692060418426990509033203125	0.4709168552474867208701425624894909560680389404296875	-1.4579002790780158	3.724034158771	IRS2;IGF1R
Rap1 signaling pathway_Homo sapiens_hsa04015	3/211	0.08520841056350299258514979783285525627434253692626953125	0.419381306807212583809274519808241166174411773681640625	0.1010800842774524088696352919214405119419097900390625	0.4709168552474867208701425624894909560680389404296875	-1.4839387108067004	3.6544292854289524	GNAO1;ANGPT1;IGF1R
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	2/98	0.0834952914456323913583446483244188129901885986328125	0.419381306807212583809274519808241166174411773681640625	0.09642428674936646959547914548238622955977916717529296875	0.4709168552474867208701425624894909560680389404296875	-1.436698573747288	3.5672723296037043	CCNB1;IGF1R
Glucagon signaling pathway_Homo sapiens_hsa04922	2/101	0.0878947692909870792465909516977262683212757110595703125	0.419381306807212583809274519808241166174411773681640625	0.1013464159594666125219220020881039090454578399658203125	0.4709168552474867208701425624894909560680389404296875	-1.3281847039363341	3.229633827025398	CPT1A;ACACA
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.0908657306577177192874472666517249308526515960693359375	0.419381306807212583809274519808241166174411773681640625	0.10466690128041634955113892146982834674417972564697265625	0.4709168552474867208701425624894909560680389404296875	-1.2246074638788897	2.9370646801703457	ANGPT1;IGF1R
Dopaminergic synapse_Homo sapiens_hsa04728	2/129	0.1318675541528555872350381150681641884148120880126953125	0.4781793638279638880561606129049323499202728271484375	0.15024309057240470277605481896898709237575531005859375	0.52774584350436926083460775771527551114559173583984375	-1.1735778303182356	2.3776184993914273	GNAO1;PPP2R5A
