Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Vitamin digestion and absorption_Homo sapiens_hsa04977	1/24	0.04234130335548459689309908071663812734186649322509765625	0.246890168820652344816579670805367641150951385498046875	0.041928359917383771493515354222836322151124477386474609375	0.2359447636773673584453803186988807283341884613037109375	-1.9074067686323832	6.031205383146977	SLC46A1
DNA replication_Homo sapiens_hsa03030	1/36	0.06285312586674914048234796837277826853096485137939453125	0.246890168820652344816579670805367641150951385498046875	0.061476011017268218650233535527149797417223453521728515625	0.2359447636773673584453803186988807283341884613037109375	-1.935236309088139	5.354711026546884	DNA2
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.096094027376333046586154296164750121533870697021484375	0.246890168820652344816579670805367641150951385498046875	0.0932446949088244492198640500646433793008327484130859375	0.2359447636773673584453803186988807283341884613037109375	-1.8577693949564917	4.351691261983666	CDK6
N-Glycan biosynthesis_Homo sapiens_hsa00510	1/49	0.08459224411400377563463592878179042600095272064208984375	0.246890168820652344816579670805367641150951385498046875	0.08223955958599236948369792798985145054757595062255859375	0.2359447636773673584453803186988807283341884613037109375	-1.6954314065935472	4.187567552463395	MAN2A1
Legionellosis_Homo sapiens_hsa05134	1/55	0.09445955979990149076197525346287875436246395111083984375	0.246890168820652344816579670805367641150951385498046875	0.0916799747958656763291429570017498917877674102783203125	0.2359447636773673584453803186988807283341884613037109375	-1.7516243995896903	4.133103987152593	HBS1L
Mineral absorption_Homo sapiens_hsa04978	1/51	0.0878929079022473802584869417842128314077854156494140625	0.246890168820652344816579670805367641150951385498046875	0.085396311196563712275775515081477351486682891845703125	0.2359447636773673584453803186988807283341884613037109375	-1.6724117854468832	4.066696973996757	SLC46A1
Glioma_Homo sapiens_hsa05214	1/65	0.110675744973443734853191244837944395840167999267578125	0.246890168820652344816579670805367641150951385498046875	0.10721639669574982434152587984499405138194561004638671875	0.2359447636773673584453803186988807283341884613037109375	-1.7882986978211637	3.936314696618881	CDK6
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	1/55	0.09445955979990149076197525346287875436246395111083984375	0.246890168820652344816579670805367641150951385498046875	0.0916799747958656763291429570017498917877674102783203125	0.2359447636773673584453803186988807283341884613037109375	-1.6555347206218225	3.9063723685708136	ARHGEF2
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	1/64	0.10906691716508003231478340921967173926532268524169921875	0.246890168820652344816579670805367641150951385498046875	0.1056737900394543461235485892757424153387546539306640625	0.2359447636773673584453803186988807283341884613037109375	-1.7143939128435768	3.7987431734136847	CLPB
Pancreatic cancer_Homo sapiens_hsa05212	1/66	0.11228174814055662256162548828797298483550548553466796875	0.246890168820652344816579670805367641150951385498046875	0.1087565639257872807110771873340127058327198028564453125	0.2359447636773673584453803186988807283341884613037109375	-1.6413329987256422	3.5891750182517477	CDK6
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	1/57	0.09772562660635152054222629658397636376321315765380859375	0.246890168820652344816579670805367641150951385498046875	0.09480694381824095184896350474446080625057220458984375	0.2359447636773673584453803186988807283341884613037109375	-1.5305636485167435	3.559465742918997	TAB3
Renal cell carcinoma_Homo sapiens_hsa05211	1/66	0.11228174814055662256162548828797298483550548553466796875	0.246890168820652344816579670805367641150951385498046875	0.1087565639257872807110771873340127058327198028564453125	0.2359447636773673584453803186988807283341884613037109375	-1.5255469405414683	3.335980555081178	EPAS1
Melanoma_Homo sapiens_hsa05218	1/71	0.1202695628928885096531331555524957366287708282470703125	0.246890168820652344816579670805367641150951385498046875	0.1164209312236913762550472029033699072897434234619140625	0.2359447636773673584453803186988807283341884613037109375	-1.5154477996094164	3.2097482909364228	CDK6
Chronic myeloid leukemia_Homo sapiens_hsa05220	1/73	0.1234450844103261724082898354026838205754756927490234375	0.246890168820652344816579670805367641150951385498046875	0.11946972454354705395207503215715405531227588653564453125	0.2359447636773673584453803186988807283341884613037109375	-1.4792017759214195	3.0944292940747737	CDK6
Pathways in cancer_Homo sapiens_hsa05200	2/397	0.1597766964209565987431460598600097000598907470703125	0.252278994348878848885675552082830108702182769775390625	0.146009630381440824731242855705204419791698455810546875	0.2359447636773673584453803186988807283341884613037109375	-1.6292978894494552	2.988096624718972	CDK6;EPAS1
