Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	166/397	0.000000001539844403085340346557469834378080453252124470964190550148487091064453125	0.00000044501503249166337297640827670719421149669869919307529926300048828125	0.000000007578812306908992276681218125400363305743667297065258026123046875	0.0000021902767566966989797191088518157897624405450187623500823974609375	-2.109779148854536	42.81076179637833	SPI1;ITGA2B;FGF4;CRKL;IGF1R;RASSF1;FGF8;FGF9;CCND1;MYC;RASSF5;AKT1;EP300;SKP2;PDGFRA;MAP2K2;WNT5B;PRKCB;DAPK1;DAPK2;F2R;PRKCA;PGF;PIAS2;RUNX1;MSH6;ADCY9;CCNE1;CTBP2;CTBP1;LPAR1;PDGFA;TGFA;PIK3R3;LPAR3;PIK3R2;PIK3R1;HIF1A;RASGRP1;FOXO1;HSP90B1;TPR;DVL1;ABL1;DVL2;FGF20;PLCG1;WNT1;RALGDS;STAT5B;CREBBP;JUN;TGFB2;FZD2;TGFB1;SMAD3;FZD5;JUP;FZD4;TGFB3;FZD7;PTCH1;FZD6;FZD8;GNG12;NFKB1;BMP4;NFKBIA;BMP2;IL6;CDK6;CDK4;GNAQ;FGF18;GNB1;MDM2;GNAS;CYCS;FGF12;FGFR3;FGF11;FGFR2;FGF10;FGFR1;ITGB1;CDKN1A;CDKN1B;HSP90AB1;LAMC3;SLC2A1;PIK3CD;PIK3CB;IKBKB;SHH;MECOM;CASP3;RAC3;ITGAV;IKBKG;APPL1;JAK1;ARHGEF11;ITGA2;PLEKHG5;AXIN1;WNT9A;FOS;WNT16;TGFBR2;PLCB3;PLCB4;TRAF4;TRAF3;TRAF6;TRAF5;RARA;ITGA6;ARHGEF1;PLCB1;SOS1;SOS2;CRK;MET;PPARD;CEBPA;LAMA5;RALA;HDAC1;PTGER1;LEF1;LAMA3;ADCY3;ADCY8;ADCY7;ADCY6;RELA;ADCY5;CDC42;RXRB;GNA13;MAPK9;GNG3;MAPK8;GNG2;RXRA;WNT11;GNG5;GNG7;GNA11;ERBB2;E2F1;GNG8;EGLN1;TCF7L2;CDKN2B;CDKN2A;STAT1;WNT7B;STAT3;VEGFB;VEGFC;MLH1;PML;VEGFA;CCDC6;BAX
Chronic myeloid leukemia_Homo sapiens_hsa05220	38/73	0.000011656125703825729057728187443299106007543741725385189056396484375	0.00114261440969343837543992226102318454650230705738067626953125	0.0002302247419376234906750189335156164815998636186122894287109375	0.0133069900839946388126922016681419336237013339996337890625	-1.9049224659163602	21.639307170090486	SHC4;CDKN1A;CDKN1B;CTBP2;HDAC1;CTBP1;PIK3R3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;RELA;CRKL;IKBKB;MECOM;CCND1;MYC;E2F1;ABL1;AKT1;IKBKG;STAT5B;TGFB2;TGFB1;SMAD3;MAP2K2;TGFB3;CDKN2A;NFKB1;RUNX1;TGFBR2;NFKBIA;CDK6;CDK4;MDM2;SOS1;SOS2;CRK
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	55/118	0.00001186104923557202380272022901319672882891609333455562591552734375	0.00114261440969343837543992226102318454650230705738067626953125	0.000106045340258948992220346119186302757952944375574588775634765625	0.01021570111161208653516307975905874627642333507537841796875	-1.8079542083080786	20.506269884530493	THRB;THRA;SLC2A1;ATP2A2;PIK3CD;PIK3CB;ACTB;ACTG1;MED14;CCND1;SIN3A;MYC;AKT1;EP300;ITGAV;SLC16A2;NCOA1;MED1;MAP2K2;PRKCB;NCOA3;TSC2;PRKCA;ATP1B2;ATP1B1;KAT2B;PLCB3;PLCB4;TBC1D4;PLCB1;NOTCH3;NOTCH1;HDAC1;ATP1A3;PIK3R3;PIK3R2;ATP1A1;PIK3R1;HIF1A;FOXO1;SLC9A1;RXRB;RXRA;PLCG1;CREBBP;STAT1;SLC16A10;ESR1;MED13L;BMP4;RCAN2;FXYD2;MDM2;PLCD3;PFKP
Rap1 signaling pathway_Homo sapiens_hsa04015	87/211	0.00002127967781783717099420259744047001504441141150891780853271484375	0.0015374567223387356797170699707066887640394270420074462890625	0.00004761167867645222447244013341816071260836906731128692626953125	0.006879887568747346422715072122855417546816170215606689453125	-1.8859798467896234	20.28891484828162	ITGB1;DOCK4;ITGA2B;PIK3CD;CALML3;PIK3CB;ACTB;CRKL;ACTG1;FGF4;IGF1R;SIPA1L1;FGF8;FGF9;RASSF5;AKT1;RAC3;MAGI1;PDGFRA;MAP2K2;PRKCB;MAGI3;F2R;PRKCA;NGF;PGF;APBB1IP;TIAM1;PLCB3;ADCY9;PLCB4;ADORA2A;PRKD3;ADORA2B;PARD3;RAPGEF1;PFN4;PRKD2;PFN1;TLN1;PLCB1;CRK;MET;PFN3;RAPGEF3;PFN2;RALA;LPAR1;ADCY3;PDGFA;PIK3R3;LPAR3;PIK3R2;PIK3R1;ADCY8;ADCY7;THBS1;ADCY6;RAP1GAP;ADCY5;CDC42;PARD6B;GRIN2A;P2RY1;FGF20;PLCG1;RALGDS;VASP;FARP2;NGFR;VEGFB;VEGFC;MAPK14;VEGFA;EFNA1;EFNA2;GNAQ;FGF18;GNAS;CALM1;CALM2;FGF12;FGFR3;FGF11;FGFR2;FGF10;FGFR1
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	47/101	0.0000522371843911212968450223648186891978184576146304607391357421875	0.003019309257806811024049675751257382216863334178924560546875	0.0003371305974002821218525605129201494492008350789546966552734375	0.0143209322029592966973865486579597927629947662353515625	-1.9477749305266294	19.204507592404234	CDKN1B;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;RELA;FOXO1;CDC42;THBD;MAPK9;MAPK8;CCND1;CASP3;AKT1;PLCG1;JAK2;STAT5B;TGFB2;EDN1;JUN;TGFB1;SMAD3;TGFB3;PRKCB;NOS3;STAT1;PRKCE;STAT3;VEGFB;VEGFC;PRKCA;NFATC1;MAPK14;F3;NFKB1;TGFBR2;VEGFA;COL1A1;DIAPH1;IL6;PLCB3;PLCB4;CDK4;BAX;PLCD3;PLCB1
Hippo signaling pathway_Homo sapiens_hsa04390	65/153	0.000077570577320299548642647258223092876505688764154911041259765625	0.0037363161409277620243762907392692795838229358196258544921875	0.00021874210233407625852096456409157099187723360955715179443359375	0.0133069900839946388126922016681419336237013339996337890625	-1.6162017184341884	15.296254063529696	WWC1;ACTB;ACTG1;BBC3;SOX2;CCND3;RASSF1;CCND1;YWHAQ;PPP2R1A;MYC;TEAD1;YWHAG;TEAD2;TEAD3;WNT5B;AXIN1;CSNK1D;WNT9A;WNT16;YWHAZ;TGFBR2;FRMD6;PARD3;AJUBA;CRB2;LEF1;NKD1;STK3;SAV1;PPP2CA;PPP2CB;PARD6B;WNT11;DVL1;DVL2;WNT1;TCF7L2;TGFB2;TGFB1;SMAD3;FZD2;FZD5;TGFB3;FZD4;FZD7;WNT7B;FZD6;BMP8A;FZD8;MPP5;WTIP;GDF5;BMP7;BMP6;SMAD7;BMP4;DLG1;BMP2;PPP2R2C;DLG4;ID2;PPP2R2D;NF2;BMPR1A
Adherens junction_Homo sapiens_hsa04520	36/74	0.00012444126212495396836647809646336781952413730323314666748046875	0.00513764639344452787861339260189197375439107418060302734375	0.0008696340846641691102458793238838552497327327728271484375	0.0271613652033999460055913033329488825984299182891845703125	-1.669089339012919	15.007911792507231	LEF1;PTPRM;PTPRJ;IQGAP1;WASL;NLK;PTPRF;ACTB;ACTG1;IGF1R;CDC42;ERBB2;EP300;RAC3;FYN;WASF1;WASF3;FARP2;PTPN1;TCF7L2;CREBBP;YES1;SMAD3;ACTN2;ACTN1;CSNK2A2;SORBS1;TGFBR2;TJP1;FER;PARD3;CSNK2B;SNAI1;MET;VCL;FGFR1
TGF-beta signaling pathway_Homo sapiens_hsa04350	39/84	0.0002324598139881300646984729763033783456194214522838592529296875	0.00839761078032119807901256791637933929450809955596923828125	0.0010776485633734278306306020311922111432068049907684326171875	0.0271613652033999460055913033329488825984299182891845703125	-1.6624041366790243	13.908991611352812	ACVR1B;THBS1;LTBP1;PPP2CA;PPP2CB;ACVR1C;PPP2R1A;MYC;EP300;E2F5;PITX2;ACVR1;TGFB2;CREBBP;CDKN2B;TGFB1;SMAD3;SMURF2;TGFB3;SMURF1;BMP8A;INHBB;INHBA;SMAD6;ACVR2B;BMP7;GDF5;BMP6;TGFBR2;SMAD7;BMP4;BMP2;TFDP1;SP1;ID2;ID4;ID3;NBL1;BMPR1A
Pancreatic cancer_Homo sapiens_hsa05212	32/66	0.000313377235214810294199050400010264638694934546947479248046875	0.00905660209770801742645840448631133767776191234588623046875	0.001712063838060487973302681297127492143772542476654052734375	0.030924153074967562770947182571035227738320827484130859375	-1.6782809246982724	13.540543143202838	RALA;PIK3R3;TGFA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;RELA;CDC42;IKBKB;MAPK9;MAPK8;CCND1;ERBB2;E2F1;AKT1;RAC3;IKBKG;RALGDS;JAK1;TGFB2;TGFB1;SMAD3;TGFB3;CDKN2A;STAT1;STAT3;NFKB1;TGFBR2;VEGFA;CDK6;CDK4
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	72/180	0.0003122547921415874954027824816904512772453017532825469970703125	0.00905660209770801742645840448631133767776191234588623046875	0.0004224589780063951749422557213620166294276714324951171875	0.01526133058048102612846985692840462434105575084686279296875	-1.5612972805713548	12.602309304627726	ATF1;CDKN1A;SPI1;CDKN1B;CCNT1;JMJD1C;SIX1;BMI1;IGF1R;HOXA10;LYL1;HHEX;SIN3A;MYC;NFKBIZ;MEN1;KDM6A;SS18;IGFBP3;ETV1;WNT16;RUNX2;DUSP6;RUNX1;TGFBR2;ETV6;MYCN;MAF;ZEB1;SPINT1;RARA;MET;CEBPA;DDX5;CEBPB;KMT2A;HDAC1;CEBPE;PRCC;DOT1L;PDGFA;MLLT3;RELA;FOXO1;RXRB;FUT8;RXRA;HIST1H3C;ZBTB17;NGFR;CDKN2C;TAF15;JUP;H3F3B;FUS;H3F3A;ASPSCR1;KLF3;PML;NFKB1;CDK9;IL6;MEIS1;NR4A3;TLX3;BCL6;SP1;TLX1;ID2;FEV;MDM2;CDK14
AMPK signaling pathway_Homo sapiens_hsa04152	52/124	0.00055675386831846736777895667813709223992191255092620849609375	0.01462744254036700726484543366723301005549728870391845703125	0.00112780755169826778401553912800636680913157761096954345703125	0.0271613652033999460055913033329488825984299182891845703125	-1.5363357635455923	11.512358904950952	CRTC2;IRS1;PIK3CD;IRS2;SLC2A4;PIK3CB;ELAVL1;PRKAG3;IGF1R;GYS1;STK11;EEF2K;CCND1;PPP2R1A;PPP2R5E;CREB3L2;AKT1;RAB8A;CPT1A;STRADA;PPP2R5B;TSC2;TSC1;PPP2R5D;PPP2R5C;PRKAB1;CCNA2;CREB3;TBC1D1;AKT1S1;FBP1;CFTR;PFKFB1;PRKAA2;PFKFB3;CAB39;PIK3R3;PIK3R2;PIK3R1;FOXO3;ADIPOR1;FOXO1;CAMKK2;PPP2CA;PPP2CB;PPP2R3A;RAB10;PPP2R2C;RAB14;PPP2R2D;PFKM;PFKP
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	41/94	0.000810150794146404927727200817599850779515691101551055908203125	0.0195111316256925855505688360835847561247646808624267578125	0.002053628978099249213773447308994946070015430450439453125	0.031236777614246473422365824035296100191771984100341796875	-1.6032705541744985	11.412545012823237	PRKAA2;ATF6B;IRS1;EHMT2;ADCY3;PIK3R3;PIK3CD;PIK3R2;IRS2;PIK3CB;PIK3R1;ADIPOR1;ADCY8;FOXO3;ADCY7;RELA;ADCY6;FOXO1;PRKAG3;ADCY5;CAMKK2;IGF1R;STK11;SESN3;CREB3L2;SESN2;AKT1;EIF4E;APPL1;TSC2;TSC1;SOD2;PRKAB1;ATG13;NFKB1;CREB3;ADCY9;CAMK4;AKT1S1;BAX;ULK2
Prolactin signaling pathway_Homo sapiens_hsa04917	33/72	0.000902912080791757796181806750013265627785585820674896240234375	0.0200724301037552323168089429827887215651571750640869140625	0.0029492653022496402061281006723447717376984655857086181640625	0.037058159667397651271247838167255395092070102691650390625	-1.5697617546171234	11.003849962395611	SHC4;PIK3R3;PIK3CD;PIK3R2;PIK3CB;TNFRSF11A;PIK3R1;FOXO3;RELA;SOCS3;MAPK9;MAPK8;SOCS1;CCND1;AKT1;JAK2;SOCS7;SOCS4;SOCS5;STAT5B;MAP2K2;CISH;STAT1;STAT3;FOS;MAPK14;ESR1;NFKB1;ESR2;IRF1;ELF5;SOS1;SOS2
