Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Proteoglycans in cancer_Homo sapiens_hsa05205	26/203	0.000007955225215766330366571300325428950372952385805547237396240234375	0.0021240451326096101113127811998992910957895219326019287109375	0.000007177827236296008611899678586443229733049520291388034820556640625	0.001916479872091034382386443013501775567419826984405517578125	-2.013336866302579	23.63996040817905	CD63;PXN;ITPR2;PIK3R1;HIF1A;FGF2;THBS1;ACTB;EGFR;CCND1;MAPK1;FZD1;SMAD2;FZD3;FZD2;PPP1R12A;PTCH1;MMP2;ITGA2;FZD9;PRKCA;NUDT16L1;VEGFA;MRAS;CTTN;PDCD4
FoxO signaling pathway_Homo sapiens_hsa04068	17/133	0.000290816173914437594953674715014813045854680240154266357421875	0.0388239592175774195226267693215049803256988525390625	0.0002906176730539039641636189781337407112005166709423065185546875	0.038797459352696177237174168794808792881667613983154296875	-1.800841821142935	14.663929348656216	SMAD2;GABARAPL2;CDKN1B;HOMER2;INSR;SETD7;FBXO25;CSNK1E;PIK3R1;EGFR;FOXO1;GADD45G;RBL2;BCL2L11;CCND1;TNFSF10;MAPK1
Rap1 signaling pathway_Homo sapiens_hsa04015	22/211	0.000756785561799197168363073640051652546389959752559661865234375	0.0673539150001285502611381161841563880443572998046875	0.000547876130708720089808327902147766508278436958789825439453125	0.048760975633076082680350538112179492600262165069580078125	-1.911107417788556	13.73404086218872	VASP;PDGFRA;RGS14;INSR;LPAR2;PRKCA;PIK3R1;NGF;FGF2;THBS1;ACTB;EGFR;RAP1GAP;VEGFA;GRIN2A;PARD6A;MRAS;GNAQ;FGF20;MAPK1;PLCB1;RAPGEF3
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	30/341	0.00159215243507832113385724870369131167535670101642608642578125	0.08502094003318234893828986287189763970673084259033203125	0.000821916436616860622728364393907440899056382477283477783203125	0.0548483117870406378102643429883755743503570556640625	-1.9633323406252743	12.649099318910167	GSK3B;PHLPP1;CDKN1B;LPAR2;PIK3R1;BRCA1;FGF2;THBS1;EGFR;PPP2CA;CCND3;BCL2L11;CCND1;FGF20;MAPK1;PDGFRA;ITGA4;INSR;ITGA2;PRKCA;PPP2R5C;NGF;VEGFA;RBL2;NR4A1;DDIT4;ITGA6;PKN1;PIK3AP1;ATF4
Pathways in cancer_Homo sapiens_hsa05200	33/397	0.002420454956165308223192678127588806091807782649993896484375	0.09232306761373389181191129182479926384985446929931640625	0.0011219713244124394392609023185514161013998091220855712890625	0.0548483117870406378102643429883755743503570556640625	-1.9496187290528424	11.744112828392598	GSK3B;CDKN1B;LPAR2;PIK3R1;HIF1A;FGF2;RASGRP1;EGFR;FOXO1;CCND1;ABL1;FGF20;MAPK1;FZD1;SMAD2;PDGFRA;FZD3;FZD2;PTCH1;ITGA2;PLEKHG5;MMP2;FZD9;PRKCA;PML;NFKB2;VEGFA;BCR;TRAF4;GNAQ;ITGA6;PLCB1;PPARD
Phospholipase D signaling pathway_Homo sapiens_hsa04072	16/144	0.0019774945712604124516131864908174975425936281681060791015625	0.0879985084210883616862020062399096786975860595703125	0.00170282308154931743930660115182718072901479899883270263671875	0.06495053753909539595579047954743145965039730072021484375	-1.7692896397801374	11.015463899166589	DGKG;PDGFRA;PLA2G4E;INSR;LPAR2;PRKCA;PIK3R1;AGPAT1;EGFR;DNM2;MRAS;PTK2B;MAPK1;PIP5K1B;PLCB1;RAPGEF3
Hippo signaling pathway_Homo sapiens_hsa04390	17/153	0.0014535245903871565724407854958144525880925357341766357421875	0.08502094003318234893828986287189763970673084259033203125	0.00123254633229304805773496322984783546417020261287689208984375	0.0548483117870406378102643429883755743503570556640625	-1.664311085449464	10.874215721861331	SMAD2;FZD1;GSK3B;FZD3;FZD2;FZD9;CSNK1E;ACTB;SMAD7;PPP2CA;CCND3;DLG1;PARD6A;CCND1;ID2;BTRC;AJUBA
Vibrio cholerae infection_Homo sapiens_hsa05110	8/51	0.003254712546919767170161552627405399107374250888824462890625	0.10862603125344723331568985713602160103619098663330078125	0.003976100446807471870680483760907009127549827098846435546875	0.1327023524121993813817965701673529110848903656005859375	-1.6571753561605322	9.491722613631362	ATP6V1A;SEC61A1;PRKCA;KDELR3;ATP6V0D2;ACTB;ERO1L;ATP6V1C2
Long-term potentiation_Homo sapiens_hsa04720	9/66	0.004875390728075073600022992792446530074812471866607666015625	0.1446365915995605211374908094512647949159145355224609375	0.005299576566487372054903293161487454199232161045074462890625	0.141498694325212837075156357968808151781558990478515625	-1.6100793812956746	8.571346186412313	GRIN2A;GNAQ;RPS6KA1;ITPR2;MAPK1;PRKCA;PLCB1;RAPGEF3;ATF4
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	15/148	0.00639316534142043459143511796582970418967306613922119140625	0.170697514615925582948108285563648678362369537353515625	0.005199108632311356947841574083213345147669315338134765625	0.141498694325212837075156357968808151781558990478515625	-1.634382280393359	8.257758597314625	PRKCA;ADRB1;ADRA1D;PIK3R1;PPP2R5C;ADRB2;ATP2B1;PPP2CA;CACNB3;GNAQ;MAPK1;TNNI3;PLCB1;RAPGEF3;ATF4
TGF-beta signaling pathway_Homo sapiens_hsa04350	10/84	0.00814817820762302018333667064098335686139762401580810546875	0.197495636947506714165001540095545351505279541015625	0.00793506429632347999592045795225203619338572025299072265625	0.1885674313534622392740658369802986271679401397705078125	-1.571499444310828	7.5588508964730465	SMAD2;TGIF1;PPP2CA;BAMBI;ID2;ID3;MAPK1;SMAD5;THBS1;SMAD7
mTOR signaling pathway_Homo sapiens_hsa04150	8/60	0.00887620840213513249972177021618335857056081295013427734375	0.197495636947506714165001540095545351505279541015625	0.00943121615105499931652754952438044711016118526458740234375	0.1937026701793603533641174863078049384057521820068359375	-1.5650221979135333	7.393760815418417	DDIT4;RPS6KA1;ULK3;MAPK1;PRKCA;PIK3R1;HIF1A;VEGFA
Wnt signaling pathway_Homo sapiens_hsa04310	14/142	0.0104142954708854422463115696473323623649775981903076171875	0.21389360697895487550823645506170578300952911376953125	0.0084749407349870679861947309063907596282660961151123046875	0.1885674313534622392740658369802986271679401397705078125	-1.5747758976944575	7.188184035204221	FZD1;GSK3B;FZD3;FZD2;FZD9;PRKCA;CSNK1E;CCND3;CCND1;BAMBI;WIF1;BTRC;PLCB1;PPARD
GnRH signaling pathway_Homo sapiens_hsa04912	10/91	0.0139672143815247652709476966492729843594133853912353515625	0.2412676386779754877931480905317584984004497528076171875	0.0128891091578893814129092021403266699053347110748291015625	0.2294261430104309884558944077070918865501880645751953125	-1.5429549031278083	6.5900260063883636	PLA2G4E;MMP2;GNAQ;ITPR2;PTK2B;MAPK1;PRKCA;PLCB1;EGFR;ATF4
Leukocyte transendothelial migration_Homo sapiens_hsa04670	12/118	0.013497538902144050332321256746581639163196086883544921875	0.2412676386779754877931480905317584984004497528076171875	0.01157343423309632572670846428763979929499328136444091796875	0.2207219243026228017168222095278906635940074920654296875	-1.3928819119703175	5.996701945543392	VASP;CLDN10;CLDN3;ITGA4;MMP2;PXN;CLDN23;PTK2B;PRKCA;PIK3R1;ACTB;RAPGEF3
Focal adhesion_Homo sapiens_hsa04510	17/202	0.0222289195244432628839614807247926364652812480926513671875	0.295548381980911434308012530891573987901210784912109375	0.015814556480307877250890413733941386453807353973388671875	0.252917911458922894940570813560043461620807647705078125	-1.5196793737631915	5.78444853874162	VASP;PDGFRA;GSK3B;PPP1R12A;ITGA4;ITGA2;PXN;PRKCA;PIK3R1;THBS1;ACTB;EGFR;VEGFA;CCND3;CCND1;MAPK1;ITGA6
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	10/101	0.0270354494686629760746843231800085050053894519805908203125	0.295548381980911434308012530891573987901210784912109375	0.023594147726002275000656283054922823794186115264892578125	0.256148130570981569231747698722756467759609222412109375	-1.5472454362789163	5.586494167607957	SMAD2;CDKN1B;CCND1;MMP2;MAPK1;PRKCA;PIK3R1;PLCB1;FOXO1;VEGFA
Choline metabolism in cancer_Homo sapiens_hsa05231	10/101	0.0270354494686629760746843231800085050053894519805908203125	0.295548381980911434308012530891573987901210784912109375	0.023594147726002275000656283054922823794186115264892578125	0.256148130570981569231747698722756467759609222412109375	-1.46247673211339	5.280427747689927	DGKG;PDGFRA;PLA2G4E;MAPK1;PRKCA;PIP5K1B;PIK3R1;HIF1A;WASF2;EGFR
Bladder cancer_Homo sapiens_hsa05219	6/41	0.01445798583838055380301756969174675759859383106231689453125	0.2412676386779754877931480905317584984004497528076171875	0.0161033876209801078693839571087664808146655559539794921875	0.252917911458922894940570813560043461620807647705078125	-1.1481489781458414	4.864142748923946	CCND1;MMP2;MAPK1;THBS1;EGFR;VEGFA
ErbB signaling pathway_Homo sapiens_hsa04012	9/87	0.0272440430317494562684199621571679017506539821624755859375	0.295548381980911434308012530891573987901210784912109375	0.024626010655923145920009886822299449704587459564208984375	0.256148130570981569231747698722756467759609222412109375	-1.3355873331794885	4.8120148301423535	BTC;GSK3B;CDKN1B;NRG4;ABL1;MAPK1;PRKCA;PIK3R1;EGFR
HTLV-I infection_Homo sapiens_hsa05166	20/258	0.03065826759208267748846310496446676552295684814453125	0.295548381980911434308012530891573987901210784912109375	0.0200043537459152764856895601042197085916996002197265625	0.256148130570981569231747698722756467759609222412109375	-1.3184999757215903	4.5947784785215475	FZD1;SMAD2;NRP1;PDGFRA;FDPS;GSK3B;FZD3;FZD2;FZD9;PIK3R1;NFKB2;POLD3;CCND3;DLG1;MRAS;CCND1;CALR;SLC25A5;ATF4;ATR
Ras signaling pathway_Homo sapiens_hsa04014	18/227	0.032100760589687006574255434543374576605856418609619140625	0.295548381980911434308012530891573987901210784912109375	0.0220114607749951236848051649985791300423443317413330078125	0.256148130570981569231747698722756467759609222412109375	-1.284343134003606	4.416696207428429	PDGFRA;PLA2G4E;INSR;PRKCA;RASAL1;PIK3R1;NGF;FGF2;RASGRP1;EGFR;VEGFA;GRIN2A;MRAS;FGF20;ABL1;MAPK1;SHOC2;EXOC2
Long-term depression_Homo sapiens_hsa04730	7/60	0.0274487437425509593624806115030878572724759578704833984375	0.295548381980911434308012530891573987901210784912109375	0.0268547517267513392857924969803207204677164554595947265625	0.256148130570981569231747698722756467759609222412109375	-1.186067837844222	4.264429671114967	PPP2CA;PLA2G4E;GNAQ;ITPR2;MAPK1;PRKCA;PLCB1
HIF-1 signaling pathway_Homo sapiens_hsa04066	10/103	0.03044435075525596390288995962691842578351497650146484375	0.295548381980911434308012530891573987901210784912109375	0.0263372684978459940807749006808080594055354595184326171875	0.256148130570981569231747698722756467759609222412109375	-1.1977040498724867	4.182208668244513	PFKFB3;CDKN1B;INSR;MAPK1;PRKCA;PIK3R1;HIF1A;EGFR;VEGFA;HK1
Prostate cancer_Homo sapiens_hsa05215	9/89	0.0309881064094342829895456503663808689452707767486572265625	0.295548381980911434308012530891573987901210784912109375	0.0277158526722149911591941418009810149669647216796875	0.256148130570981569231747698722756467759609222412109375	-1.19384042558235	4.147582878165839	PDGFRA;GSK3B;CDKN1B;CCND1;MAPK1;PIK3R1;EGFR;FOXO1;ATF4
Adherens junction_Homo sapiens_hsa04520	8/74	0.0287793064604685185081667242457115207798779010772705078125	0.295548381980911434308012530891573987901210784912109375	0.026890974048775613536310657991634798236191272735595703125	0.256148130570981569231747698722756467759609222412109375	-1.1646942090914323	4.132449980967935	SMAD2;FER;INSR;MAPK1;LMO7;WASF2;EGFR;ACTB
Gap junction_Homo sapiens_hsa04540	9/88	0.029073912011298629065603194021605304442346096038818359375	0.295548381980911434308012530891573987901210784912109375	0.026138609686205176163564800617677974514663219451904296875	0.256148130570981569231747698722756467759609222412109375	-1.148274954778045	4.06249803991254	PDGFRA;TUBB2A;GNAQ;ITPR2;MAPK1;ADRB1;PRKCA;PLCB1;EGFR
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	17/214	0.03597349072944079628744162846487597562372684478759765625	0.315713628534446899553955745432176627218723297119140625	0.02524388661671493616633910050950362347066402435302734375	0.256148130570981569231747698722756467759609222412109375	-1.2036742148975441	4.002184241744798	PDGFRA;PPP1R12A;ITGA4;ITGA2;PXN;PIK3R1;FGF2;ACTB;EGFR;MRAS;SCIN;FGF20;MAPK1;PIP5K1B;ITGA6;ARHGEF7;WASF2
VEGF signaling pathway_Homo sapiens_hsa04370	7/61	0.0297382111309499007345547028080545715056359767913818359375	0.295548381980911434308012530891573987901210784912109375	0.028854173842054041398963448727954528294503688812255859375	0.2568021471942809608179913993808440864086151123046875	-1.13742522475283	3.9984164733009493	PLA2G4E;PXN;HSPB1;MAPK1;PRKCA;PIK3R1;VEGFA
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	14/167	0.0366558894553103142843752948465407826006412506103515625	0.315713628534446899553955745432176627218723297119140625	0.0278213325339268340019582836930567282252013683319091796875	0.256148130570981569231747698722756467759609222412109375	-1.162655396528515	3.8439493780481304	VASP;PPP1R12A;INSR;ITPR2;ADRB1;ADRA1D;PIK3R1;ADRB2;ATP2B1;GNAQ;MAPK1;SLC25A5;PLCB1;ATF4
Platelet activation_Homo sapiens_hsa04611	11/122	0.0383681945530101875529993549207574687898159027099609375	0.31975062336693993447767070392728783190250396728515625	0.03167045892920476723997325052550877444446086883544921875	0.266128938287166771914371565799228847026824951171875	-1.0982092268754666	3.580740209281952	VASP;PPP1R12A;PLA2G4E;GNAQ;ITGA2;ITPR2;MAPK1;PIK3R1;PLCB1;RASGRP1;ACTB
Apoptosis_Homo sapiens_hsa04210	12/140	0.0438154328138498083689000850426964461803436279296875	0.32677091371815369935660555711365304887294769287109375	0.034885815880340211025956165258321561850607395172119140625	0.266128938287166771914371565799228847026824951171875	-1.0873471986127279	3.40097105176935	BCL2L11;TNFSF10;ITPR2;MAPK1;RIPK1;PIK3R1;PTPN13;NGF;ACTB;MAP3K5;GADD45G;ATF4
MAPK signaling pathway_Homo sapiens_hsa04010	19/255	0.04817260926707166157623163371681584976613521575927734375	0.32677091371815369935660555711365304887294769287109375	0.032101173663588410123193028766763745807111263275146484375	0.266128938287166771914371565799228847026824951171875	-1.055777348416334	3.2021354202766865	PDGFRA;PLA2G4E;HSPB1;PRKCA;NGF;FGF2;RASGRP1;EGFR;GADD45G;NFKB2;NR4A1;CACNB3;MRAS;RPS6KA1;FGF20;MAPK1;MAPKAPK5;ATF4;MAP3K5
