Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alcoholism_Homo sapiens_hsa05034	15/179	0.0000000092172610356668215525941285242751688233653339921147562563419342041015625	0.0000013646974779224060590776014534331039840253652073442935943603515625	0.000000005886199210311869629454800049821183716147743325564078986644744873046875	0.0000009241332760189635616029056597309221388059086166322231292724609375	-1.9029766147618754	35.209230916993626	ATF2;HIST1H4K;H3F3B;HIST1H2BJ;HIST1H2AK;HIST3H2A;H2AFJ;HIST1H2AE;HIST1H2BF;HIST1H2AD;MAPK1;HIST1H4I;HIST1H2AG;HIST1H2BG;HIST1H4F
Systemic lupus erythematosus_Homo sapiens_hsa05322	13/135	0.0000000173846812474191848758660783498541935188086426933296024799346923828125	0.0000013646974779224060590776014534331039840253652073442935943603515625	0.0000000146553219602212776949020546913941831501659862624364905059337615966796875	0.0000011504427738773703561252735594333529434152296744287014007568359375	-1.7221752367056056	30.771269844871565	HIST1H4K;H3F3B;HIST1H2BJ;HIST1H2AK;HIST3H2A;H2AFJ;HIST1H2AE;HIST1H2BF;HIST1H2AD;HIST1H4I;HIST1H2AG;HIST1H2BG;HIST1H4F
Viral carcinogenesis_Homo sapiens_hsa05203	9/205	0.00123902073083760806172792801049808986135758459568023681640625	0.06484208491383482153569417505423189140856266021728515625	0.000903778573022602504938305401083198375999927520751953125	0.047297745321516197758437982656687381677329540252685546875	-1.9314667609813165	12.928145180749825	ATF2;DDX3X;HIST1H4K;HIST1H2BJ;HIST1H2BF;MAPK1;HIST1H4I;HIST1H2BG;HIST1H4F
TNF signaling pathway_Homo sapiens_hsa04668	5/110	0.01301109204927467476176072835869490518234670162200927734375	0.291820207390874830633009651137399487197399139404296875	0.01146599756171186139386275470997134107165038585662841796875	0.25716594531268033296811381660518236458301544189453125	-1.7531019941467207	7.611886551776506	CXCL10;ATF2;BAG4;MAPK1;CFLAR
Homologous recombination_Homo sapiens_hsa03440	3/29	0.005732828985877887716104961413066121167503297328948974609375	0.22501353769570708873715148001792840659618377685546875	0.0062018873937836026255521204575416049920022487640380859375	0.2434240802060063935119416100860689766705036163330078125	-1.416855609809131	7.313165625396726	RAD51B;MUS81;BLM
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	4/70	0.01194620384802601298357416226281202398240566253662109375	0.291820207390874830633009651137399487197399139404296875	0.0112316115738404671831052183961219270713627338409423828125	0.25716594531268033296811381660518236458301544189453125	-1.5638464818795859	6.923682773985326	CXCL10;CYLD;DDX3X;NFKBIB
Cardiac muscle contraction_Homo sapiens_hsa04260	4/78	0.01719398885951260724791467282557277940213680267333984375	0.337432031367934925913942834085901267826557159423828125	0.015903791329799112086451629011207842268049716949462890625	0.312111904847307553012569769634865224361419677734375	-1.5721408207985115	6.387915415928278	MYL4;COX8A;UQCR10;COX6C
B cell receptor signaling pathway_Homo sapiens_hsa04662	3/73	0.065272873310432577564910161527222953736782073974609375	0.83820636031515316499707068942370824515819549560546875	0.060779800986701638942921732677859836257994174957275390625	0.7451501048382447311979603910003788769245147705078125	-1.6271723528935287	4.440844200600531	MAPK1;VAV2;NFKBIB
Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623	3/64	0.047426411796486510341619435848770081065595149993896484375	0.82732740578315355772787142996094189584255218505859375	0.0446314497484538164062684018063009716570377349853515625	0.7451501048382447311979603910003788769245147705078125	-1.443108151239935	4.39942486743708	CXCL10;POLR3K;NFKBIB
Influenza A_Homo sapiens_hsa05164	5/175	0.07188794710610245386472882955786189995706081390380859375	0.83820636031515316499707068942370824515819549560546875	0.061700327152211346948273984480692888610064983367919921875	0.7451501048382447311979603910003788769245147705078125	-1.65862916176966	4.366584526952943	CXCL10;ATF2;OAS2;MAPK1;NFKBIB
