Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	10/98	0.00617575181048924705395908318905640044249594211578369140625	0.485825809091820770557745845508179627358913421630859375	0.0039126538775535561753837754395135561935603618621826171875	0.30779543836754641450426106530358083546161651611328125	-1.9562078428263379	9.951473144010562	PPP1CB;ASIC4;ASIC5;SRC;ITPR1;PLA2G4A;PRKCA;PLCB1;PRKACB;ADCY6
Cell cycle_Homo sapiens_hsa04110	12/124	0.00438574899504608380074177631513521191664040088653564453125	0.485825809091820770557745845508179627358913421630859375	0.0024504077119825566112576442634463091962970793247222900390625	0.30779543836754641450426106530358083546161651611328125	-1.7331983346405637	9.410218128237393	RB1;ANAPC13;ORC4;ORC6;CCND1;CCNE2;ANAPC7;E2F2;SKP2;YWHAZ;CDC25A;CDC14B
Viral carcinogenesis_Homo sapiens_hsa05203	16/205	0.009134354283915381567116043015630566515028476715087890625	0.5389269027510075193987404418294318020343780517578125	0.00388489480563218060604757653209162526763975620269775390625	0.30779543836754641450426106530358083546161651611328125	-1.9060285744755525	8.950162731622267	RB1;EGR2;HDAC3;HIST1H2BJ;SRC;PXN;YWHAZ;HIST2H2BE;HDAC7;CCNE2;CCND1;DNAJA3;HIST1H4I;HIST1H4C;SKP2;PRKACB
Pentose phosphate pathway_Homo sapiens_hsa00030	5/29	0.00560383033451025518167920580481222714297473430633544921875	0.485825809091820770557745845508179627358913421630859375	0.005714043964307182095485604378382049617357552051544189453125	0.3371285938941237514399063002201728522777557373046875	-1.4949584257886397	7.750320332101005	PFKL;H6PD;IDNK;TKT;FBP2
Phospholipase D signaling pathway_Homo sapiens_hsa04072	12/144	0.013843391183829677204553121327990083955228328704833984375	0.6534080638767607585037922035553492605686187744140625	0.007414537754180412255922139053154751309193670749664306640625	0.3499661819973154397445114227593876421451568603515625	-1.7947765993125924	7.681549316101367	CYTH2;DGKE;MRAS;LPAR6;LPAR1;PLA2G4A;PRKCA;FYN;PLCB1;ADCY6;RAPGEF3;AGPAT3
Long-term potentiation_Homo sapiens_hsa04720	7/66	0.016774089884240873937759630507571273483335971832275390625	0.65978086878014108318524222340784035623073577880859375	0.0124313789097568287711492729386009159497916698455810546875	0.42548554067247501553339361635153181850910186767578125	-1.7166034854885825	7.0173374661503765	PPP1CB;ITPR1;PRKCA;PLCB1;PRKACB;RAPGEF3;GRIN2D
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	10/118	0.0210999352290756857219999886865480220876634120941162109375	0.71136924486598029915285223978571593761444091796875	0.012620333833505616161207996128723607398569583892822265625	0.42548554067247501553339361635153181850910186767578125	-1.7006155755602885	6.561800213224167	NOTCH1;HDAC3;CCND1;SRC;PRKCA;PLCB1;PRKACB;PLCD1;FOXO1;MED12L
Taste transduction_Homo sapiens_hsa04742	7/83	0.050165862263756626215904788068655761890113353729248046875	0.924766489101769284530973891378380358219146728515625	0.03499877731741023179079519422884914092719554901123046875	0.6264900976901170981392397152376361191272735595703125	-1.6452063503927374	4.923149239587137	CHRM3;PDE1C;SCNN1A;CACNA1A;PKD2L1;PRKACB;ADCY6
Platelet activation_Homo sapiens_hsa04611	9/122	0.058661410679955498792548240771793643943965435028076171875	0.924766489101769284530973891378380358219146728515625	0.0365178259693854367906595825843396596610546112060546875	0.6264900976901170981392397152376361191272735595703125	-1.625962177334773	4.611185105979363	PPP1CB;VAMP8;SRC;ITPR1;PLA2G4A;FYN;PLCB1;PRKACB;ADCY6
Oocyte meiosis_Homo sapiens_hsa04114	9/123	0.061143508895613339626518012437372817657887935638427734375	0.924766489101769284530973891378380358219146728515625	0.038061906877144481564645417392966919578611850738525390625	0.6264900976901170981392397152376361191272735595703125	-1.5393334741047413	4.301715994768822	PPP1CB;ANAPC13;CCNE2;ANAPC7;ITPR1;FBXO5;PRKACB;YWHAZ;ADCY6
