Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Acute myeloid leukemia_Homo sapiens_hsa05221	19/57	0.0001866915711998227435895747472471839500940404832363128662109375	0.052460331507150188834476267629725043661892414093017578125	0.00040173650354601952820743360206279248814098536968231201171875	0.112887957496431490245214490641956217586994171142578125	-2.041649609237026	17.52971104727626	STAT5A;TCF7L1;MAP2K2;JUP;LEF1;STAT3;BRAF;PML;PIK3CG;RUNX1;PIK3R5;IKBKB;AKT2;PIM1;IKBKG;SOS1;SOS2;HRAS;PPARD
FoxO signaling pathway_Homo sapiens_hsa04068	32/133	0.0014173393168396834947142526317520605516619980335235595703125	0.1991361740159755255863416323336423374712467193603515625	0.000841448249678866840028934603878951747901737689971923828125	0.118223479079880788855660966873983852565288543701171875	-1.800841821142935	11.811674476819029	IRS1;SETD7;FBXO25;IRS2;FOXO3;STK4;PIK3CG;IGF1R;PIK3R5;IKBKB;MAPK9;CCNB1;BCL2L11;AKT2;HRAS;GABARAPL1;TGFB1;MAP2K2;EGF;PLK2;STAT3;BRAF;PRKAB1;MAPK12;KLF2;GADD45G;CCNG2;ATM;SGK3;SGK1;SOS1;SOS2
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	24/94	0.002308490237707883606377290419686687528155744075775146484375	0.21622858559863844529758125645457766950130462646484375	0.001857383688497853124754755071990075521171092987060546875	0.1739749388226322357464681545025086961686611175537109375	-1.8649370493481672	11.322334097610879	IRS1;ADCY4;EHMT1;TSC1;IRS2;ADCY8;FOXO3;PRKAB1;ATG13;CAMKK1;PIK3CG;PIK3R5;IGF1R;ATG101;RHEB;CREB3L1;AKT2;CREB3L2;SESN2;ULK2;PRKACA;PPARGC1A;HRAS;ATF4
Insulin resistance_Homo sapiens_hsa04931	26/109	0.004270160798458517460718386615781128057278692722320556640625	0.2999787960917108531333497012383304536342620849609375	0.00275425257181275383311369608918539597652852535247802734375	0.1934862431698459450668536874218261800706386566162109375	-1.7819764373640918	9.72264840202526	GSK3B;PYGB;SLC27A1;IRS1;IRS2;PIK3CG;PIK3R5;PPP1CB;IKBKB;PPP1CC;SOCS3;MAPK9;CREB3L1;AKT2;CREB3L2;PPARGC1A;PPARGC1B;PRKCE;STAT3;PRKAB1;CPT1B;MLXIPL;PPP1R3C;TBC1D4;SLC27A6;OGT
Prolactin signaling pathway_Homo sapiens_hsa04917	18/72	0.00964091114327158237029546938856583437882363796234130859375	0.5124337052230176769995750873931683599948883056640625	0.00784511779056042135582771379631594754755496978759765625	0.332282951315029440042536634791758842766284942626953125	-1.8407150030688595	8.544119828616441	STAT5A;GSK3B;MAP2K2;SHC1;SRC;STAT3;FOXO3;PRLR;MAPK12;PIK3CG;PIK3R5;SOCS3;MAPK9;AKT2;SOS1;SOS2;HRAS;SOCS5
Endometrial cancer_Homo sapiens_hsa05213	14/52	0.01094164495138115998640326864688177010975778102874755859375	0.5124337052230176769995750873931683599948883056640625	0.0107507641743346850360385502654025913216173648834228515625	0.332282951315029440042536634791758842766284942626953125	-1.790770956317115	8.085651652342456	GSK3B;TCF7L1;MAP2K2;EGF;LEF1;BRAF;FOXO3;MLH1;PIK3CG;PIK3R5;AKT2;SOS1;SOS2;HRAS
Prostate cancer_Homo sapiens_hsa05215	20/89	0.021339250329865999677991794669651426374912261962890625	0.55946235706339531024156030980520881712436676025390625	0.0136821634045156577397239772153625381179153919219970703125	0.332282951315029440042536634791758842766284942626953125	-1.774013377894414	6.8249969756424225	PDGFRB;GSK3B;TCF7L1;MAP2K2;EGF;LEF1;BRAF;PIK3CG;PIK3R5;IGF1R;IKBKB;CREB3L1;AKT2;CREB3L2;IKBKG;SOS1;SOS2;HRAS;FGFR1;ATF4
Insulin signaling pathway_Homo sapiens_hsa04910	29/139	0.01812133285228746670814103936208994127810001373291015625	0.55946235706339531024156030980520881712436676025390625	0.00830471027181146730089533747332097846083343029022216796875	0.332282951315029440042536634791758842766284942626953125	-1.6249208297753492	6.517013788884714	GSK3B;PYGB;IRS1;SHC1;IRS2;ACACA;PIK3CG;PIK3R5;PPP1CB;IKBKB;PPP1CC;LIPE;SOCS3;MAPK9;AKT2;PHKG2;FLOT1;PRKACA;PPARGC1A;HRAS;MAP2K2;TSC1;BRAF;PRKAB1;PPP1R3C;RHEB;SOS1;SOS2;RHOQ
Choline metabolism in cancer_Homo sapiens_hsa05231	22/101	0.02300306222329895344813621704815886914730072021484375	0.55946235706339531024156030980520881712436676025390625	0.0134200155164601493684717326004829374141991138458251953125	0.332282951315029440042536634791758842766284942626953125	-1.6893736183955932	6.372533413148608	PDGFRB;MAP2K2;CHKB;CHKA;SLC44A1;EGF;SLC22A1;TSC1;DGKZ;PIK3CG;PIK3R5;MAPK9;RHEB;SP1;AKT2;PIP5K1A;PIP5K1C;RAC1;SOS1;WASF1;SOS2;HRAS
Alcoholism_Homo sapiens_hsa05034	35/179	0.026180777355859198574083990251892828382551670074462890625	0.55946235706339531024156030980520881712436676025390625	0.009404577655192501717262842930722399614751338958740234375	0.332282951315029440042536634791758842766284942626953125	-1.6522916558692746	6.0188520964230525	SHC1;HDAC8;HDAC9;HDAC6;CAMKK1;HDAC7;PPP1CB;PPP1CC;CREB3L1;CREB3L2;HIST1H2AE;HIST1H2AD;PRKACA;HIST1H3C;HRAS;HIST1H3E;HIST1H4K;H3F3B;HIST1H2AK;H3F3A;H2AFX;H2AFV;BRAF;GNG12;GRIN3B;HIST3H2A;GNB4;HIST1H2BF;FOSB;HIST1H2BG;SOS1;SLC29A1;HIST1H2BB;SOS2;ATF4
