Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	5/214	0.000754356130546369151035346334310816018842160701751708984375	0.05657670979097768892973618903852184303104877471923828125	0.00107539990486011705940472271691987771191634237766265869140625	0.080654992864508778804832900277688167989253997802734375	-1.9209137382245087	13.810689735540686	DIAPH3;ARPC2;ITGB5;FGF2;ACTB
Proteoglycans in cancer_Homo sapiens_hsa05205	4/203	0.00479692292174037880625458996064480743370950222015380859375	0.1798846095652641974282914816285483539104461669921875	0.00654382920034630478911541473507895716466009616851806640625	0.2453935950129864373980836944610928185284137725830078125	-1.9874537172168503	10.612566851492856	ITGB5;TIMP3;FGF2;ACTB
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	2/55	0.01464481892657036772587009210155883920378983020782470703125	0.2431608106663538382274936111571150831878185272216796875	0.018502492931235271778067641434972756542265415191650390625	0.2970545483246322948645001815748400986194610595703125	-1.7818363644518107	7.525886415057333	ARPC2;ACTB
Phagosome_Homo sapiens_hsa04145	3/154	0.01497282814946085914564744001609142287634313106536865234375	0.2431608106663538382274936111571150831878185272216796875	0.019454882343729572313772990810321061871945858001708984375	0.2970545483246322948645001815748400986194610595703125	-1.634574140364531	6.867692962811369	ITGB5;ACTB;CTSS
Shigellosis_Homo sapiens_hsa05131	2/65	0.0200784137193532920273586483972394489683210849761962890625	0.2431608106663538382274936111571150831878185272216796875	0.0250614151631693322930249934188395855017006397247314453125	0.2970545483246322948645001815748400986194610595703125	-1.5986973710648213	6.247885159362131	ARPC2;ACTB
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	2/74	0.0255769042251435506363232974536003894172608852386474609375	0.2431608106663538382274936111571150831878185272216796875	0.03165743441462302854016996889185975305736064910888671875	0.2970545483246322948645001815748400986194610595703125	-1.6477125008427551	6.040621975354323	ITGB5;ACTB
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	2/78	0.0281953105757995030333784569620547699742019176483154296875	0.2431608106663538382274936111571150831878185272216796875	0.034787090774237104662258701637256308458745479583740234375	0.2970545483246322948645001815748400986194610595703125	-1.6048857086928905	5.7271945085259395	ARPC2;ACTB
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	2/83	0.031612687532090046060861965315780253149569034576416015625	0.2431608106663538382274936111571150831878185272216796875	0.03886233307322750629708707492682151496410369873046875	0.2970545483246322948645001815748400986194610595703125	-1.6212680611265788	5.600178842963458	ITGB5;ACTB
Dilated cardiomyopathy_Homo sapiens_hsa05414	2/90	0.03665564431508004650250853728721267543733119964599609375	0.2431608106663538382274936111571150831878185272216796875	0.04485900564602925133517175027009216137230396270751953125	0.2970545483246322948645001815748400986194610595703125	-1.5941371415501904	5.27051685920993	ITGB5;ACTB
Salmonella infection_Homo sapiens_hsa05132	2/86	0.033737771655977528972858436873138998635113239288330078125	0.2431608106663538382274936111571150831878185272216796875	0.0413916484079423774300465765918488614261150360107421875	0.2970545483246322948645001815748400986194610595703125	-1.4867127497819776	5.038673558287623	ARPC2;ACTB
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	2/93	0.03890572970661661245106444084740360267460346221923828125	0.2431608106663538382274936111571150831878185272216796875	0.04752872773194116717832002905197441577911376953125	0.2970545483246322948645001815748400986194610595703125	-1.5482505256021373	5.026571438633073	ARPC2;ARF6
Apoptosis_Homo sapiens_hsa04210	2/140	0.0801376168206241745739504267476149834692478179931640625	0.355211236367991622930873063523904420435428619384765625	0.095978057938617966637906420146464370191097259521484375	0.423432608552726297279633627113071270287036895751953125	-1.575709899126703	3.977107403702375	ACTB;CTSS
Systemic lupus erythematosus_Homo sapiens_hsa05322	2/135	0.0752812469376131776499505576794035732746124267578125	0.355211236367991622930873063523904420435428619384765625	0.0903100943654094046042501986448769457638263702392578125	0.423432608552726297279633627113071270287036895751953125	-1.4224243859812264	3.679135125240401	HIST1H4K;HIST1H2AK
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	3/341	0.10640453408176930860662423583562485873699188232421875	0.393686474691649135326798614187282510101795196533203125	0.1317205720286068471036600158186047337949275970458984375	0.458244756296109001514338388005853630602359771728515625	-1.6262852815017896	3.643703702643775	PHLPP1;ITGB5;FGF2
Ribosome_Homo sapiens_hsa03010	2/137	0.077212058406487094064374332447187043726444244384765625	0.355211236367991622930873063523904420435428619384765625	0.09256464652159009098841835339044337160885334014892578125	0.423432608552726297279633627113071270287036895751953125	-1.4067740041682901	3.603029069061165	RPL37A;MRPL23
Influenza A_Homo sapiens_hsa05164	2/175	0.1165649788764666905382938466573250479996204376220703125	0.393686474691649135326798614187282510101795196533203125	0.138233705005248064257017404088401235640048980712890625	0.458244756296109001514338388005853630602359771728515625	-1.477409220438063	3.1754050971461316	TYK2;ACTB
Alzheimer's disease_Homo sapiens_hsa05010	2/168	0.10897457554729227113821110606295405887067317962646484375	0.393686474691649135326798614187282510101795196533203125	0.129464203785246201316994074659305624663829803466796875	0.458244756296109001514338388005853630602359771728515625	-1.3913217374080684	3.084060356291477	NDUFS8;ADAM10
Alcoholism_Homo sapiens_hsa05034	2/179	0.12096189533136032789872871262559783644974231719970703125	0.393686474691649135326798614187282510101795196533203125	0.143305653265256072170785728303599171340465545654296875	0.458244756296109001514338388005853630602359771728515625	-1.4016066969766738	2.9605853700416036	HIST1H4K;HIST1H2AK
Epstein-Barr virus infection_Homo sapiens_hsa05169	2/202	0.1469838652934551681550345847426797263324260711669921875	0.393686474691649135326798614187282510101795196533203125	0.1732075853665608622389271431529778055846691131591796875	0.458244756296109001514338388005853630602359771728515625	-1.379923662931239	2.64591042105418	TRAF5;TYK2
Herpes simplex infection_Homo sapiens_hsa05168	2/185	0.1276334878386903015634601388228475116193294525146484375	0.393686474691649135326798614187282510101795196533203125	0.150990553125507187548492993300897069275379180908203125	0.458244756296109001514338388005853630602359771728515625	-1.2529104331355458	2.579232019104258	TRAF5;TYK2
Focal adhesion_Homo sapiens_hsa04510	2/202	0.1469838652934551681550345847426797263324260711669921875	0.393686474691649135326798614187282510101795196533203125	0.1732075853665608622389271431529778055846691131591796875	0.458244756296109001514338388005853630602359771728515625	-1.318515240057702	2.5281639178335236	ITGB5;ACTB
Viral carcinogenesis_Homo sapiens_hsa05203	2/205	0.15046034699825394653771581943146884441375732421875	0.393686474691649135326798614187282510101795196533203125	0.1771879724344954942782948137391940690577030181884765625	0.458244756296109001514338388005853630602359771728515625	-1.3209502848429813	2.5019534225045006	HIST1H4K;TRAF5
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.15746285614580146638985524987219832837581634521484375	0.393686474691649135326798614187282510101795196533203125	0.185195413913445572351434975644224323332309722900390625	0.460986926967466736915213232350652106106281280517578125	-1.282918142815239	2.3715584522964064	FGF2;ACTB
Ras signaling pathway_Homo sapiens_hsa04014	2/227	0.1764237970592714976891812739268061704933643341064453125	0.41501631965152674386132503059343434870243072509765625	0.206811068238521134077245733351446688175201416015625	0.460986926967466736915213232350652106106281280517578125	-1.2326122347915776	2.1384173538214557	FGF2;ARF6
Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040	1/23	0.07431557820757885013396304429988958872854709625244140625	0.355211236367991622930873063523904420435428619384765625	0.08515153284476258133128823146762442775070667266845703125	0.423432608552726297279633627113071270287036895751953125	-0.698248904097941	1.8150524186197845	ELOVL6
Endocytosis_Homo sapiens_hsa04144	2/259	0.21529315183607555805878064347780309617519378662109375	0.41722189067121184802289235449279658496379852294921875	0.2508271302686824189009939800598658621311187744140625	0.460986926967466736915213232350652106106281280517578125	-1.0781007322255587	1.6556982478949027	ARPC2;ARF6
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.1257214218788492432476999738355516456067562103271484375	0.393686474691649135326798614187282510101795196533203125	0.14120160883903876136713506639352999627590179443359375	0.458244756296109001514338388005853630602359771728515625	-0.6970115197222279	1.445383558085351	SARDH
Fatty acid metabolism_Homo sapiens_hsa01212	1/48	0.1489290822942315184462813704158179461956024169921875	0.393686474691649135326798614187282510101795196533203125	0.1664211300263408188637725970693281851708889007568359375	0.458244756296109001514338388005853630602359771728515625	-0.6895980884865657	1.3131913263430948	ELOVL6
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.182607180646671751755860668708919547498226165771484375	0.41501631965152674386132503059343434870243072509765625	0.20291975847635657093093186631449498236179351806640625	0.460986926967466736915213232350652106106281280517578125	-0.761409430366763	1.2947142909682936	AKT1S1
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	1/64	0.193538773778163142313957223450415767729282379150390625	0.41722189067121184802289235449279658496379852294921875	0.214740779818649973886834914083010517060756683349609375	0.460986926967466736915213232350652106106281280517578125	-0.7657413499208944	1.2575597172816486	AKT1S1
Vibrio cholerae infection_Homo sapiens_hsa05110	1/51	0.1574745898766596596818345688006957061588764190673828125	0.393686474691649135326798614187282510101795196533203125	0.1756935991459657453450660113958292640745639801025390625	0.458244756296109001514338388005853630602359771728515625	-0.660605210314563	1.221122896701266	ACTB
Melanoma_Homo sapiens_hsa05218	1/71	0.2123235839890979248512081767330528236925601959228515625	0.41722189067121184802289235449279658496379852294921875	0.235023110839820359441176833570352755486965179443359375	0.460986926967466736915213232350652106106281280517578125	-0.7670213884254388	1.1886099608328677	FGF2
Gastric acid secretion_Homo sapiens_hsa04971	1/74	0.22024165193822919928123837962630204856395721435546875	0.41722189067121184802289235449279658496379852294921875	0.243560475924588015761429460326326079666614532470703125	0.460986926967466736915213232350652106106281280517578125	-0.7493401256987434	1.1337740286015912	ACTB
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	1/51	0.1574745898766596596818345688006957061588764190673828125	0.393686474691649135326798614187282510101795196533203125	0.1756935991459657453450660113958292640745639801025390625	0.458244756296109001514338388005853630602359771728515625	-0.6095097864214283	1.1266734569173238	ALS2
Viral myocarditis_Homo sapiens_hsa05416	1/59	0.1798515542657590227104691393833491019904613494873046875	0.41501631965152674386132503059343434870243072509765625	0.1999378755570145049791364044722286053001880645751953125	0.460986926967466736915213232350652106106281280517578125	-0.6538686541288848	1.1217924072718628	ACTB
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	1/68	0.2043263239466338310190707261426723562180995941162109375	0.41722189067121184802289235449279658496379852294921875	0.2263931370390704078676691324290004558861255645751953125	0.460986926967466736915213232350652106106281280517578125	-0.6978623408473428	1.1082311735015817	ADAM10
Fatty acid elongation_Homo sapiens_hsa00062	1/25	0.08051454691007810249292475646143429912626743316650390625	0.355211236367991622930873063523904420435428619384765625	0.09192382368440500661765923950952128507196903228759765625	0.423432608552726297279633627113071270287036895751953125	-0.4221416091204574	1.0635087027783525	ELOVL6
