Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	2/22	0.0209155214396403894838716297499559004791080951690673828125	0.80113145357182979910959375047241337597370147705078125	0.021311172451126424165490647055776207707822322845458984375	0.75803835548988296455519275696133263409137725830078125	-1.8114062169235403	7.0051855866021	FDPS;GGPS1
Pyrimidine metabolism_Homo sapiens_hsa00240	4/105	0.0226120361666526346888783649546894594095647335052490234375	0.80113145357182979910959375047241337597370147705078125	0.0194254135782054339343094540026868344284594058990478515625	0.75803835548988296455519275696133263409137725830078125	-1.7620875155779794	6.677030541969455	RRM2B;POLR2A;POLR2E;UPP2
Circadian rhythm_Homo sapiens_hsa04710	2/30	0.037353118503701120134419255691682337783277034759521484375	0.80113145357182979910959375047241337597370147705078125	0.03649271693771426183783290753126493655145168304443359375	0.75803835548988296455519275696133263409137725830078125	-1.8153678271274791	5.967729233833066	PRKAG2;RORA
RNA polymerase_Homo sapiens_hsa03020	2/32	0.04203289271570094520757976397362654097378253936767578125	0.80113145357182979910959375047241337597370147705078125	0.040781450278895625682906711517716757953166961669921875	0.75803835548988296455519275696133263409137725830078125	-1.7466333554571587	5.53560999679309	POLR2A;POLR2E
Huntington's disease_Homo sapiens_hsa05016	5/193	0.04809948700771142504617472468453343026340007781982421875	0.80113145357182979910959375047241337597370147705078125	0.03889012992047459482680693554357276298105716705322265625	0.75803835548988296455519275696133263409137725830078125	-1.8017780745830692	5.467466319144673	POLR2A;SIN3A;POLR2E;COX6A1;SOD1
Epstein-Barr virus infection_Homo sapiens_hsa05169	5/202	0.05637713981465442003582211327739059925079345703125	0.80113145357182979910959375047241337597370147705078125	0.0456496256053809668085108341983868740499019622802734375	0.75803835548988296455519275696133263409137725830078125	-1.7751355696002982	5.104742313365276	USP7;POLR2A;POLR2E;MAP2K7;CD44
Prion diseases_Homo sapiens_hsa05020	2/35	0.049436561149801223902233715534748625941574573516845703125	0.80113145357182979910959375047241337597370147705078125	0.047550064062798221009575883044817601330578327178955078125	0.75803835548988296455519275696133263409137725830078125	-1.5639855225926522	4.703006163473902	STIP1;SOD1
Type II diabetes mellitus_Homo sapiens_hsa04930	2/48	0.086087032382703265742662779302918352186679840087890625	0.80113145357182979910959375047241337597370147705078125	0.08093043445732650553736675647087395191192626953125	0.75803835548988296455519275696133263409137725830078125	-1.5674689079925228	3.8440552481604735	PRKCZ;HK1
Carbohydrate digestion and absorption_Homo sapiens_hsa04973	2/45	0.07704454693195532388738655527049559168517589569091796875	0.80113145357182979910959375047241337597370147705078125	0.0727025833124501641435699639259837567806243896484375	0.75803835548988296455519275696133263409137725830078125	-1.4788888902960164	3.79094162244706	SLC5A1;HK1
Glutathione metabolism_Homo sapiens_hsa00480	2/52	0.09860608704796135215442376420469372533261775970458984375	0.80113145357182979910959375047241337597370147705078125	0.09232331953701895799202503667402197606861591339111328125	0.75803835548988296455519275696133263409137725830078125	-1.4300297310867276	3.3128387425512416	GSTM4;RRM2B
