Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Hippo signaling pathway_Homo sapiens_hsa04390	74/153	0.0000590545863984482324198811709070611186689347960054874420166015625	0.0171258300555499863582209485457497066818177700042724609375	0.0002137731816070391412283602239341462336597032845020294189453125	0.044196155686307581067495675597456283867359161376953125	-1.7364751359723776	16.908142355090806	YWHAE;GSK3B;BMPR2;YWHAB;PPP2R2A;FZD10;FGF1;LIMD1;ACTB;AMOT;ACTG1;BBC3;SOX2;CCND3;RASSF1;CCND1;YWHAQ;PPP2R1B;CDH1;BTRC;AMH;YWHAG;TEAD3;YWHAH;APC2;PRKCI;FBXW11;AXIN1;CSNK1D;AXIN2;WNT9A;YWHAZ;TGFBR2;LATS1;LATS2;FRMD6;PARD3;AJUBA;LLGL1;LLGL2;YAP1;LEF1;PPP2CA;WNT6;PARD6A;WNT11;DVL1;DVL2;CTNNA1;DVL3;CTNNA3;SMAD2;WWTR1;SMAD1;TGFB2;FZD3;SMAD3;FZD5;TGFB3;FZD7;FZD6;BMP8A;WNT7A;MPP5;WTIP;GDF5;PPP1CA;SMAD7;BMP4;DLG3;ID2;PPP2R2D;NF2;BMPR1A
Endocytosis_Homo sapiens_hsa04144	111/259	0.00058519523548319148271990020049315717187710106372833251953125	0.0587916870857677353878756321137188933789730072021484375	0.0003048010736986729758701830661493659135885536670684814453125	0.044196155686307581067495675597456283867359161376953125	-1.9369635106376475	14.417913853216598	VPS29;TFRC;ARPC5L;CBLB;ZFYVE27;KIF5B;KIF5A;VPS35;VPS36;SH3GL1;SH3GLB1;SH3GLB2;PDGFRA;PRKCI;IST1;F2R;RUFY1;ACAP3;ACAP2;ZFYVE16;RAB31;PARD3;CHMP4C;CHMP4B;RAB5B;NEDD4L;VPS26A;ADRB1;VPS26B;AGAP3;PLD2;SNX3;SNX4;RAB11FIP1;SNX2;GRK4;GRK6;PIP5K1B;PIP5K1C;RAB11FIP2;RAB11FIP3;RAB11FIP5;SMAD2;HSPA8;TGFB2;SMAD3;IQSEC2;SMURF2;IQSEC1;TGFB3;STAM;ARPC5;IGF2R;EHD1;EHD3;CHMP2A;MDM2;FGFR3;FGFR2;ARF1;ARPC1B;CLTC;CLTA;AP2A1;ARRB1;AP2A2;RAB22A;EEA1;CAPZB;PIP5KL1;LDLRAP1;HRAS;RAB8A;GIT1;VPS37C;VPS37A;ARAP1;ARFGAP3;RHOA;DNM1;ARFGAP2;TGFBR2;DNM2;EPN3;DNM3;RABEP1;DNAJC6;CHMP7;ARF5;ARF6;SRC;VPS4A;SNX32;ASAP2;CYTH3;PARD6A;ERBB3;MVB12B;AP2S1;EPS15;CYTH1;GIT2;ARFGEF2;HSPA1L;EGF;WWP1;RAB11A;RAB11B;ITCH;CAPZA1;SMAP1
Chronic myeloid leukemia_Homo sapiens_hsa05220	38/73	0.00060818986640449380388917521855773884453810751438140869140625	0.0587916870857677353878756321137188933789730072021484375	0.00269368724243157671438542166697516222484409809112548828125	0.130194883384192883202246093787834979593753814697265625	-1.872174720532134	13.863497697697428	RB1;CTBP2;SHC1;HDAC1;CTBP1;PIK3R3;PIK3CD;PIK3R2;CBLB;PIK3CB;RELA;MECOM;CCND1;AKT2;E2F1;ABL1;AKT1;E2F3;IKBKG;HRAS;STAT5A;STAT5B;TGFB2;SMAD3;MAP2K2;TGFB3;BAD;PTPN11;BRAF;NFKB1;TGFBR2;NFKBIA;BCR;MDM2;SOS1;SOS2;CRK;BCL2L1
Spliceosome_Homo sapiens_hsa03040	61/134	0.00174603159421283203600605560268377303145825862884521484375	0.10608894366007541598673213911752100102603435516357421875	0.00228687742077355628256274400200709351338446140289306640625	0.130194883384192883202246093787834979593753814697265625	-1.722670084734299	10.939660861702551	TCERG1;RBM25;DDX42;HNRNPU;USP39;SNRPD1;SNRNP70;DHX15;SNRPD3;TXNL4A;CTNNBL1;BCAS2;NCBP2;BUD31;PRPF40A;WBP11;CRNKL1;PRPF4;RBMXL1;PRPF6;DDX39B;SYF2;SRSF4;RP9;SNRPF;SRSF5;SRSF6;SNRPC;SRSF7;SNRPA;SNRPB;RBM22;DDX5;SF3B3;SF3B6;U2AF1;U2AF2;PCBP1;TRA2B;TRA2A;SF3B1;SRSF10;SMNDC1;SF3A3;HSPA8;HNRNPA3;SF3A2;HSPA1L;ALYREF;CWC15;LSM3;U2SURP;CHERP;LSM2;HNRNPM;PHF5A;HNRNPK;LSM6;SNW1;ACIN1;HNRNPC
RNA degradation_Homo sapiens_hsa03018	38/77	0.0021949436619325946550007611079990965663455426692962646484375	0.10608894366007541598673213911752100102603435516357421875	0.005329777792182697863931917225954748573713004589080810546875	0.1409866600402013003812129454672685824334621429443359375	-1.7104428119118393	10.47064483476627	BTG3;DDX6;DIS3L;ENO1;TOB1;HSPD1;EXOSC7;EXOSC5;EXOSC10;EXOSC9;EXOSC8;PABPC4L;NUDT16;EXOSC3;EXOSC1;HSPA9;CNOT6L;PABPC4;LSM3;LSM2;CNOT7;LSM6;PAN3;XRN1;PAPD7;CNOT1;CNOT2;PAPD5;XRN2;CNOT3;SKIV2L;PABPC1;CNOT8;DCP1A;DCP2;SKIV2L2;DCP1B;MPHOSPH6
Vibrio cholerae infection_Homo sapiens_hsa05110	27/51	0.0026265394964012397753527761068426116253249347209930419921875	0.1062774362606318800938964841407141648232936859130859375	0.00885657633303365936228157551113326917402446269989013671875	0.1426892853655422899183946583434590138494968414306640625	-1.7024739991535307	10.116250456928096	ARF1;KDELR1;ADCY3;ACTB;ACTG1;SEC61A2;SEC61A1;ATP6V0A2;ATP6V1H;ATP6V0A4;PLCG1;ATP6V0E2;PRKACA;PRKACB;ATP6V1C1;ATP6V1F;ATP6V1C2;ATP6V1G1;ATP6V0B;ATP6V1G2;TJP1;ADCY9;GNAS;KDELR2;KDELR3;ATP6V0C;TJP2
Notch signaling pathway_Homo sapiens_hsa04330	26/48	0.00204738314931426045040208094860645360313355922698974609375	0.10608894366007541598673213911752100102603435516357421875	0.00815129262929059801578990374082422931678593158721923828125	0.1426892853655422899183946583434590138494968414306640625	-1.5898233087779519	9.842902644513954	NOTCH2;RBPJL;NOTCH1;CTBP2;HDAC1;CTBP1;MAML1;NOTCH4;DTX1;DTX2;PSEN1;DTX3;RFNG;DTX4;DLL1;DVL1;DVL2;EP300;DVL3;CIR1;HES1;HES5;JAG1;NCOR2;ADAM17;SNW1
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	38/78	0.00293179134512087935515722847412689588963985443115234375	0.1062774362606318800938964841407141648232936859130859375	0.00625514737983985658065222423829254694283008575439453125	0.1409866600402013003812129454672685824334621429443359375	-1.573534947284785	9.177078722960212	ITGB1;ARHGEF26;SHC1;SRC;ARPC1B;CLTC;PXN;ARPC5L;PIK3R3;CLTA;PIK3CD;PIK3R2;CBLB;PIK3CB;ACTB;ACTG1;SEPT8;SEPT9;CDH1;CTNNA1;CTNNA3;SEPT11;GAB1;RHOG;SEPT1;ARPC5;RHOA;SEPT2;DNM1;PTK2;DNM2;DNM3;CTTN;ELMO1;ELMO2;ITGA5;CRK;BCAR1
MAPK signaling pathway_Homo sapiens_hsa04010	103/255	0.00808733307199861750635960788713418878614902496337890625	0.174436400480587117112207806712831370532512664794921875	0.0023269535759288411704004406743706567795015871524810791015625	0.130194883384192883202246093787834979593753814697265625	-1.7177308251323642	8.275093115868573	FGF1;ELK4;FGF8;FGF9;AKT2;RPS6KA2;RPS6KA1;AKT1;MAP3K8;PRKACA;MAP3K6;PRKACB;MAP3K7;MAP3K4;MAP3K5;MAP2K3;PDGFRA;MAP2K4;DAXX;MAP2K2;MAPK8IP3;MAPK8IP1;CACNB1;DDIT3;MAPKAPK2;MAPKAPK5;PDGFB;PDGFA;NLK;CACNA1F;RASGRP2;CACNA1G;RAP1A;RRAS;CD14;MAP2K5;HSPA8;JUN;TGFB2;JUND;GADD45B;TGFB3;NFATC3;BRAF;NFATC1;NFKB1;GADD45G;NFKB2;NR4A1;PPP5C;FGF18;NF1;FGF13;MAP3K14;FGFR3;FGF11;FGFR2;MAP3K12;RASGRF2;ARRB1;PPP3CB;DUSP10;MECOM;CASP3;IKBKG;HRAS;DUSP4;MAP4K2;DUSP1;RRAS2;FOS;DUSP6;DUSP7;TGFBR2;PPM1A;PPM1B;IL1B;RASA1;RASA2;MAPT;SOS1;SOS2;CRK;SRF;RELA;RELB;MAPK9;MKNK2;GNA12;FLNA;FLNB;FLNC;CACNG2;MAP4K3;MAP4K4;MAP3K2;MAP3K3;NTRK2;HSPA1L;EGF;MAPK14;MAPK13;TAOK1
Neurotrophin signaling pathway_Homo sapiens_hsa04722	53/120	0.0071348684039105152165927137275502900592982769012451171875	0.174436400480587117112207806712831370532512664794921875	0.00680625255366489045893985121438163332641124725341796875	0.1409866600402013003812129454672685824334621429443359375	-1.6460614865017587	8.136089295964794	YWHAE;GSK3B;IRS1;PIK3CD;PIK3CB;AKT2;RPS6KA2;RPS6KA1;AKT1;HRAS;MAP3K5;MAP2K2;RIPK2;GAB1;FRS2;RHOA;MAPKAPK2;RAPGEF1;SOS1;SOS2;CRK;CAMK2D;MAGED1;SHC1;PIK3R3;PIK3R2;PSEN1;FOXO3;RELA;MAPK9;RAP1A;IRAK1;IRAK2;ABL1;PLCG1;SH2B3;SH2B2;MAP2K5;MAP3K3;NTRK2;JUN;BAD;SORT1;KIDINS220;PTPN11;BRAF;MAPK14;NFKB1;MAPK13;NFKBIA;BCL2;CALM1;NFKBIB
