Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Notch signaling pathway_Homo sapiens_hsa04330	12/48	0.0000004340986045831249244946197125838427410826625418849289417266845703125	0.0001015790734724512380492134067111464901245199143886566162109375	0.00000120323638485650534840566867889055657769858953543007373809814453125	0.000281557314056422240515498156554485831293277442455291748046875	-1.7708801411372317	25.94338367109163	PSENEN;NCOR2;NOTCH3;KAT2A;NCSTN;APH1B;DTX3L;HES1;MAML3;PSEN1;RBPJ;HES5
Alzheimer's disease_Homo sapiens_hsa05010	15/168	0.0044774609629529872611986007768791751004755496978759765625	0.5238629326654995477241527623846195638179779052734375	0.0025973753241477835589090528145561620476655662059783935546875	0.303892912925290692438551332088536582887172698974609375	-1.8168478756448854	9.82678354716101	PSENEN;GSK3B;NDUFB10;UQCRB;NDUFB5;ATP5A1;NDUFB3;PSEN1;NCSTN;APH1B;PLCB4;NDUFS4;CALM1;ATF6;PLCB2
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	11/118	0.0101766885017503215526968318727085716091096401214599609375	0.67428548257482134875573365206946618854999542236328125	0.007030092921209977162300130970606915070675313472747802734375	0.442790784659011560364660908817313611507415771484375	-1.8079542083080786	8.294271275955328	RCAN1;NOTCH3;GSK3B;KAT2A;PLCB4;HDAC3;STAT1;ITGB3;ATP1A1;RXRG;PLCB2
RNA transport_Homo sapiens_hsa03013	14/172	0.01286046804267772236674005625900463201105594635009765625	0.67428548257482134875573365206946618854999542236328125	0.007569073242034385536058938015457897563464939594268798828125	0.442790784659011560364660908817313611507415771484375	-1.7943923825409651	7.812061590610686	EIF4A1;SEC13;UBE2I;EIF2B2;NUP155;NCBP1;UPF3B;EIF5;DDX39B;GEMIN4;EIF3H;RPP14;EIF3A;EIF4G1
Cell cycle_Homo sapiens_hsa04110	11/124	0.0144078094567269519854502135558504960499703884124755859375	0.67428548257482134875573365206946618854999542236328125	0.00977769265174138930973857242179292370565235614776611328125	0.45759601610149702732854848363786004483699798583984375	-1.6320790616596164	6.919990570548158	GSK3B;CCND3;CDKN2B;STAG2;CHEK2;CHEK1;PLK1;ANAPC4;E2F3;ANAPC5;RBX1
Neurotrophin signaling pathway_Homo sapiens_hsa04722	10/120	0.0281165295782937578461524452677622321061789989471435546875	0.91115682258791907965900236376910470426082611083984375	0.0194909788655308023608281331462421803735196590423583984375	0.675064800383759600066468919976614415645599365234375	-1.7522532251326925	6.257993023052712	RAP1B;GSK3B;RPS6KA5;SHC1;IRAK2;PRKCD;PSEN1;CALM1;SH2B2;RHOA
Wnt signaling pathway_Homo sapiens_hsa04310	11/142	0.03504449317645842720825299920761608518660068511962890625	0.91115682258791907965900236376910470426082611083984375	0.0230791384746584470055719151559969759546220302581787109375	0.675064800383759600066468919976614415645599365234375	-1.6763535382747285	5.617690017192435	GSK3B;CCND3;TCF7L1;PLCB4;CSNK2A1;AXIN1;PSEN1;PLCB2;RHOA;RBX1;LRP6
Lysosome_Homo sapiens_hsa04142	10/123	0.03258587898339930510882567205044324509799480438232421875	0.91115682258791907965900236376910470426082611083984375	0.02247575219295229465021890291609452106058597564697265625	0.675064800383759600066468919976614415645599365234375	-1.6238835351645482	5.559976259833915	GNPTG;CTSO;GM2A;IDUA;CTSL;AP1G1;ATP6V1H;TCIRG1;LIPA;LGMN
Chemokine signaling pathway_Homo sapiens_hsa04062	13/187	0.04911940822160380804017876243960927240550518035888671875	0.999999646540889131074436591006815433502197265625	0.029793194181963141009550355420287814922630786895751953125	0.740698715136359542299260283471085131168365478515625	-1.6947217108163406	5.1070456428374635	GSK3B;SHC1;STAT1;PRKCD;ARRB1;RHOA;VAV2;RAP1B;CXCL12;PLCB4;CXCR1;PLCB2;BCAR1
Circadian rhythm_Homo sapiens_hsa04710	4/30	0.03450872771841424768712869308728841133415699005126953125	0.91115682258791907965900236376910470426082611083984375	0.033457863014821391522968241361013497225940227508544921875	0.740698715136359542299260283471085131168365478515625	-1.421977979897071	4.787150028017455	PRKAB2;PRKAG2;FBXL3;RBX1
