Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MAPK signaling pathway_Homo sapiens_hsa04010	81/255	0.0000069599912093332465249013486785489845942720421589910984039306640625	0.00121595923088429406881683103591740291449241340160369873046875	0.00000390013580580377360973280687073128092379192821681499481201171875	0.0011115387046540755634771446835884489701129496097564697265625	-1.9977880652814541	23.724397233379335	ARRB2;TNF;FGF2;ELK4;FGF5;PPP3CA;RPS6KA3;PPP3CB;RPS6KA6;DUSP10;FGF9;MYC;AKT2;CASP3;AKT1;PRKACA;HRAS;DUSP4;MAP2K3;DUSP5;MAP4K2;PDGFRA;DAXX;MAP2K1;IL1R1;FOS;MAPK8IP3;TGFBR1;PPM1B;MRAS;CACNB4;MAPKAPK3;MAPKAPK5;SOS1;MAX;PDGFA;CACNA1A;NLK;CACNA1E;CACNA1H;CACNA1G;RAP1B;CDC42;PPP3R1;PAK1;MAPK8;RRAS;MKNK1;MKNK2;FLNA;MAPK1;FLNB;MAP2K7;MAP4K4;FGF21;MAP3K2;MAP3K3;HSPA8;TGFB2;JUND;MAP3K1;NFATC3;NFATC1;HSPA2;MAPK14;NFKB1;GADD45G;FGF16;NR4A1;TAOK3;TAOK1;FGF18;TAB2;KRAS;TAB1;LAMTOR3;FGF12;FGFR3;FGFR2;FGFR1;MAP3K12
TGF-beta signaling pathway_Homo sapiens_hsa04350	34/84	0.00001533011888065213560654147240125411144617828540503978729248046875	0.00145636129366195281147067230875791210564784705638885498046875	0.000072271044632639801111144428613641821357305161654949188232421875	0.0034328746200503906273182597175264163524843752384185791015625	-1.8139119572926843	20.108467659896746	BMPR2;CUL1;ACVR1B;TNF;THBS1;PPP2CA;PPP2R1A;MYC;MAPK1;E2F4;E2F5;ACVR1;TGIF1;TGFB2;CREBBP;TGIF2;SMURF1;FST;SMAD9;INHBB;SMAD6;BMP7;RHOA;TGFBR1;ACVR2A;RBX1;SMAD7;BMP2;RBL1;BAMBI;ID4;ID3;BMPR1B;NBL1
Hippo signaling pathway_Homo sapiens_hsa04390	54/153	0.000008533047234275748511140267937857828428604989312589168548583984375	0.00121595923088429406881683103591740291449241340160369873046875	0.0000159174346682815218080760122365546749279019422829151153564453125	0.00151215629348674441591315886768143172957934439182281494140625	-1.7124204524647397	19.98662494513791	WNT2B;BMPR2;YWHAB;FZD10;ACTB;BBC3;GLI2;PPP1CC;CCND3;CCND2;YWHAQ;PPP2R1A;MYC;BTRC;TEAD1;YWHAH;TEAD4;WNT9B;AXIN2;WNT9A;TGFBR1;LATS1;FRMD6;BIRC5;AJUBA;BIRC2;LLGL1;YAP1;TCF7;PARD6G;SAV1;PPP2CA;PARD6B;DVL1;DVL2;TCF7L2;TGFB2;FZD3;TCF7L1;FZD5;FZD4;FZD6;WTIP;BMP7;SMAD7;MOB1B;MOB1A;DLG1;BMP2;APC;DLG4;PPP2R2D;CTNNB1;BMPR1B
HTLV-I infection_Homo sapiens_hsa05166	79/258	0.000038384739171195541977167631220169141670339740812778472900390625	0.002734912665947682348932534779351044562645256519317626953125	0.00001545932181213587793271353743040918971018982119858264923095703125	0.00151215629348674441591315886768143172957934439182281494140625	-1.8680592277152335	18.994147129606002	ATF1;WNT2B;TRRAP;CRTC1;SLC2A1;FZD10;TNF;ETS1;ELK4;PPP3CA;PPP3CB;CCND3;ZFP36;CCND2;PTTG1;MYC;AKT2;MYB;AKT1;TSPO;PRKACA;HRAS;JAK3;JAK1;PDGFRA;TBP;IL1R1;WNT9B;WNT9A;FOS;TGFBR1;KAT2B;MRAS;CREB1;LCK;LTA;TBPL1;SLC25A5;ATF3;VAC14;PCNA;CREM;PDGFA;PIK3R1;ADCY7;ADCY6;ANAPC10;ADCY5;ANAPC11;POLD3;PPP3R1;MAPK8;RRAS;POLD1;DVL1;DVL2;MSX1;EGR1;MAP3K3;CREBBP;FZD3;TGFB2;CDKN2C;MAP3K1;FZD5;FZD4;FZD6;NFATC3;NFATC2;NFATC1;NFKB1;DLG1;APC;CDK4;CDC16;CTNNB1;KRAS;CALR;RAN
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	66/214	0.00012626265064180438213621571197364801264484412968158721923828125	0.005997475905485708490283425220468416227959096431732177734375	0.000064722954027714204162761990613006446437793783843517303466796875	0.0034328746200503906273182597175264163524843752384185791015625	-1.7972517514439976	16.13419189577246	ITGB1;CYFIP1;CHRM1;CHRM4;ARPC1A;WASL;FGF2;ACTB;FGF5;PPP1CC;FGF9;CFL1;PIP4K2B;ITGAV;HRAS;GIT1;PDGFRA;MAP2K1;PPP1R12A;ACTN1;F2R;ACTN4;RHOA;VAV1;VAV2;ENAH;TIAM1;MRAS;PFN4;ARHGEF1;ARHGEF7;PPP1R12B;SOS1;PFN2;ARHGEF6;ROCK2;PXN;PDGFA;PIK3R1;IQGAP1;FGD1;CDC42;GNA13;PAK1;RRAS;MYH14;PAK6;MAPK1;PIP5K1C;WASF1;WASF2;FGF21;GSN;BAIAP2;PTK2;FGF16;DIAPH2;APC;ABI2;FGF18;KRAS;FGF12;FGFR3;FGFR2;BCAR1;FGFR1
Pathways in cancer_Homo sapiens_hsa05200	109/397	0.00024167974539745322166799101903933433277416042983531951904296875	0.00860984092978427095754767606194945983588695526123046875	0.0000233070648802232021647683202214551556608057580888271331787109375	0.001660628372715903210143917334562502219341695308685302734375	-1.92292532575256	16.013924194539936	CBLB;FZD10;FGF2;ETS1;IGF1R;FGF5;FGF9;MYC;AKT2;AKT1;PRKACA;PDGFRA;MAP2K1;F2R;RBX1;RUNX1;BCR;MSH6;CCNE2;CTBP1;MAX;EPAS1;TCF7;PDGFA;TGFA;PIK3R1;CSF2RA;HSP90B1;TPR;DVL1;ABL1;DVL2;RALGDS;FGF21;CREBBP;FZD3;TGFB2;FZD5;FZD4;PTCH1;FZD6;NFKB1;PTK2;FGF16;BMP2;CXCL12;CDK4;GNAQ;GNB2;FGF18;MDM2;GNAS;CYCS;GNB5;FGF12;FGFR3;FGFR2;FGFR1;ITGB1;HSP90AB1;WNT2B;SLC2A1;GLI3;GLI2;CASP9;SUFU;CASP3;ITGAV;HRAS;JAK1;HSP90AA1;NCOA4;WNT9B;WNT9A;FOS;AXIN2;RHOA;TGFBR1;TRAF3;RARA;RARB;BIRC5;ARHGEF1;SOS1;BIRC2;CEBPA;LAMA5;ROCK2;PTGER1;PTGER3;ADCY7;ADCY6;GNAI1;ADCY5;CDC42;GNA13;MAPK8;RXRA;GNG5;MAPK1;TCF7L2;TCF7L1;EGLN2;LAMB3;VEGFC;APC;CCDC6;CTNNB1;KRAS
Wnt signaling pathway_Homo sapiens_hsa04310	47/142	0.0001889645876151701338503674509894381117192097008228302001953125	0.007693558210046212708643764699445455335080623626708984375	0.00019373017797458846650689168189529709707130677998065948486328125	0.00690163759034471448183811759236050420440733432769775390625	-1.727142358564864	14.80843382727223	WNT2B;ROCK2;CTBP1;TCF7;CAMK2A;LRP5;CUL1;FZD10;PRICKLE1;NLK;CXXC4;PPP3CA;FRAT1;CCND3;PPP3R1;PPP3CB;MAPK8;FRAT2;CCND2;WIF1;MYC;DVL1;DVL2;BTRC;PRKACA;TCF7L2;CREBBP;FZD3;TCF7L1;FZD5;FZD4;CSNK1A1;FZD6;CSNK2A2;NFATC3;WNT9B;NFATC2;NFATC1;AXIN2;WNT9A;RHOA;RBX1;VANGL1;APC;BAMBI;CSNK2B;CTNNB1
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	47/137	0.0000713297705598320004420631601504965146887116134166717529296875	0.004065796921910423862567274255752636236138641834259033203125	0.000097384890892620974635514319306395236708340235054492950439453125	0.00396495627205671087589511358828531228937208652496337890625	-1.5498977888230696	14.798729073904909	CUL3;UBE2D3;CUL1;UBE2D1;NEDD4L;UBE3A;CBLB;UBE3B;KLHL13;UBE2J2;ANAPC10;RHOBTB1;ANAPC11;RHOBTB2;UBR5;BTRC;PIAS4;UBE2H;MAP3K1;FBXW7;SMURF1;FBXO2;UBE2E3;HUWE1;UBE2E1;UBE2E2;UBE2G1;UBE2A;RBX1;PIAS1;DDB2;CUL4A;KLHL9;ITCH;UBE2S;RFWD2;NEDD4;CDC16;UBE2N;MDM2;UBE2O;NHLRC1;BIRC6;SAE1;TRIM32;BIRC2;UBE2M
Proteoglycans in cancer_Homo sapiens_hsa05205	61/203	0.0004785156854203480238270362878694186292705126106739044189453125	0.01239790639498174369681482431815311429090797901153564453125	0.00021876815309501964289772002469902645316324196755886077880859375	0.0069276581813422881406250297686710837297141551971435546875	-1.7545053754452953	13.412880533991352	ITGB1;WNT2B;CBLB;FZD10;TNF;FGF2;ACTB;IGF1R;PPP1CC;CTSL;MYC;AKT2;CASP3;AKT1;ITGAV;PRKACA;HRAS;MAP2K1;PPP1R12A;WNT9B;WNT9A;HSPG2;RHOA;VAV2;TIAM1;MRAS;ARHGEF1;PPP1R12B;SOS1;DDX5;ROCK2;PXN;CAMK2A;TWIST1;PIK3R1;IQGAP1;THBS1;CDC42;PAK1;RRAS;GPC1;FLNA;MAPK1;FLNB;EIF4B;FZD3;TGFB2;FZD5;FZD4;CAV2;PTCH1;FZD6;IGF2;MAPK14;PTK2;PDCD4;MDM2;SDC1;CTNNB1;KRAS;FGFR1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	46/142	0.0003799195200646504079998455605249318978167138993740081787109375	0.01203078480204726290192507320853110286407172679901123046875	0.000334927983800632593502921707795394468121230602264404296875	0.00954544753831802934851413766637051594443619251251220703125	-1.6292488422964329	12.831232539782649	WNT2B;BMPR2;FZD10;PIK3R1;BMI1;ACVR1B;FGF2;IGF1R;MYC;AKT2;DVL1;DVL2;AKT1;MAPK1;SKIL;HRAS;JAK3;JAK1;ACVR1;FZD3;MAP2K1;ZFHX3;FZD5;FZD4;FZD6;LIF;WNT9B;SMAD9;LIFR;INHBB;AXIN2;WNT9A;MAPK14;ACVR2A;BMP2;REST;APC;KAT6A;ID4;ID3;CTNNB1;KRAS;BMPR1B;FGFR3;FGFR2;FGFR1
