Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Sulfur relay system_Homo sapiens_hsa04122	4/10	0.00003475309410392026453727465362675275173387490212917327880859375	0.006568334785640930241490398344694767729379236698150634765625	0.000108351204297822941769770255238114486928679980337619781494140625	0.0204783776122885348425217699741551768966019153594970703125	-1.3865886891278758	14.23644155773408	MPST;MOCS2;MOCS3;TST
Endometrial cancer_Homo sapiens_hsa05213	4/52	0.0226208031284915733749585342593491077423095703125	0.7004460501979508091352499832282774150371551513671875	0.02149282816952811925315103280809125863015651702880859375	0.70437076874342030574638329198933206498622894287109375	-1.8765980617364586	7.110214817039097	CDH1;AKT2;MLH1;ELK1
Lysine degradation_Homo sapiens_hsa00310	4/52	0.0226208031284915733749585342593491077423095703125	0.7004460501979508091352499832282774150371551513671875	0.02149282816952811925315103280809125863015651702880859375	0.70437076874342030574638329198933206498622894287109375	-1.7687537058859715	6.701604922071692	NSD1;SETD7;PLOD1;AASS
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	8/169	0.025036849683600488625234703476962749846279621124267578125	0.7004460501979508091352499832282774150371551513671875	0.0193803230153128357160507988510289578698575496673583984375	0.70437076874342030574638329198933206498622894287109375	-1.6949340961098955	6.249911091242742	SEC24A;OS9;DAD1;DERL2;ATF6;UBXN6;TXNDC5;HERPUD1
ErbB signaling pathway_Homo sapiens_hsa04012	5/87	0.034778189616407939599440624078852124512195587158203125	0.8216347296876376216090420712134800851345062255859375	0.0305347777900582643961779893970742705278098583221435546875	0.7107674579289995353548192724701948463916778564453125	-1.6919620754948708	5.682902702448531	ERBB4;AKT2;PAK6;AREG;ELK1
Pentose phosphate pathway_Homo sapiens_hsa00030	3/29	0.021736773404616306637482381347581394948065280914306640625	0.7004460501979508091352499832282774150371551513671875	0.0223609767855054049345842059892675024457275867462158203125	0.70437076874342030574638329198933206498622894287109375	-1.435650456325837	5.496746434502613	ALDOC;PGD;TKT
Sulfur metabolism_Homo sapiens_hsa00920	2/10	0.0173119846488564328723658292119580437429249286651611328125	0.7004460501979508091352499832282774150371551513671875	0.020944542077315393691083755811632727272808551788330078125	0.70437076874342030574638329198933206498622894287109375	-1.3265855983995996	5.38110380054376	MPST;TST
Central carbon metabolism in cancer_Homo sapiens_hsa05230	4/67	0.050447269982428884216307807264456641860306262969970703125	0.98290696388108766967661722446791827678680419921875	0.045824387220157490607785888414582586847245693206787109375	0.8660809184609765676299275583005510270595550537109375	-1.614242406822863	4.82146223538065	GLS2;AKT2;NTRK3;SLC16A3
Other types of O-glycan biosynthesis_Homo sapiens_hsa00514	3/31	0.025942446303627804404801082682752166874706745147705078125	0.7004460501979508091352499832282774150371551513671875	0.0262485728178716813674409280565669178031384944915771484375	0.70871146608253543508482152901706285774707794189453125	-1.2241001772654105	4.470260587961817	B3GAT2;POMGNT1;OGT
Metabolic pathways_Homo sapiens_hsa01100	33/1239	0.0846862098978842237073649812373332679271697998046875	0.98290696388108766967661722446791827678680419921875	0.033846069425190451751550568815218866802752017974853515625	0.7107674579289995353548192724701948463916778564453125	-1.7384261976974076	4.291830945900126	MOCS2;NDUFA13;HIBADH;GLS2;PON2;NDUFA4L2;COMT;NDST1;ACADL;MAT2A;POLR2B;PPAT;GCNT2;AASS;MPST;CHKA;SPHK2;NDUFA4;MCCC1;PGD;SDHB;PAICS;PRDX6;CYP27A1;DPM1;BTD;TST;DAD1;IMPDH2;POLR1B;ALDOC;TKT;PLCD1
RNA degradation_Homo sapiens_hsa03018	4/77	0.07609810026016057549202997734028031118214130401611328125	0.98290696388108766967661722446791827678680419921875	0.06804008585277820930770076301996596157550811767578125	0.958372147097299897922084710444323718547821044921875	-1.549493346083681	3.991079561447552	PAN2;CNOT3;TOB1;DCP2
Cysteine and methionine metabolism_Homo sapiens_hsa00270	3/45	0.066390359427280720705510930201853625476360321044921875	0.98290696388108766967661722446791827678680419921875	0.0627263438190304445374323449868825264275074005126953125	0.958372147097299897922084710444323718547821044921875	-1.435965110839756	3.8946294880506773	MPST;TST;MAT2A
Glutathione metabolism_Homo sapiens_hsa00480	3/52	0.09322093277453001591847936424528597854077816009521484375	0.98290696388108766967661722446791827678680419921875	0.086600901912221639467048817095928825438022613525390625	0.958372147097299897922084710444323718547821044921875	-1.3372789536433531	3.1730727432906716	GGCT;GSTM1;PGD
