Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Chronic myeloid leukemia_Homo sapiens_hsa05220	4/73	0.0240747384752401615004568924405248253606259822845458984375	0.9034016959523929468645064844167791306972503662109375	0.0155947495191110126200317864686439861543476581573486328125	0.7558287042257798571398552667233161628246307373046875	-1.9376702113005864	7.220906665135879	TGFB3;CDK4;IKBKG;CBL
TNF signaling pathway_Homo sapiens_hsa04668	5/110	0.0251194779998940957710384935808178852312266826629638671875	0.9034016959523929468645064844167791306972503662109375	0.01442821481751495327205958574268152005970478057861328125	0.7558287042257798571398552667233161628246307373046875	-1.8877233289727289	6.954583636340539	CASP8;CREB3L4;CXCL1;CFLAR;IKBKG
Legionellosis_Homo sapiens_hsa05134	3/55	0.049513649701976199246633569828190957196056842803955078125	0.9034016959523929468645064844167791306972503662109375	0.035836983460409588264639069166150875389575958251953125	0.7558287042257798571398552667233161628246307373046875	-1.835840523062434	5.517631351772351	HBS1L;CASP8;CXCL1
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	3/57	0.054048107316134595679013585822758614085614681243896484375	0.9034016959523929468645064844167791306972503662109375	0.039046338441265544816349830625767935998737812042236328125	0.7558287042257798571398552667233161628246307373046875	-1.689552972755327	4.929914100018254	CASP8;CXCL1;IKBKG
Hepatitis B_Homo sapiens_hsa05161	5/146	0.06923930195186185632127973121896502561867237091064453125	0.9034016959523929468645064844167791306972503662109375	0.040648279862594970113232051289742230437695980072021484375	0.7558287042257798571398552667233161628246307373046875	-1.8344093172621592	4.89821523344803	CASP8;TGFB3;CREB3L4;CDK4;IKBKG
T cell receptor signaling pathway_Homo sapiens_hsa04660	4/104	0.071445948217261190382743052396108396351337432861328125	0.9034016959523929468645064844167791306972503662109375	0.04622362078784884864557369610338355414569377899169921875	0.7558287042257798571398552667233161628246307373046875	-1.7426846898553081	4.598620903840496	CDK4;IKBKG;CBL;VAV2
Pancreatic cancer_Homo sapiens_hsa05212	3/66	0.0767664894564742128491019457214861176908016204833984375	0.9034016959523929468645064844167791306972503662109375	0.055218773501670780079475520096821128390729427337646484375	0.7558287042257798571398552667233161628246307373046875	-1.7521767766435328	4.497815128688603	TGFB3;CDK4;IKBKG
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	4/104	0.071445948217261190382743052396108396351337432861328125	0.9034016959523929468645064844167791306972503662109375	0.04622362078784884864557369610338355414569377899169921875	0.7558287042257798571398552667233161628246307373046875	-1.6701494143845868	4.407213797329918	CASP8;TGFB3;CFLAR;IKBKG
Viral carcinogenesis_Homo sapiens_hsa05203	6/205	0.08907273589528648394253451670010690577328205108642578125	0.9034016959523929468645064844167791306972503662109375	0.048607039678695236617489427999316831119358539581298828125	0.7558287042257798571398552667233161628246307373046875	-1.7533994554409686	4.240249384945233	CASP8;HIST1H2BJ;CREB3L4;CDK4;HIST1H4I;IKBKG
Endocytosis_Homo sapiens_hsa04144	7/259	0.0961109706190916568413484810662339441478252410888671875	0.9034016959523929468645064844167791306972503662109375	0.04874122318406710896443456704218988306820392608642578125	0.7558287042257798571398552667233161628246307373046875	-1.7161130819031105	4.019568974233015	RAB31;PDCD6IP;TGFB3;GRK4;PSD3;ARAP1;CBL
