Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.0214099314708396971929094121378511772491037845611572265625	0.373270045665856586847297649001120589673519134521484375	0.01008500093581454933044927457785888691432774066925048828125	0.2218700205879200748615431848520529456436634063720703125	-1.6450257774768577	6.323315206525923	ANAPC13;RCHY1
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	1/25	0.040467296211043467246692983962930156849324703216552734375	0.373270045665856586847297649001120589673519134521484375	0.0292710132896229213717020911644794978201389312744140625	0.2720589171336522671396096484386362135410308837890625	-1.4971296901073494	4.801685864698484	PIGM
p53 signaling pathway_Homo sapiens_hsa04115	1/69	0.10786546942087794909159725875724689103662967681884765625	0.373270045665856586847297649001120589673519134521484375	0.07710116502971441077018965870593092404305934906005859375	0.2720589171336522671396096484386362135410308837890625	-1.7027440350010785	3.7917904296722154	RCHY1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	1/98	0.149752335759127053194106338196434080600738525390625	0.373270045665856586847297649001120589673519134521484375	0.10748623373371103684181804283070960082113742828369140625	0.2720589171336522671396096484386362135410308837890625	-1.8004260186104812	3.41859931229048	ANAPC13
Hematopoietic cell lineage_Homo sapiens_hsa04640	1/88	0.13552870650597537149906202103011310100555419921875	0.373270045665856586847297649001120589673519134521484375	0.0971090341210053276110869546755566261708736419677734375	0.2720589171336522671396096484386362135410308837890625	-1.6992086437609057	3.395990486178568	IL1R2
Amoebiasis_Homo sapiens_hsa05146	1/100	0.1525697023176233180219441010194714181125164031982421875	0.373270045665856586847297649001120589673519134521484375	0.10954910344205180672272348374463035725057125091552734375	0.2720589171336522671396096484386362135410308837890625	-1.7057390100404057	3.207017435377643	IL1R2
mRNA surveillance pathway_Homo sapiens_hsa03015	1/91	0.139819846785290746726815314104896970093250274658203125	0.373270045665856586847297649001120589673519134521484375	0.10023322158006653381789874401874840259552001953125	0.2720589171336522671396096484386362135410308837890625	-1.6153714440148892	3.1780825764614553	CPSF3
Oocyte meiosis_Homo sapiens_hsa04114	1/123	0.184325731298341344288616028279648162424564361572265625	0.373270045665856586847297649001120589673519134521484375	0.1329739757761739527008870709323673509061336517333984375	0.2720589171336522671396096484386362135410308837890625	-1.698295202726727	2.8719034742407468	ANAPC13
Oxidative phosphorylation_Homo sapiens_hsa00190	1/133	0.197769936456770822896800154921947978436946868896484375	0.373270045665856586847297649001120589673519134521484375	0.142989328593394804389760111007490195333957672119140625	0.2720589171336522671396096484386362135410308837890625	-1.5945844034599976	2.584264586319913	NDUFB5
Cell cycle_Homo sapiens_hsa04110	1/124	0.185679922128346941434529071557335555553436279296875	0.373270045665856586847297649001120589673519134521484375	0.133980098230409794268780387938022613525390625	0.2720589171336522671396096484386362135410308837890625	-1.530959788678669	2.5777243585863094	ANAPC13
Measles_Homo sapiens_hsa05162	1/136	0.2017611234728083624556660424786969088017940521240234375	0.373270045665856586847297649001120589673519134521484375	0.145974125849124780618382146712974645197391510009765625	0.2720589171336522671396096484386362135410308837890625	-1.6058322579211253	2.570408866646207	RCHY1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	1/151	0.2214299860082196147459399071522057056427001953125	0.373270045665856586847297649001120589673519134521484375	0.16076208739715813766935070816543884575366973876953125	0.2720589171336522671396096484386362135410308837890625	-1.653188754503894	2.4924280910346326	NDUFB5
Parkinson's disease_Homo sapiens_hsa05012	1/142	0.2096858141270197262162611195890349335968494415283203125	0.373270045665856586847297649001120589673519134521484375	0.1519164442002783610430327598805888555943965911865234375	0.2720589171336522671396096484386362135410308837890625	-1.505043562378712	2.3510962633794485	NDUFB5
Alzheimer's disease_Homo sapiens_hsa05010	1/168	0.2431533963455177749235502915325923822820186614990234375	0.373270045665856586847297649001120589673519134521484375	0.1772504894172177991595873436381225474178791046142578125	0.276351828887249240107593095672200433909893035888671875	-1.5164764839483087	2.1443929437822042	NDUFB5
Huntington's disease_Homo sapiens_hsa05016	1/193	0.274035382150153383751245428356924094259738922119140625	0.373270045665856586847297649001120589673519134521484375	0.200983148281635826126745314468280412256717681884765625	0.276351828887249240107593095672200433909893035888671875	-1.529021638599619	1.9793155280398909	NDUFB5
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	1/180	0.258132477289924777696938917870284058153629302978515625	0.373270045665856586847297649001120589673519134521484375	0.188718031231877081399517237514373846352100372314453125	0.276351828887249240107593095672200433909893035888671875	-1.4199639103021824	1.9230320584869884	IL1R2
Rap1 signaling pathway_Homo sapiens_hsa04015	1/211	0.29551011655564118907335569019778631627559661865234375	0.373270045665856586847297649001120589673519134521484375	0.2176976489771365042003026246675290167331695556640625	0.278687583129739901988131123289349488914012908935546875	-1.5593214238034985	1.9008942236388358	SIPA1L1
Ras signaling pathway_Homo sapiens_hsa04014	1/227	0.31408063608343306238879222291870974004268646240234375	0.373270045665856586847297649001120589673519134521484375	0.232297317170906014727194133229204453527927398681640625	0.278687583129739901988131123289349488914012908935546875	-1.5688630796697633	1.8169089977549857	SHOC2
MAPK signaling pathway_Homo sapiens_hsa04010	1/255	0.345443007942174473701157921823323704302310943603515625	0.373270045665856586847297649001120589673519134521484375	0.25727374844541461840208285138942301273345947265625	0.278687583129739901988131123289349488914012908935546875	-1.5395125814011252	1.636390420532481	IL1R2
HTLV-I infection_Homo sapiens_hsa05166	1/258	0.348719592949451040464481366143445484340190887451171875	0.373270045665856586847297649001120589673519134521484375	0.2599071379654152025295843486674129962921142578125	0.278687583129739901988131123289349488914012908935546875	-1.4683797717198566	1.5469192036807142	IL1R2
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	1/265	0.356303225408317658651213832854409702122211456298828125	0.373270045665856586847297649001120589673519134521484375	0.26601996571475172714826840092428028583526611328125	0.278687583129739901988131123289349488914012908935546875	-1.3953778797220024	1.4399925114247503	IL1R2
