mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,43.31154,64.4387082601,1.83647509865,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,42.77442,64.3068980668,-0.356734794604,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.7486818981,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.7486818981,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.7486818981,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,6.7951,42.690026362,-0.801054249142,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,15.75645,55.7062829525,-0.310227369363,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,1945.01757,96.1555360281,5.62563359911,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.7989894552,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,10.65658,50.8842267135,-0.546188716269,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.7486818981,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.44759,34.644112478,0.248025731022,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.7486818981,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,44.40546,64.6364235501,-0.443670333651,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.12428,53.5643673111,-0.283223859367,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.10683,39.4606766257,-0.287881582276,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.79918,25.735940246,-0.149838460545,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1227.11737,94.1893673111,-0.206643471612,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.08917,39.3782952548,-0.387440720181,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,90.07599,70.842486819,-0.593226327995,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.7486818981,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,85.87919,70.3317223199,0.246865015725,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,6.088,39.3673110721,-0.172040421435,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,109.34886,72.6768453427,-1.01635520468,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.7486818981,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,1443.96745,94.9637521968,3.14837192227,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.446397188,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1012.82157,93.0689806678,-0.429717007956,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,261.33337,81.44771529,1.4196178242,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,44.50362,64.663884007,-0.604246793199,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,102.01528,72.07271529,-0.38784545768,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,30.684314587,-0.201726062948,ENSG00000123576,21,0
