mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,798.37065,88.5489894552,-1.10557495217,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,24.7803163445,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3591.55868,96.5839191564,0.0771124978578,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,2563.49043,95.4964850615,1.75344689321,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.7221001757,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3584.80094,96.578427065,0.135182453369,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,17557.85901,99.3244727592,3.57021934043,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,59.02377,61.3796133568,-0.363577757399,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.70168,41.8057996485,-0.134820086269,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.68434,22.6713532513,-0.348660796856,NA,NA,NA
ENSMUSG00000083012,Fam220a,85.787,64.7242970123,-0.209541871377,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,628.68769,86.3851054482,0.151936020805,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.85888,27.4055360281,-0.107686123192,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,15.07958,49.5935852373,-0.705185238544,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,10.19202,45.4415641476,-0.0752419105536,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.65887,21.3862038664,-0.107444557313,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,725.42455,87.7416520211,0.29559877811,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.73008,35.5008787346,-0.467342136557,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,19.7221001757,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.7221001757,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.7221001757,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.7221001757,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.54935,38.8894991213,-0.478095085402,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,397.48927,81.7113356766,-0.160377293153,ENSG00000117133,95,1
