mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1367.69169,94.1728910369,-0.357613396657,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,33.91491,60.7535149385,1.24675706367,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1496.77968,94.6287346221,-0.545615703006,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,518.58171,87.3352372583,-0.968907868261,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.1829964851,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3213.64021,97.4791300527,-0.0865605821232,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1750.87214,95.4195957821,-0.572538763595,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,146.25272,74.3189806678,0.248621848453,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,13.08912,51.7080404218,-0.124835810394,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.99187,27.6032513181,-0.346486183094,NA,NA,NA
ENSMUSG00000083012,Fam220a,62.06317,65.795254833,-0.273041975684,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,299.02897,81.985940246,-0.538935451916,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,6.09735,37.5494288225,-0.102533380867,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,27.20569,58.7489015817,-0.138716746101,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.1829964851,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.1829964851,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,286.82286,81.4751757469,-0.761715673972,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,7.62666,43.6181898067,-0.453387464887,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.1829964851,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.1829964851,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.1829964851,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.1829964851,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.85916,41.0753514938,-0.389234288972,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,413.72179,85.2482425308,-0.12055656012,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,388.92666,84.644112478,1.17963801836,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.1829964851,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,21.8695079086,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.83122,24.8242530756,-0.10650305033,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,411.57342,85.209797891,-0.00943990109283,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.1829964851,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,208.88489,78.0810632689,2.46260532676,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.85097,25.1922231986,-0.130407209354,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,6.56787,39.9659490334,-0.337937581043,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.1829964851,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.1829964851,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,25.27624,58.0404217926,0.405183382751,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,18777.99729,99.6814586995,0.105718087098,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.6604,22.2155096661,-0.389778268315,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.1829964851,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.86779,25.5217486819,-0.127484184729,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,497.46033,86.9178383128,-0.679659956442,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.1829964851,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,86.43947,68.6840949033,-0.701542479893,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,442.38082,85.7919595782,-0.837734604128,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,5.13223,29.7286906854,-0.133179517746,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,19.38695,55.7337434095,-0.461200790802,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,458.59429,86.1324692443,0.810883780617,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,644.93206,89.2739455185,1.37248041233,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,73.74688,67.2836115993,0.189511715326,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.1829964851,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,38909.80249,99.9560632689,0.0172255582854,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,5.56949,34.1278558875,-0.320193776531,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.1829964851,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,6.58803,40.0867750439,-0.246459713736,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,612.85008,88.8565465729,0.281253370566,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.1829964851,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,368.95516,84.204745167,-0.212427073102,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,1886.12058,95.7930579965,1.86380296634,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,21.1829964851,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,70.79155,66.9705623902,-0.123717969587,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,205.24684,77.8723637961,-0.401116522376,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,7.52016,43.2941564148,-0.148923258756,NA,NA,NA
ENSMUSG00000021598,Med10,1316.82473,94.0081282953,0.0305980546527,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,21.1829964851,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.07956,29.1080843585,-0.133932898553,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,21.1829964851,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,1035.80943,92.6790421793,1.63324117609,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,165.59234,75.5766695958,-0.957917338662,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,538.57243,87.7086994728,1.5507067121,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,949.52481,92.1353251318,-0.330167716428,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,5114.11054,98.4457381371,0.731908684231,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,21.1829964851,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,56.51028,65.0648066784,0.779308647919,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,21.1829964851,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,54.30158,64.6858523726,-0.339471380058,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,713.45214,90.0867750439,-0.144392110529,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,7.44418,43.0525043937,0.0929625262632,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.10201,29.3717047452,-0.403599692837,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,5.98631,36.8134885764,-0.233382242227,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.63584,21.1829964851,-0.295067617567,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,6235.58564,98.7587873462,0.674353016851,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,5.02523,28.1579525483,-0.370145883043,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,2515.54786,96.8475395431,0.612189626072,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,161.12977,75.2910808436,-0.0257437127396,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,5.24022,31.1401581722,-0.287168551468,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,21.1829964851,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,21.1829964851,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,220.8181,78.7675746924,0.285927618121,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,21.1829964851,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,6.5878,40.0757908612,-0.237548544299,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,21.1829964851,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,13.48277,52.0485500879,-0.335039937751,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.63584,21.1829964851,-0.188085268602,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,5.90345,36.2862478032,-0.0326895001201,ENSG00000273259,51,0
