ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,2.9,59.6130408288,-1.13217680073,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,1.5,49.7917936218,-0.458945979419,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,26.8383099736,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,1.6,50.6093845216,0.764093177458,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,31,92.3115986187,1.94257472429,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,26.8383099736,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,26.8383099736,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,4,64.8283566931,-1.24868527754,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,5,68.8299817185,-1.34905124921,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0,26.8383099736,-0.361496242822,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,3,60.0954702417,-0.498563889038,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,2.2,55.1594556165,-1.14225861846,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,26.8383099736,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,3.6,63.0205159456,-1.22146187496,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,26.8383099736,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0,26.8383099736,-0.980540257442,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,4.9,68.4592728011,-0.940134471378,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0.1,30.9770465164,-0.760968016922,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,9.4,79.2199878123,-0.217136773845,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,0.7,41.8342474101,-0.499972979493,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,26.8383099736,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0,26.8383099736,-0.266027334727,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,26.8383099736,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,1,45.3026609791,-0.370973517977,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,3.8,63.9447491367,-1.62228823119,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,12.1,82.9219987812,-0.443144679009,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,26.8383099736,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,10.6,80.9821247207,0.0718275451024,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0,26.8383099736,-0.742733627447,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,26.8383099736,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,4.9,68.4592728011,-0.985549449352,NA,NA,NA,NA
ENSG00000169740,ZNF32,8,76.741824091,-1.35259816548,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.2,33.6329473898,-0.352867629298,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,10.2,80.4539914686,-0.619604749712,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0,26.8383099736,-0.621934997005,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,15.7,86.2888482633,4.94983090483,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,5.1,69.1194393662,-1.53872027338,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,7.6,75.878529352,-1.0915232945,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0,26.8383099736,-0.290539218915,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,22.6,89.9553118017,-0.122282272245,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,9.2,78.9356083689,0.504455750111,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,26.8383099736,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,37,93.3627869185,-0.22243660214,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,20.9,89.2088157627,4.4414602423,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,5.1,69.1194393662,-1.21079926229,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,26.8383099736,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,10.3,80.5860247816,-0.312322931919,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,26.8383099736,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0,26.8383099736,-0.340457389894,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,1.3,48.2175502742,-1.06429766708,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,0.9,44.2311598619,-0.775147522988,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,2.4,56.3934592728,-0.59515822055,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,3.1,60.6388381068,-1.46836109729,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,7.8,76.3508023563,-0.283378049857,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,0.6,40.6256347755,-0.419583303346,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,10.4,80.723136299,-0.814701145859,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,0.7,41.8342474101,-1.13541581532,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,2.2,55.1594556165,-1.3918091738,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,3.4,62.0658135283,-0.508766144352,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,14.2,85.0345317896,-0.992320101811,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,0,26.8383099736,-0.202669924877,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,63.5,95.8358724355,4.73631585714,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,9.3,79.0828762949,-1.46645914747,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,16,86.4767418241,-0.430309279359,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,2.9,59.6130408288,-0.637106401527,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,8.7,77.9809059517,-1.21586171514,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,1.9,53.0926264473,-0.965922272929,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,11.3,81.9926873857,0.0869336309526,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,8.9,78.3871622994,-0.160844286147,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,0,26.8383099736,-0.485196179814,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,1.4,48.989437335,-0.964286482057,NA,NA,NA,NM_001282786
ENSG00000180644,PRF1,2.3,55.7637619338,-0.29255640301,ENSMUSG00000037202,68,1,NM_001083116
ENSG00000121716,PILRB,5.6,70.8206378225,-1.30645915907,ENSMUSG00000046245,40,1,NM_178238
ENSG00000187961,KLHL17,0.3,35.7861060329,-1.23329273092,ENSMUSG00000078484,98,1,NM_198317
ENSG00000147689,FAM83A,0,26.8383099736,-0.254554700967,ENSMUSG00000051225,82,1,NM_207006
ENSG00000147687,TATDN1,4.4,66.524476945,-1.2091982125,ENSMUSG00000050891,80,1,NM_001146160
ENSG00000147684,NDUFB9,101.1,97.3339427179,-0.0317540194537,ENSMUSG00000022354,87,1,NM_001278645
ENSG00000189182,KRT77,0,26.8383099736,-0.180318926688,ENSMUSG00000067594,73,1,NM_175078
ENSG00000187969,ZCCHC13,0,26.8383099736,-0.179605302027,ENSMUSG00000031330,61,1,NM_203303
ENSG00000188342,GTF2F2,4.3,66.1283770059,-1.73932144867,ENSMUSG00000067995,98,0,NM_004128
ENSG00000188343,FAM92A1,2.1,54.5399146862,-0.380083203323,ENSMUSG00000028218,86,0,NM_001283034
ENSG00000114529,C3orf52,0.2,33.6329473898,-0.831329325796,ENSMUSG00000033187,38,0,NM_001171747
ENSG00000147174,ACRC,0,26.8383099736,-0.536779788152,NA,NA,NA,NM_052957
ENSG00000166831,RBPMS2,3.1,60.6388381068,-0.38417686114,ENSMUSG00000032387,85,0,NM_194272
ENSG00000135617,PRADC1,12.9,83.8360755637,0.171184972183,ENSMUSG00000030008,98,1,NM_032319
ENSG00000162849,KIF26B,0.1,30.9770465164,-0.748780196649,ENSMUSG00000026494,88,1,NM_018012
ENSG00000114520,SNX4,20.4,88.9650619541,0.453956264416,ENSMUSG00000022808,94,0,NM_003794
ENSG00000166839,ANKDD1A,0.1,30.9770465164,-0.901229788777,ENSMUSG00000066510,76,0,NM_182703
ENSG00000145198,VWA5B2,0,26.8383099736,-0.242379715836,ENSMUSG00000046613,84,0,NM_138345
ENSG00000189157,FAM47E,0.9,44.2311598619,-0.36491001593,ENSMUSG00000057068,31,0,NM_001136570
ENSG00000149243,KLHL35,0,26.8383099736,-0.379020159837,ENSMUSG00000035298,89,0,NM_001039548
ENSG00000184702,5-Sep,1.3,48.2175502742,-0.642943129234,ENSMUSG00000072214,99,0,NM_001009939
ENSG00000169813,HNRNPF,63.5,95.8358724355,-0.430058764743,ENSMUSG00000042079,98,0,NM_001098208
ENSG00000145191,EIF2B5,7.2,74.9593743652,-1.64221891259,ENSMUSG00000003235,88,0,NM_003907
ENSG00000145192,AHSG,2121.9,99.7968718261,5.5677641627,ENSMUSG00000022868,53,1,NM_001622
ENSG00000069956,MAPK6,11.7,82.4751167987,-0.0380276702649,ENSMUSG00000042688,95,1,NM_002748
ENSG00000145194,ECE2,2.4,56.3934592728,0.10128263952,ENSMUSG00000022842,92,1,NM_001100120
ENSG00000115694,STK25,14.9,85.6540727199,-1.02656690565,ENSMUSG00000026277,99,1,NM_001282305
ENSG00000169814,BTD,21.6,89.5896810888,1.80271059805,ENSMUSG00000021900,82,1,NM_001281725
ENSG00000163462,TRIM46,0,26.8383099736,-0.525418831166,ENSMUSG00000042766,98,0,NM_001256600
ENSG00000214114,MYCBP,2.5,57.0231566118,-1.28574926324,ENSMUSG00000028647,97,1,NM_012333
ENSG00000163464,CXCR1,0.3,35.7861060329,-0.417270369021,ENSMUSG00000026180,67,0,NM_000634
