mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.20378,31.9420035149,-0.555109261351,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,63.88281,63.3238137083,0.281751998749,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.6713532513,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.6713532513,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.6713532513,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,239.54855,75.9556239016,0.180264035602,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,10.44084,48.500659051,-0.313273501589,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.6713532513,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,68.85721,63.9389279438,1.49035783169,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,3070.88944,96.1335676626,2.45233233735,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.6713532513,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.2036467487,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.6713532513,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,8.74331,46.0347100176,-0.544550608727,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.53676,50.4448594025,-0.296908715517,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.86082,28.026142355,-0.586943503435,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,45.5932,60.6217047452,0.305613441729,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1302.68782,92.0364674868,-0.137142993614,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,23.60817,55.8216168717,-0.363953959274,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3853.47707,96.9518892794,0.353109485762,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.6713532513,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,75.2506,64.663884007,-0.0162543444923,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,162.93202,71.6827768014,0.0407940008309,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,220.77189,75.0384446397,0.221734890034,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.76275,26.230228471,-0.183282638285,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,477.64737,83.5676625659,-0.0660600145581,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.0125219684,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,4011.57161,97.0891915641,2.02019003363,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,84.95611,65.6304920914,-0.209232369969,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,129.23618,69.4090509666,0.809928882625,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,87.26982,65.8282073814,-0.511958350804,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.36181,33.4303602812,-0.165000941905,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,102.59625,67.2286906854,-0.482836870159,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,22.6713532513,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,22.6713532513,-0.397757575599,ENSG00000164458,91,0
