mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.75264,26.8508347979,-0.583422113331,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,40.45655,57.2880052724,-0.426845749712,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.47956942,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.47956942,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.47956942,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,663.08139,86.440026362,1.96593260499,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,461.86543,83.0349297012,-0.054582779085,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,21.47956942,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,20.84975,51.2521968366,0.0133599084534,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,3158.62446,95.9248681898,2.53829811729,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.47956942,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,23.6599297012,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.47956942,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,11.54243,45.5733743409,-0.536632522028,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.9969,46.8969683656,-0.28619086811,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,12.9281,46.8475395431,1.34933008613,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.47956942,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,713.17887,87.0990773286,-0.679301387657,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,587.50208,85.3580843585,0.392027628804,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2163.77691,94.3870826011,-0.071778465835,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.47956942,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,112.17254,67.151801406,0.897778206466,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.77035,27.1199472759,-0.173828448013,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,92.87537,65.1197275923,-1.19940232514,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.47956942,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,108.36325,66.7948154657,-1.29447148365,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.8148066784,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1009.11137,89.9769332162,-0.432748152594,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,79.8941,63.5709578207,-0.255980210203,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,25.26551,53.0096660808,-0.925328408234,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,169.98682,71.8090949033,0.184272636939,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,31.4257469244,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,108.2212,66.7673550088,-0.459164305369,NA,NA,NA
ENSMUSG00000017688,Hnf4g,1295.73092,91.7289103691,9.30793230143,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,21.47956942,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,21.47956942,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,21.47956942,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,28.74133,54.0971001757,-0.265699088099,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,4209.19618,96.8255711775,-0.408056927953,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,21.47956942,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,5.06611,31.2170474517,-0.0519147482015,NA,NA,NA
ENSMUSG00000008193,Spib,17.25976,49.5935852373,-0.302051751761,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,16.0082,48.8960896309,-0.438956689032,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,75.66355,62.9778119508,1.24383036478,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,11.13015,45.1669595782,-0.167549933446,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1322.7703,91.8277680141,-0.845719840689,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,13.21474,47.0562390158,0.686144077036,ENSG00000137265,92,0
