ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,23.3160621762,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,0,23.3160621762,-0.481897566129,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.3160621762,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.3160621762,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,5.5,71.3082901554,0.392054345664,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.5,32.1243523316,-0.437954841234,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,5.5,71.3082901554,0.0337036987845,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,5.3,70.4015544041,-0.390012144345,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,15.2,89.6373056995,-0.847534349826,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5.6,71.6968911917,0.135277735522,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.3160621762,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.4,30.829015544,-0.132771010333,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,6.7,76.8134715026,5.56776436283,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0.1,26.878238342,0.240099902343,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,21.8,94.3652849741,0.298790692346,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.3160621762,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.4,51.2953367876,-0.651424435135,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,8.7,80.829015544,-0.664907293249,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.3160621762,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6.8,77.2020725389,0.449555118657,NA,NA,NA,NM_001145347
