mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.95627,30.6184094903,-0.57064260797,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,35.15935,56.9255272408,-0.587075508673,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.0347100176,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.0347100176,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.0347100176,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,23.20469,53.2128734622,-0.731869321004,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,94.2697,66.8222759227,-0.265235027743,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,9.80143,44.8374340949,-0.267535799522,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,9.97487,45.0186731107,-0.321216742247,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,190.74857,74.533172232,-0.369728411349,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.0347100176,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,23.5500878735,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.0347100176,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.21528,44.1619068541,-0.543215510775,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.5995,48.9949472759,-0.248862180634,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.60289,35.6491652021,-0.408835077471,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.0347100176,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1493.86996,93.1403778559,0.0386830086757,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,209.00864,75.565685413,-0.115397733971,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3669.19957,96.875,0.306771507371,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.0347100176,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,132.93053,70.474516696,1.41165907384,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.79083,28.0206502636,-0.173800657034,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,205.25829,75.3020650264,0.0493537001359,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.71979,26.3235940246,-0.191207077783,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,701.84765,87.8350175747,0.679734836644,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.5891915641,-0.255626407086,ENSG00000172789,100,0
