ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0.2,28.9507772021,-0.61363783434,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,1.8,48.6398963731,-0.344007353466,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.8989637306,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.8989637306,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.8,68.6528497409,0.116755996357,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.6,34.2616580311,-0.427915761779,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,4.3,66.1269430052,-0.156623070822,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,4.9,69.7538860104,-0.539031709946,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,28.9,94.6243523316,0.308529928219,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5.6,71.8264248705,0.135277735522,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.8989637306,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.2,28.9507772021,-0.313565577594,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,23.8989637306,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,23.8989637306,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,15.1,87.9533678756,-0.502970564713,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.8989637306,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.8,57.7720207254,-0.274128834695,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,10.3,82.1243523316,-0.547069794411,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.8989637306,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,7,75.7772020725,0.551944896572,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,23.8989637306,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,3.3,61.7875647668,-0.395536901834,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,3.8,63.9896373057,-0.297636949638,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,3.1,60.3626943005,-0.534444268099,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,12.2,84.8445595855,-0.603983651465,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,3.3,61.7875647668,0.743465615376,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,2.1,51.1010362694,-0.92842285167,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,25.2,93.5233160622,-0.108779492403,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,4.5,67.3575129534,-0.399795257561,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,23.8989637306,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,23.8989637306,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,3.5,62.8886010363,-0.670904451629,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,5,70.0777202073,-0.095113676545,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,23.8989637306,nan,NA,NA,NA,NA
