mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,29.7067223199,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,30.11434,55.7117750439,-0.739677021973,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.2877855888,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.2877855888,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.2877855888,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,70.87102,64.1860720562,-0.530901983267,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,106.47258,68.5852372583,-0.258242117048,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.2877855888,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.11727,39.6309314587,-0.409133688185,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,256.89688,78.3556678383,-0.304914029806,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.2877855888,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.71258,35.1768453427,0.486369652457,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,5.55521,34.3255711775,-0.314469989783,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,189.04901,74.7913005272,-0.0345059643702,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,31.25707,56.1072056239,0.139135588387,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.57066,38.1206063269,-0.176555115481,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.2877855888,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,442.79683,84.0180140598,-0.92796579315,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,42.54919,58.9740773286,-0.338560774269,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,295.92726,79.8110720562,-0.541463461118,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.2877855888,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,63.25163,62.9009226714,-0.313298572341,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,30.9369507909,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,220.40532,76.6641036907,0.217661704391,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.2877855888,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,314.62443,80.5415202109,-0.608350458084,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.12897,31.3653339192,-0.530171481915,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,459.42796,84.4079525483,-0.881826348121,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,19.83857,51.7904217926,-0.810595140165,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,60.51054,62.4670474517,-0.337093329302,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,89.12019,66.6190685413,-0.496383741802,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.20091,31.9529876977,-0.186456488094,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,36.57306,57.4582601054,-0.760695027637,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,20.2877855888,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.2877855888,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.2877855888,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.2877855888,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.76351,26.6421353251,-0.44395150429,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,22514.85978,99.6539982425,1.6800557733,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63757,21.0786467487,-0.170779133049,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,24.703427065,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67434,24.2475834798,-0.312254890531,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,28.96312,55.3932337434,-0.302831024755,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,22.81513,53.0590949033,-0.804471520144,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,103.1417,68.2007908612,-0.0269625267856,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,331.12794,81.0358084359,-1.26021374059,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,28.6632249561,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.2877855888,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,28.41816,55.2394551845,-0.831375963213,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.63584,20.2877855888,-0.385073358313,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,208.50113,75.9995606327,0.623749834199,ENSG00000175105,85,1
