mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2892.75333,98.2480228471,1.64597929773,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,46.98643,63.8949912127,2.06710553846,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,617.24264,91.0698594025,-0.807081241142,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,621.70827,91.1742091388,-0.831617103688,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.17032,29.8000878735,0.734426132983,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1356.20804,95.6887082601,-1.1962486884,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,129.89965,75.2361599297,-0.997369692764,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,6.25301,36.5278998243,-0.733939185256,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,433.12832,88.1370826011,0.65360204707,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,21.8530316344,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,58.62776,66.0973198594,-0.282237324552,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,38.48421,61.5278998243,-1.08496360506,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,18.7445079086,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,23.83716,56.2170474517,-0.296076864956,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,18.7445079086,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,18.7445079086,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,138.05063,75.834797891,-1.12035320874,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.64622,19.4529876977,-0.475316970436,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,18.7445079086,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,18.7445079086,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,5.21251,30.2669156415,0.808119106847,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,18.7445079086,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,11.68788,47.5889718805,0.995756204994,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,101.8206,72.242970123,-0.885695553922,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,204.02636,80.4975834798,-0.149191310467,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,18.7445079086,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.65707,20.0076889279,-0.110510502831,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,18.7445079086,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,151.64712,76.9222319859,-0.67819160169,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.65824,20.1010544815,-0.270187748927,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,18.7445079086,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.78965,24.6430140598,-0.13286970421,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,2322.31137,97.6823374341,1.25226594225,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.81607,25.19771529,-0.134584211698,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,18.7445079086,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,16.46066,52.0265817223,-0.252286997681,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,4641.12381,99.038884007,-1.7735222146,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.6604,20.2603251318,-0.389778268315,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,18.7445079086,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,18.7445079086,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,443.75528,88.3787346221,-0.790858176489,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,18.7445079086,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,97.94724,71.7322056239,-0.514204004073,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,18619.57133,99.928602812,1.23572327243,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.88522,26.3181019332,-0.133230956313,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,178.26486,78.7236379613,1.44703599681,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,199.84332,80.3053602812,-0.570045104049,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,397.97523,87.2913005272,0.238144810643,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,6.80433,38.5764499121,-0.517986925868,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.66832,20.8040421793,-0.130326048908,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,10962.58277,99.7913005272,-2.16180089073,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,24.3629173989,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.66039,20.2548330404,-0.368585404142,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,7.37388,40.3174428822,-0.221447857138,ENSG00000144648,72,0
