ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,2.3,54.2047531993,-1.45662149587,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,7.3,70.8815762746,0.124481238253,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,30.0172658948,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.2,36.8322161284,-0.913915369117,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,21.6,87.4771480804,0.832110115652,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,1,46.2472069876,3.058186495,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.5,41.5904936015,0.630959401394,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,12.5,79.7227300427,-0.0697807461588,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,5.6,66.5600243754,-1.175097025,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.8,44.5053828966,-0.0055614806588,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,0.3,38.670526102,-0.597817160957,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,3.8,60.5880560634,-0.981279699477,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,30.0172658948,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,8,72.4812106439,0.325137333621,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,30.0172658948,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0,30.0172658948,-0.980540257442,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,31,91.2858013406,1.58950570419,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,30.0172658948,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,1.8,51.477757465,-1.50512856407,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,3.8,60.5880560634,0.37475928798,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,30.0172658948,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.2,36.8322161284,-0.265695746104,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,30.0172658948,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,0,30.0172658948,-0.39374135951,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,13.9,81.1395490555,1.30853097686,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,8.9,74.1620962828,-0.968961772063,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,30.0172658948,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,1.9,52.0465163518,-2.15003785007,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0,30.0172658948,-0.742733627447,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,30.0172658948,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,2.2,53.6918545602,-1.66404723759,NA,NA,NA,NA
ENSG00000169740,ZNF32,4.6,63.5334145846,-1.75946208697,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.3,38.670526102,-0.320513004262,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,0.1,34.1306114158,-1.04271114123,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0,30.0172658948,-0.621934997005,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,30.0172658948,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,6.4,68.6674791794,-0.946576301385,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,8.3,73.0347349177,-0.976409726719,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,21.6,87.4771480804,5.53035087134,ENSMUSG00000051627,94,1,NM_005321
