ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,1,36.981865285,0.0147273080242,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,2.7,53.1735751295,-0.275062247135,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,22.8626943005,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,22.8626943005,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,3.6,58.6139896373,-0.355184031024,NA,NA,NA,NM_023074
ENSG00000079263,SP140,19.4,91.0621761658,1.4594311758,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,0.6,32.3834196891,-0.743463943775,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,8.8,78.0440414508,0.91390905466,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,24.6,93.8471502591,-0.05432236343,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,4.8,66.1917098446,-0.24114726767,NA,NA,NA,NM_001289166
ENSG00000198416,,0,22.8626943005,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,2,47.5388601036,1.31358552776,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,22.8626943005,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,22.8626943005,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,12.6,84.1968911917,-0.802135212869,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,22.8626943005,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.8,53.7564766839,-0.274128834695,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,17.8,89.7668393782,0.00529348139312,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,22.8626943005,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6,71.0492227979,0.039996006998,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,22.8626943005,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,5.5,69.1062176166,0.617037566861,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,4.8,66.1917098446,0.116466632467,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,2.6,52.396373057,-0.882050296131,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,24.8,94.0414507772,0.871038809291,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1,36.981865285,-0.98815050145,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,4.4,64.2487046632,0.388184506382,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,41.6,96.8911917098,1.27014508763,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,17,88.9896373057,2.6814784038,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,22.8626943005,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,22.8626943005,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,4.2,63.2772020725,-0.387886377872,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,6.4,72.0207253886,0.708866079911,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,22.8626943005,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,2.4,50.7124352332,-0.264245031001,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,22.8626943005,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,1.4,40.7383419689,-0.207540255476,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,14.5,86.4637305699,0.656247955658,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,11.7,82.9663212435,0.87574098535,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,22.8626943005,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,9,78.5621761658,0.215575937924,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,1,36.981865285,-0.329213050218,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,22.8626943005,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,17.2,89.2487046632,1.10742742653,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,76.6,98.7694300518,1.61892877401,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.4,30.310880829,-0.256152205093,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,17.6,89.5725388601,-0.32050453274,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,7.1,73.7046632124,-0.724366204386,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,7.7,75.0,0.392231819805,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,1.5,42.292746114,0.659647918295,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,24.1,93.3937823834,0.763691702035,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,21.9,92.4870466321,0.560366712511,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,2.6,52.396373057,-0.0106825170377,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,5.3,68.1347150259,0.68412805021,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,8.2,76.2305699482,0.86368693283,ENSMUSG00000062627,78,0,NM_001085487
