mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1092.29478,90.7513181019,-0.719423845794,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.85212,39.6968365554,-0.451661980168,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,23806.13314,99.533172232,6.08642688601,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,948.79174,89.7242970123,-0.396176033266,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.4855008787,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,5971.7861,97.5889718805,1.56124208811,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,3260.05207,95.9852811951,-0.177006874004,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,85.7317,65.8007469244,-0.176133288342,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,10.79903,46.2159490334,-0.129079920832,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.63584,20.4855008787,-0.349003751259,NA,NA,NA
ENSMUSG00000083012,Fam220a,146.94603,71.4026801406,-0.0458412891217,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1745.6044,93.5028558875,2.49267765914,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.6538,21.3862038664,-0.108539373086,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,19.39709,52.191344464,-0.503493733122,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.36321,33.1777240773,-0.108163937978,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.4855008787,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,2214.32342,94.6287346221,3.88481042237,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.45481,38.4171792619,-0.462009712299,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.4855008787,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,6.43338,38.3402899824,3.00286612348,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.4855008787,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,7.94635,42.1957381371,-0.105528433078,NA,NA,NA
ENSMUSG00000001802,Lrp3,7.4873,41.3060193322,-0.209068959676,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,293.41351,79.1465289982,-0.415690273157,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,191.46198,74.4672671353,-0.239488171221,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.4855008787,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,21.1006151142,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.70308,23.7972319859,-0.108369908552,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,89.76095,66.3224956063,-0.837415510278,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.4855008787,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.67232,22.3637961336,-0.177066595704,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.4855008787,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,9.30657,44.4639718805,-0.336056936494,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.4855008787,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,58.19785,62.203427065,-0.0825157412785,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,49.8077768014,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,7173.88978,98.0173550088,-1.436837028,NA,NA,NA
ENSMUSG00000020758,Itgb4,7.01138,40.1911247803,-0.361276591778,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.4855008787,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.65783,21.6223637961,-0.145703764613,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,385.57777,82.0188927944,-0.911316784362,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.4855008787,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,77.30708,64.7847100176,-0.850211424719,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,12422.05636,98.8741212654,0.52877759661,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,26.2027680141,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,34.81113,57.5571177504,-0.275945410147,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,195.50189,74.6649824253,-0.59321489579,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,126.40143,70.0131810193,-1.00926280236,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,7.43794,41.2291300527,-0.511290464289,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,20.4855008787,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,22209.99164,99.4892355009,-1.28484777496,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,66.13231,63.362258348,0.111691522749,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,20.4855008787,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,26.33132,55.0746924429,0.381925268438,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,232.09092,76.5377855888,-0.823640687945,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,20.4855008787,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,688.21131,87.2473637961,0.0598838364275,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.78885,26.1917838313,-0.375074764286,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,20.4855008787,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,5.36001,33.1722319859,-0.170408317133,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,241.15452,76.9112478032,-0.351336697419,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,12.24046,47.7317662566,-0.0887659813076,NA,NA,NA
ENSMUSG00000021598,Med10,816.65978,88.7412126538,-0.60183789147,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,20.4855008787,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.25082,32.2989894552,-0.13191794308,NA,NA,NA
ENSMUSG00000019913,Sim1,4.65931,21.6882688928,-0.157699082784,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,749.4291,88.065685413,0.858516388065,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,1872.20919,93.9037785589,3.5065153701,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,80.09043,65.158172232,-0.19569272997,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,330.02416,80.3767574692,-0.692638883713,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,2769.99989,95.5019771529,-0.512799437558,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,29.57861,56.0632688928,4.36533366276,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,8.98699,44.0081282953,-0.65016523743,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,20.4855008787,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,159.53078,72.3637961336,0.631441043594,ENSG00000131459,98,1
