mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,3370.07533,96.6498242531,2.27307452259,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.84177,24.0278998243,-0.577828451725,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1027.44996,90.992970123,-0.685136316945,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,472.19294,84.7374780316,-1.03066450691,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.7056239016,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3996.12123,97.1221441125,0.38091806679,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,4640.47171,97.539543058,0.184779005721,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,139.74649,73.0228471002,0.202959124763,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,12.95549,52.2737258348,-0.125083460259,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,21.5454745167,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,321.7332,81.2994288225,0.422000687766,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,139.27089,73.006370826,-0.873743219199,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.9989,26.795913884,-0.107103560045,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,53.78891,64.9769332162,1.10311237781,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,19.7056239016,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.7056239016,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,105.75111,70.6557557118,-1.1982159942,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,55.91828,65.2405536028,-0.0980669924863,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,67.5294,66.7234182777,-0.0369132449051,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.7056239016,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,5.19286,29.5419595782,0.768507412704,NA,NA,NA
ENSMUSG00000068341,Reg3d,6.6015,40.0648066784,-0.106268349877,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.14123,37.769112478,-0.595153502621,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,86.96507,68.8818101933,-0.922138330164,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,290.91087,80.2284710018,0.475224578033,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,19.7056239016,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,20.4415641476,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,19.7056239016,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,639.70308,87.3736818981,0.577503775178,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,6.33371,38.7851493849,-0.242675493743,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,19.7056239016,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,19.7056239016,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,8.27718,45.375659051,-0.336763810811,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.96183,26.2027680141,-0.114410076153,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,19.7056239016,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,113.16497,71.3587434095,6.95996897245,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,10472.44556,98.9290421793,-0.998354009249,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,21.3642355009,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,5.14716,28.8774165202,-0.144255324825,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,14.46295,53.5039543058,0.705149574647,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,3298.82736,96.6003954306,5.12067031852,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,268.28191,79.3881810193,0.301020821241,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,25.95462,58.8752196837,-1.68619368593,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,3968.70689,97.0946836555,-0.435489352799,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.9005,25.2141915641,-0.133227774331,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,31.34048,60.4734182777,-0.317630387038,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,465.27544,84.5782073814,0.846540431558,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,958.6881,90.5426186292,2.81364179433,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,39.62261,62.3572056239,-0.171138941942,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,6.06891,37.2583479789,-0.126722059942,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,41997.64886,99.9121265378,0.257982920848,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,22.7976713533,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,19.7056239016,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,35.4898945518,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,1452.72808,93.0360281195,2.71842707395,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,19.7056239016,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,288.96784,80.1790421793,-0.28065260254,ENSG00000121104,86,0
